N	2gram	Potebnia_M_1	RusskieA
1	и в	39	36
2	не только	21	22
3	что в	22	19
4	том что	16	19
5	в том	26	17
6	но и	20	16
7	так как	21	15
8	в этом	15	12
9	в других	2	11
10	это не	7	10
11	как мы	2	10
12	как и	9	10
13	и т	6	10
14	вместе с	8	10
15	потому что	52	10
16	т д	4	9
17	а в	5	9
18	с тем	5	8
19	у нас	2	8
20	мы увидим	3	8
21	может быть	27	8
22	и по	6	8
23	о том	2	8
24	что и	6	7
25	так и	13	7
26	и других	4	7
27	между тем	5	7
28	и не	18	6
29	для нас	9	6
30	так например	3	6
31	при этом	6	6
32	в них	3	6
33	уже не	2	6
34	таким образом	13	6
35	мы не	10	6
36	не имеет	5	6
37	то что	10	6
38	видно что	2	6
39	показывает что	3	5
40	все же	6	5
41	как будто	2	5
42	как бы	6	5
43	в течение	2	5
44	во многих	2	5
45	одно из	3	5
46	как в	10	5
47	там же	9	5
48	того как	6	5
49	тому что	3	4
50	из этих	4	4
51	к тому	4	4
52	что на	6	4
53	в г	2	4
54	после этого	2	4
55	еще не	6	4
56	связи с	3	4
57	его с	2	4
58	во всех	5	4
59	и их	3	4
60	в их	2	4
61	с в	5	4
62	не может	22	4
63	и что	10	4
64	того что	8	4
65	но это	5	4
66	тем что	9	4
67	только в	25	4
68	что по	3	4
69	слова в	2	3
70	не менее	6	3
71	для них	2	3
72	что это	3	3
73	по этому	2	3
74	в этих	7	3
75	в своем	3	3
76	но все	2	3
77	таким же	2	3
78	в одном	8	3
79	думать что	3	3
80	в свою	4	3
81	тем не	6	3
82	не можем	2	3
83	несмотря на	5	3
84	только на	3	3
85	к ним	2	3
86	но эти	2	3
87	в разных	2	3
88	то же	6	3
89	с точки	3	3
90	на этот	2	3
91	так же	5	3
92	их и	2	3
93	точки зрения	8	3
94	как например	2	3
95	то есть	42	3
96	то на	4	3
97	которые не	2	3
98	не было	4	2
99	и более	2	2
100	независимо от	6	2
101	могут быть	9	2
102	в разные	2	2
103	но тем	3	2
104	только для	3	2
105	с этим	7	2
106	и потому	5	2
107	в каждом	4	2
108	на все	2	2
109	значение и	2	2
110	его к	2	2
111	что именно	2	2
112	в нем	20	2
113	не что	2	2
114	в жизни	3	2
115	так что	16	2
116	и как	6	2
117	следующее в	2	2
118	мы видим	4	2
119	их к	2	2
120	свою очередь	4	2
121	но не	8	2
122	она не	3	2
123	не были	2	2
124	чем в	2	2
125	связь между	2	2
126	судить о	3	2
127	имеет место	2	2
128	том же	2	2
129	в ней	7	2
130	на что	2	2
131	в его	5	2
132	и с	3	2
133	в целом	2	2
134	разница между	3	2
135	для этого	2	2
136	тогда как	2	2
137	между прочим	2	2
138	а не	21	2
139	только по	2	2
140	и для	5	2
141	с ним	3	2
142	или в	2	2
143	в своих	4	2
144	этот вопрос	2	2
145	мы можем	2	2
146	хотя и	3	2
147	к ней	2	2
148	что иное	2	2
149	но в	9	2
150	ничего общего	2	2
151	мы должны	3	2
152	в один	2	2
153	там где	4	2
154	в более	4	2
155	иное как	2	2
