N	2gram	Vygotskiy__6	Mirosoze
1	и в	28	46
2	в нем	7	22
3	у него	2	22
4	может быть	13	21
5	в этом	27	20
6	никогда не	8	18
7	для него	6	18
8	и не	11	18
9	не только	16	18
10	но и	10	15
11	не может	19	15
12	как и	6	13
13	а не	3	13
14	прежде всего	2	12
15	друг друга	4	12
16	потому что	22	12
17	но он	2	11
18	у нас	2	11
19	но в	5	10
20	он не	7	10
21	в себе	4	10
22	не в	4	9
23	не знает	3	9
24	но это	2	8
25	как бы	11	8
26	в своем	7	8
27	так как	10	8
28	отношение к	7	8
29	она не	2	8
30	в этой	5	7
31	в нашем	4	7
32	что он	18	7
33	и к	6	7
34	как в	3	7
35	он сам	2	6
36	вопрос о	5	6
37	так же	15	6
38	того что	24	6
39	и здесь	3	6
40	и там	2	6
41	то же	7	5
42	я не	4	5
43	в отношении	10	5
44	что все	5	5
45	в самом	8	5
46	один из	3	5
47	те же	3	5
48	это не	5	5
49	в конце	2	5
50	друг к	3	5
51	и все	5	5
52	к тому	10	5
53	к другу	4	5
54	то что	28	5
55	в своей	2	5
56	для того	8	5
57	и его	3	5
58	в его	3	5
59	что в	17	4
60	тому что	11	4
61	для этого	2	4
62	до конца	3	4
63	его отношение	3	4
64	что у	2	4
65	они не	4	4
66	не имеет	6	4
67	с его	3	4
68	мысль что	2	4
69	том что	19	4
70	означает что	2	4
71	что и	4	4
72	так и	6	4
73	того чтобы	10	4
74	у них	2	4
75	же как	6	3
76	и от	2	3
77	в каждом	3	3
78	в такой	2	3
79	к которой	2	3
80	в том	28	3
81	что они	2	3
82	что всякий	2	3
83	в своих	3	3
84	и на	5	3
85	сказать что	13	3
86	по своей	3	3
87	его в	6	3
88	в высшей	2	3
89	с ним	2	3
90	к которому	2	3
91	если бы	7	3
92	в них	3	3
93	к другому	4	3
94	это и	3	3
95	связано с	3	3
96	до сих	3	3
97	сих пор	3	3
98	от того	10	3
99	того как	5	3
100	той же	4	3
101	тем что	8	3
102	только в	18	3
103	отношении к	3	3
104	есть в	3	3
105	в чем	6	3
106	но на	2	2
107	в этих	2	2
108	это означает	3	2
109	на высшую	3	2
110	все время	3	2
111	так что	6	2
112	это есть	3	2
113	этого вопроса	2	2
114	на его	3	2
115	и той	3	2
116	хотя и	3	2
117	в сфере	12	2
118	по отношению	10	2
119	отношения к	3	2
120	в разных	5	2
121	и других	7	2
122	а в	2	2
123	в основе	3	2
124	точки зрения	13	2
125	в мысли	4	2
126	приходит к	2	2
127	другим и	2	2
128	бы в	3	2
129	на этом	4	2
130	поэтому он	2	2
131	были бы	2	2
132	но когда	2	2
133	тогда когда	6	2
134	если он	2	2
135	по себе	3	2
136	интерес к	2	2
137	для нашей	2	2
138	мы видим	7	2
139	то в	5	2
140	связи с	3	2
141	чем в	2	2
142	и своего	2	2
143	и что	6	2
144	себе и	2	2
145	в сущности	7	2
146	во всех	4	2
147	еще в	2	2
148	оно не	4	2
149	отношению к	10	2
150	принадлежит к	2	2
151	вместе с	7	2
152	ее в	2	2
153	если я	4	2
154	но с	2	2
155	одной и	3	2
156	вот почему	2	2
157	можно было	7	2
158	нас в	2	2
159	от этого	3	2
160	которые в	4	2
161	в которой	7	2
