N	2gram	Tiupa_Anal_2	Vladivir
1	и в	16	31
2	не только	16	24
3	но и	12	19
4	то что	7	18
5	и не	12	17
6	у него	4	15
7	и даже	9	15
8	он был	2	14
9	том что	12	14
10	что в	2	14
11	в этом	18	14
12	по поводу	3	12
13	в его	2	12
14	но в	6	12
15	в том	12	11
16	о том	7	11
17	так что	3	10
18	и то	3	10
19	он не	2	10
20	никогда не	3	9
21	как мы	3	9
22	а в	3	9
23	только в	4	9
24	в конце	4	9
25	в то	2	8
26	для него	4	7
27	как раз	4	7
28	и его	4	7
29	как это	6	7
30	сказать что	2	7
31	м и	3	7
32	он и	2	6
33	к этому	2	6
34	и к	5	6
35	можно сказать	4	6
36	в качестве	11	6
37	того же	4	6
38	и сам	3	6
39	может быть	6	6
40	в котором	2	6
41	так и	15	6
42	не может	4	6
43	то же	4	6
44	на этот	2	6
45	это было	2	6
46	не был	3	5
47	все это	4	5
48	вовсе не	2	5
49	на то	2	5
50	не в	4	5
51	и если	3	5
52	со своим	3	5
53	а также	7	5
54	что и	3	5
55	с ним	2	5
56	же время	2	4
57	в своем	4	4
58	и все	3	4
59	этом смысле	2	4
60	в себе	7	4
61	как и	14	4
62	в этой	9	4
63	такого рода	2	4
64	никак не	2	4
65	хотя и	4	4
66	еще в	2	4
67	и особенно	4	4
68	один из	2	4
69	в нашем	3	4
70	себя в	2	4
71	в своей	2	4
72	ни с	2	4
73	в нас	2	4
74	несмотря на	3	4
75	из его	2	4
76	в общем	2	3
77	к тому	7	3
78	отнюдь не	8	3
79	с другой	6	3
80	как в	4	3
81	к своему	2	3
82	но не	4	3
83	ничего не	9	3
84	за пределы	4	3
85	на его	3	3
86	в целом	8	3
87	н и	2	3
88	вместе с	2	3
89	на него	2	3
90	только на	3	3
91	другой стороны	2	3
92	и стал	2	3
93	собственно говоря	2	3
94	таким образом	2	3
95	не мог	3	3
96	уже не	4	3
97	свидетельствует о	2	3
98	и он	2	3
99	едва ли	3	3
100	и на	6	3
101	он в	4	3
102	об этих	2	3
103	что касается	3	3
104	на себя	5	3
105	к его	2	3
106	то есть	9	3
107	место в	3	2
108	тем что	3	2
109	в ответ	2	2
110	уже и	2	2
111	не менее	4	2
112	в частности	16	2
113	для нее	2	2
114	и м	2	2
115	по существу	2	2
116	не столько	3	2
117	что все	2	2
118	и я	2	2
119	одной из	3	2
120	о его	4	2
121	тем не	3	2
122	тому же	4	2
123	особого рода	2	2
124	на этом	4	2
125	все что	2	2
126	что с	2	2
127	еще не	2	2
128	к а	3	2
129	при этом	10	2
130	того что	2	2
131	было бы	3	2
132	что на	3	2
133	в самом	6	2
134	ему в	3	2
135	даже в	2	2
136	и до	2	2
137	из них	3	2
138	дело не	2	2
139	со стороны	3	2
140	что она	2	2
141	которые и	2	2
142	так например	2	2
143	и для	2	2
144	лишь в	9	2
145	тем самым	4	2
146	и за	3	2
147	времени в	4	2
148	той же	2	2
149	воли и	3	2
150	с ними	3	2
151	в результате	3	2
152	точки зрения	4	2
153	того и	2	2
154	ответ на	3	2
