N	2gram	Bakhtin_Fr_1	Freidism
1	и не	22	23
2	не может	3	20
3	точки зрения	7	19
4	прежде всего	11	18
5	и пр	5	15
6	в этом	15	15
7	в его	9	15
8	может быть	6	13
9	и его	10	12
10	как и	5	11
11	как бы	22	11
12	то что	3	11
13	все эти	10	11
14	с точки	3	11
15	и потому	10	10
16	так и	10	10
17	как мы	6	10
18	самом деле	3	10
19	его в	7	10
20	с ним	3	10
21	но в	14	10
22	с его	5	9
23	и в	65	9
24	во всех	9	9
25	что он	3	8
26	еще не	6	8
27	в своей	5	8
28	он не	2	8
29	не только	10	8
30	все это	9	8
31	только в	7	8
32	и все	5	8
33	так как	6	8
34	к нему	3	7
35	отношение к	4	7
36	в самом	4	7
37	и наконец	2	7
38	сказать что	6	7
39	мы уже	12	7
40	никогда не	6	6
41	вовсе не	18	6
42	для него	5	6
43	за пределы	8	6
44	того что	2	6
45	в ней	6	6
46	так сказать	4	6
47	совершенно не	4	6
48	и с	3	6
49	на протяжении	5	6
50	и к	4	5
51	связь с	5	5
52	можно сказать	2	5
53	не в	4	5
54	в этой	4	5
55	в чем	2	5
56	в большинстве	2	5
57	что в	3	5
58	но и	10	5
59	и прежде	3	5
60	на самом	6	5
61	в себя	3	5
62	и на	11	5
63	могут быть	2	5
64	большинстве случаев	2	5
65	но не	2	4
66	и др	24	4
67	в этих	2	4
68	из этих	2	4
69	в жизни	4	4
70	и образы	2	4
71	к тому	2	4
72	всех этих	8	4
73	при этом	6	4
74	от того	2	4
75	как раз	3	4
76	в основе	8	4
77	в нем	13	4
78	все же	6	4
79	между ними	4	4
80	уже не	3	4
81	и для	2	4
82	в таком	2	4
83	с их	5	4
84	этот вопрос	2	4
85	потому что	5	4
86	в более	3	4
87	во время	4	4
88	в мир	2	4
89	не могут	3	3
90	главным образом	6	3
91	в них	5	3
92	от всех	3	3
93	и от	2	3
94	к себе	2	3
95	конечно в	2	3
96	в себе	3	3
97	это как	4	3
98	он был	2	3
99	но это	3	3
100	по своему	8	3
101	в узком	4	3
102	в общем	4	3
103	ни на	2	3
104	узком смысле	2	3
105	жизни и	7	3
106	на него	2	3
107	приводит к	2	3
108	не знает	6	3
109	как в	5	3
110	мысли и	4	3
111	и вот	2	3
112	и т.п	17	3
113	на этот	2	3
114	и по	2	3
115	он дает	3	3
116	в искусстве	3	3
117	на всех	4	3
118	и этим	2	3
119	не является	3	3
120	из тех	2	2
121	этих двух	2	2
122	в отношении	6	2
123	но все	3	2
124	и другие	8	2
125	это уже	4	2
126	и ни	3	2
127	с другой	3	2
128	это не	3	2
129	формы и	7	2
130	и символы	3	2
131	стремление к	2	2
132	для нас	4	2
133	в ее	3	2
134	до конца	2	2
135	да и	2	2
136	влияние на	7	2
137	в основном	2	2
138	половой жизни	2	2
139	том что	6	2
140	более того	2	2
141	на этой	3	2
142	мы остановимся	4	2
143	в прошлое	2	2
144	одной стороны	2	2
145	и часто	2	2
146	из них	4	2
147	на всю	4	2
148	вполне понятно	2	2
149	что мы	2	2
150	но для	3	2
151	в процессе	2	2
152	о нем	3	2
153	в своем	8	2
154	и до	4	2
155	в свой	2	2
156	во второй	2	2
157	сих пор	4	2
158	в их	4	2
159	только на	2	2
160	во всей	3	2
161	отношения к	2	2
162	для своего	2	2
163	этом отношении	3	2
164	с одной	2	2
165	в отличие	4	2
166	в заключение	2	2
167	и у	6	2
168	и даже	8	2
169	рядом с	5	2
170	отличие от	5	2
171	роль в	2	2
172	мы видим	2	2
173	в таких	2	2
174	мир в	3	2
175	здесь в	8	2
176	их в	2	2
177	связанный с	3	2
178	в своих	5	2
179	но как	3	2
180	и вообще	3	2
181	речи и	2	2
182	жизни но	2	2
183	до сих	4	2
184	в области	7	2
185	в виду	3	2
186	это было	2	2
