N	3gram	Tiupa_Hudo_1	Narrotol
1	в том что	6	8
2	дамы с собачкой	4	7
3	не только в	2	6
4	по отношению к	8	5
5	тем не менее	3	4
6	о том что	9	4
7	при встрече с	2	3
8	в конечном счете	2	3
9	то же время	8	3
10	к себе самому	2	3
11	в то же	8	3
12	в этом отношении	3	3
13	к тому что	4	3
14	того или иного	2	3
15	тому что он	2	2
16	по своей природе	2	2
17	с точки зрения	3	2
18	не случайно в	2	2
19	не может быть	2	2
20	на то чтобы	2	2
21	характеры действующих лиц	2	2
22	в глазах автора	3	2
23	на стороне лиды	2	2
24	и т п	8	2
25	характер и личность	2	2
