N	2gram	Berdyaev_O_1	Myslijsy
1	потому что	9	46
2	в том	5	32
3	и в	19	30
4	может быть	11	28
5	не только	11	21
6	но и	13	19
7	том что	2	18
8	то что	5	18
9	того что	3	18
10	что в	4	17
11	не есть	2	17
12	по себе	2	16
13	в себе	3	16
14	не в	11	15
15	и не	13	15
16	а не	11	15
17	что и	2	13
18	так как	2	13
19	а в	5	12
20	так и	2	11
21	в душе	2	10
22	как и	6	10
23	в этом	12	10
24	для него	5	9
25	было бы	3	9
26	в нем	10	9
27	в самом	5	8
28	что не	4	8
29	и то	2	8
30	так что	2	7
31	с тем	2	7
32	тем что	2	7
33	что он	3	6
34	не может	4	6
35	не имеет	2	6
36	с ним	3	6
37	уже в	2	5
38	одно из	2	5
39	не могут	3	5
40	человека и	10	5
41	в своем	2	5
42	еще не	3	5
43	мысль о	2	5
44	должно быть	2	5
45	сказать что	2	5
46	к ней	2	5
47	и от	3	4
48	все это	6	4
49	все что	3	4
50	в его	7	4
51	не все	2	4
52	и его	4	4
53	он не	7	4
54	не было	9	4
55	для того	3	4
56	для человека	2	4
57	что для	2	4
58	и потому	2	4
59	быть может	3	3
60	в человеке	9	3
61	и есть	3	3
62	могут быть	3	3
63	то к	2	3
64	прежде всего	9	3
65	и все	10	3
66	что все	2	3
67	к этому	2	3
68	как бы	3	3
69	никто не	3	3
70	того чтобы	4	3
71	к нему	3	3
72	и на	2	3
73	его в	2	3
74	в которой	2	3
75	это было	3	3
76	человеке и	5	2
77	человек не	7	2
78	отношение к	5	2
79	все в	4	2
80	в ее	2	2
81	в этой	5	2
82	что они	2	2
83	от него	7	2
84	у него	22	2
85	что человек	3	2
86	и о	2	2
87	о любви	2	2
88	все же	2	2
89	в своей	2	2
90	природы и	2	2
91	что же	2	2
92	мысли и	3	2
93	частью в	2	2
94	что есть	2	2
95	в других	2	2
96	ко всем	2	2
97	природы в	2	2
98	о том	3	2
99	и с	2	2
