N	2gram	Bakhtin_Fr_2	Problemy
1	и в	49	34
2	и не	15	29
3	как бы	11	27
4	что он	3	23
5	в его	18	22
6	может быть	5	19
7	в нем	9	19
8	не может	7	19
9	и все	3	19
10	как и	11	18
11	но в	4	16
12	все это	9	16
13	и его	17	16
14	в этом	15	16
15	и с	6	15
16	прежде всего	19	15
17	то же	7	14
18	к нему	3	14
19	для него	9	13
20	но и	13	12
21	же время	6	12
22	и к	4	12
23	в то	6	12
24	вовсе не	10	11
25	в сущности	8	11
26	то что	6	11
27	на самом	2	11
28	не только	17	10
29	в отношении	2	9
30	никогда не	5	8
31	в самом	3	8
32	о мире	7	8
33	так же	2	8
34	точки зрения	6	8
35	с ним	4	8
36	в другом	2	8
37	что в	2	7
38	и даже	2	7
39	все же	7	7
40	как мы	7	7
41	там где	4	7
42	что они	2	6
43	в пределах	2	6
44	отношение к	8	6
45	и на	17	6
46	с его	5	6
47	мы уже	6	6
48	так и	6	6
49	в плане	3	6
50	в себе	4	6
51	только в	13	6
52	в конце	2	5
53	но все	4	5
54	всяком случае	2	5
55	себе и	2	5
56	из них	3	5
57	таким образом	7	5
58	и вот	3	5
59	лишь в	4	5
60	а в	4	5
61	мы должны	2	5
62	в одном	3	5
63	на протяжении	7	5
64	даже в	3	5
65	во всяком	2	5
66	с другой	4	4
67	протяжении всего	5	4
68	ни в	3	4
69	да и	3	4
70	но это	2	4
71	у него	2	4
72	при этом	5	4
73	на его	2	4
74	как к	2	4
75	все эти	7	4
76	рядом с	6	4
77	даже и	2	4
78	в начале	5	4
79	так как	6	4
80	он как	2	4
81	но не	5	4
82	еще не	2	4
83	и прежде	2	4
84	в мире	2	4
85	с точки	5	4
86	тем что	4	4
87	и это	3	4
88	ничего не	2	4
89	вместе с	2	4
90	уже в	5	3
91	в том	3	3
92	до конца	2	3
93	хотя и	2	3
94	в него	2	3
95	в виду	3	3
96	с ее	3	3
97	мы видели	3	3
98	уже говорили	5	3
99	жизни и	7	3
100	другой стороны	3	3
101	характер и	4	3
102	их в	3	3
103	в ней	2	3
104	нуждается в	2	3
105	но он	6	3
106	во всем	3	3
107	под влиянием	2	3
108	сознания и	2	3
109	и во	4	3
110	в ее	3	3
111	том что	4	3
112	и своего	2	3
113	наконец в	3	3
114	еще в	2	3
115	в своей	5	3
116	далеко не	3	3
117	в творчестве	6	3
118	только с	3	3
119	не было	4	2
120	человек в	2	2
121	понятно что	2	2
122	та же	2	2
123	это в	2	2
124	вследствие этого	2	2
125	диалога в	2	2
126	один из	7	2
127	в форме	4	2
128	и со	3	2
129	в своем	5	2
130	в произведениях	2	2
131	как на	4	2
132	особенно в	2	2
133	о том	3	2
134	почти все	3	2
135	сказать что	6	2
136	мире и	3	2
137	во время	12	2
138	всех этих	3	2
139	он дает	2	2
140	в них	13	2
141	в жизни	4	2
142	его целом	3	2
143	это и	2	2
144	громадное значение	2	2
145	тот же	5	2
146	но именно	3	2
147	было бы	3	2
148	со всеми	2	2
149	раз в	3	2
150	за пределы	2	2
151	во всех	6	2
152	вполне понятно	2	2
153	к ней	2	2
154	и потому	5	2
155	благодаря этому	4	2
156	так в	3	2
157	жизнь и	2	2
158	и без	2	2
159	тому как	2	2
160	связан с	3	2
161	подобно тому	2	2
162	и вообще	3	2
163	о чем	3	2
