N	2gram	Potebnia_M_3	Mirosoze
1	и в	30	46
2	в нем	9	22
3	у него	2	22
4	может быть	28	21
5	в этом	10	20
6	для него	9	18
7	и не	15	18
8	не только	21	18
9	но и	19	15
10	не может	6	15
11	как и	10	13
12	не есть	17	13
13	а не	15	13
14	прежде всего	3	12
15	друг друга	3	12
16	потому что	46	12
17	не было	4	11
18	в ней	8	11
19	та же	2	10
20	он не	4	10
21	в себе	16	10
22	не в	15	9
23	не знает	3	9
24	и есть	3	8
25	но это	6	8
26	как бы	3	8
27	в своем	5	8
28	так как	13	8
29	отношение к	2	8
30	она не	2	8
31	человека и	5	7
32	в этой	2	7
33	человек не	2	7
34	что он	6	7
35	и потому	4	7
36	как в	10	7
37	что это	4	6
38	так же	3	6
39	того что	18	6
40	жизни и	2	6
41	то же	23	5
42	что все	3	5
43	в самом	8	5
44	один из	4	5
45	что она	3	5
46	те же	6	5
47	и все	3	5
48	есть не	7	5
49	к тому	7	5
50	то что	18	5
51	в своей	2	5
52	для того	4	5
53	и его	4	5
54	образ и	6	5
55	в его	4	5
56	и это	4	5
57	что в	17	4
58	тому что	3	4
59	все что	4	4
60	есть уже	11	4
61	способен к	2	4
62	не имеет	6	4
63	самого себя	3	4
64	думать что	5	4
65	в свою	3	4
66	том что	18	4
67	что и	13	4
68	так и	11	4
69	уже не	6	4
70	того чтобы	3	4
71	на деле	5	4
72	себя и	4	3
73	и от	4	3
74	в каждом	3	3
75	в образе	3	3
76	на все	2	3
77	идеи и	2	3
78	ни в	2	3
79	в том	32	3
80	что они	2	3
81	и на	3	3
82	людей и	2	3
83	сказать что	5	3
84	и с	2	3
85	о том	2	3
86	его в	3	3
87	с ним	6	3
88	не существует	3	3
89	если бы	12	3
90	в них	5	3
91	это и	2	3
92	до сих	3	3
93	не будет	3	3
94	сих пор	3	3
95	от того	8	3
96	и тогда	3	3
97	того как	4	3
98	все равно	4	3
99	для человека	4	3
100	той же	2	3
101	тем что	7	3
102	только в	21	3
103	отношении к	2	3
104	есть в	3	3
105	в чем	3	3
106	жизни не	3	2
107	место в	3	2
108	уже в	5	2
109	быть может	3	2
110	не всегда	2	2
111	есть выражение	2	2
112	в человеке	3	2
113	что человек	2	2
114	я и	3	2
115	так что	7	2
116	такой степени	2	2
117	в действительности	5	2
118	и если	2	2
119	на его	2	2
120	и той	2	2
121	же и	3	2
122	почему не	2	2
123	к нему	3	2
124	не к	4	2
125	по отношению	5	2
126	что есть	2	2
127	которое было	2	2
128	в разных	2	2
129	должно быть	5	2
130	а в	12	2
131	точки зрения	2	2
132	в мысли	2	2
133	но этот	2	2
134	бы в	2	2
135	нет ни	2	2
136	между тем	9	2
137	есть еще	3	2
138	природы в	2	2
139	и та	2	2
140	и самое	2	2
141	его с	2	2
142	то он	2	2
143	же что	6	2
144	тогда когда	9	2
145	по себе	16	2
146	мы видим	2	2
147	с любовью	2	2
148	связи с	2	2
149	и что	10	2
150	и тот	2	2
151	мысль о	5	2
152	к ней	5	2
153	как ее	2	2
154	оно не	4	2
155	с таким	2	2
156	отношению к	5	2
157	вместе с	12	2
158	что же	2	2
159	человеческой жизни	3	2
160	бы не	4	2
161	одной и	4	2
162	к своему	2	2
163	что не	8	2
164	тому как	5	2
165	от этого	2	2
166	сам по	5	2
167	подобно тому	2	2
168	образа и	3	2
169	души и	2	2
170	в которой	3	2
