N	2gram	Propp_Isto_4	Problema
1	то что	16	42
2	вовсе не	4	35
3	и в	26	32
4	и не	9	31
5	не есть	2	29
6	не просто	4	23
7	не менее	2	19
8	в этом	7	19
9	тем не	2	18
10	не только	15	17
11	потому что	6	16
12	по себе	2	15
13	а не	6	15
14	в виде	2	15
15	в себе	2	15
16	как бы	3	14
17	может быть	14	14
18	у нас	2	14
19	указывает на	4	14
20	но в	5	14
21	и тем	2	13
22	в нем	2	13
23	сказать что	2	13
24	что мы	3	13
25	при помощи	10	13
26	что в	14	12
27	а именно	3	12
28	том что	3	12
29	так и	10	12
30	и т	27	11
31	и даже	4	11
32	о том	4	11
33	так как	9	11
34	то же	8	10
35	в этой	2	10
36	т д	24	10
37	об этом	7	10
38	ничего не	5	10
39	но не	5	9
40	в том	3	9
41	но и	12	9
42	и что	5	9
43	так же	18	9
44	же самое	2	9
45	еще не	6	9
46	в данном	3	9
47	на то	3	8
48	есть только	3	8
49	данном случае	3	8
50	не может	6	8
51	все эти	3	8
52	и на	2	8
53	даже и	2	8
54	было бы	2	8
55	в своей	4	8
56	как нечто	3	8
57	но это	3	8
58	содержит в	2	7
59	никогда не	2	7
60	ни в	2	7
61	такого рода	2	7
62	все это	2	7
63	того что	2	7
64	и все	2	7
65	что он	10	7
66	как мы	5	7
67	тем что	5	7
68	только в	3	7
69	здесь не	4	7
70	и есть	2	6
71	так что	2	6
72	и как	5	6
73	при этом	3	6
74	и если	3	6
75	хотя и	2	6
76	таким образом	10	6
77	это не	5	6
78	и здесь	5	6
79	и то	6	6
80	его в	9	6
81	как это	3	6
82	о чем	3	6
83	в его	5	6
84	перед нами	3	5
85	в своем	2	5
86	для нас	3	5
87	есть в	2	5
88	мы уже	5	5
89	что она	3	5
90	мы должны	5	5
91	с тем	2	5
92	связи с	3	5
93	в других	2	5
94	точно так	5	4
95	не в	5	4
96	в дальнейшем	6	4
97	с целью	2	4
98	и пр	11	4
99	на том	2	4
100	и только	5	4
101	или в	3	4
102	а в	8	4
103	их в	7	4
104	в истории	2	4
105	как он	6	4
106	если бы	2	4
107	в отдельности	2	4
108	же в	3	4
109	а также	3	4
110	как в	7	4
111	мы можем	6	4
112	в связи	2	4
113	уже в	2	3
114	что это	2	3
115	в этих	7	3
116	с другой	4	3
117	его от	2	3
118	но все	5	3
119	что они	6	3
120	но для	2	3
121	хотя бы	2	3
122	другими словами	2	3
123	из них	2	3
124	другой стороны	4	3
125	и его	10	3
126	этих случаях	8	3
127	в которых	4	3
128	с этим	2	3
129	но он	4	3
130	он всегда	3	3
131	что здесь	7	3
132	других предметов	2	3
133	бы мы	2	3
134	и во	2	3
135	не хочет	2	3
136	как и	7	3
137	есть и	2	3
138	до сих	5	3
139	мы увидим	3	3
140	он не	7	3
141	говорит о	2	3
142	сих пор	5	3
143	того как	4	3
144	уже не	5	3
145	не на	3	3
146	на этот	2	3
147	к нему	6	3
148	или на	2	3
149	не могут	2	2
150	же как	13	2
151	иное как	3	2
152	этом случае	3	2
153	это мы	2	2
154	его как	2	2
155	например в	3	2
156	на его	3	2
157	указывают на	2	2
158	большей частью	3	2
159	не имеет	3	2
160	по его	2	2
161	и с	5	2
162	знаем что	7	2
163	из этих	3	2
164	мы имеем	7	2
165	том как	2	2
166	с собой	5	2
167	что ни	3	2
168	могут быть	6	2
169	однако в	2	2
170	он должен	3	2
171	таких случаях	2	2
172	не что	3	2
173	по существу	3	2
174	мы видим	6	2
175	и при	3	2
176	в качестве	7	2
177	с этими	2	2
178	она не	3	2
179	но есть	2	2
180	между прочим	2	2
181	вместе с	6	2
182	только что	3	2
183	мы здесь	2	2
184	что этот	4	2
185	он в	4	2
186	на себя	4	2
187	представление об	3	2
188	что иное	3	2
189	в таких	2	2
190	в области	2	2
