N	2gram	Tiupa_Disk_1	Narrotol
1	не только	28	26
2	а не	22	17
3	представляет собой	17	16
4	но и	14	15
5	тогда как	19	15
6	в том	23	14
7	при этом	13	14
8	в качестве	34	14
9	и не	11	14
10	том что	19	13
11	и в	16	13
12	в этом	15	13
13	состоит в	9	12
14	такого рода	4	12
15	в частности	9	11
16	только в	7	11
17	может быть	17	10
18	в данном	5	10
19	своего рода	8	9
20	к тому	5	9
21	так и	8	9
22	сводится к	5	9
23	а в	5	9
24	то есть	20	9
25	нарративного дискурса	3	8
26	картина мира	3	8
27	то что	5	8
28	в себе	7	8
29	в тексте	2	8
30	не может	9	8
31	не в	7	8
32	коммуникативного события	14	8
33	события рассказывания	3	7
34	не сводится	3	7
35	иначе говоря	2	7
36	к себе	2	7
37	в рамках	5	6
38	никогда не	2	6
39	в своем	6	6
40	прежде всего	11	6
41	можно сказать	5	6
42	и к	4	6
43	того что	3	6
44	в его	7	6
45	и т.п	12	6
46	коммуникативное событие	5	6
47	данном случае	2	6
48	со стороны	7	6
49	нарративная интрига	2	6
50	жизни в	2	6
51	героя в	2	6
52	все же	3	6
53	как бы	5	6
54	а также	8	6
55	но в	8	6
56	по мысли	3	5
57	точки зрения	3	5
58	что он	4	5
59	одной стороны	9	5
60	хотя и	2	5
61	в котором	5	5
62	и тем	2	5
63	в нем	9	5
64	отношению к	9	5
65	как в	10	5
66	в форме	2	5
67	по отношению	9	5
68	в отличие	5	5
69	таким образом	3	5
70	с одной	9	5
71	с другой	10	5
72	на протяжении	2	5
73	отличие от	5	5
74	в то	3	5
75	далеко не	10	5
76	о том	8	5
77	перед нами	3	4
78	не менее	2	4
79	отнюдь не	8	4
80	в литературе	2	4
81	об этом	2	4
82	тому же	5	4
83	как и	16	4
84	времени и	3	4
85	что в	4	4
86	для него	4	4
87	при всей	3	4
88	не является	4	4
89	в своей	5	4
90	в ее	3	4
91	то же	7	4
92	в какой	2	4
93	уже не	4	4
94	рассказывания в	3	4
95	свидетельствует о	2	4
96	в рассказе	2	4
97	в силу	5	4
98	следует признать	2	4
99	в другом	2	4
100	в этой	2	4
101	и т.д	4	4
102	и все	2	4
103	в себя	5	4
104	мира в	3	4
105	но при	3	4
106	с его	4	3
107	мы имеем	2	3
108	или даже	2	3
109	это не	3	3
110	пока еще	6	3
111	или иной	5	3
112	и представляет	2	3
113	по слову	3	3
114	и того	3	3
115	в соответствии	2	3
116	соответствии с	2	3
117	о котором	2	3
118	но не	11	3
119	строго говоря	2	3
120	же время	4	3
121	того или	2	3
122	к его	2	3
123	той или	3	3
124	опыта в	2	3
125	о нем	2	3
126	для себя	4	3
127	один из	3	3
128	в целом	4	3
129	на том	2	3
130	внутренней речи	2	3
131	между собой	2	3
132	внимание на	4	3
133	как к	2	3
134	при встрече	2	3
135	и даже	3	3
136	нарративного высказывания	2	3
137	и по	2	3
138	и его	2	3
139	характер и	2	3
140	не следует	2	3
141	сказать что	3	3
142	между тем	4	3
143	по своей	11	3
144	существенную роль	3	3
145	как правило	4	3
146	так сказать	2	3
147	едва ли	2	3
148	дело с	2	2
149	в принципе	2	2
150	не обязательно	4	2
151	зависит от	2	2
152	дискурс в	3	2
153	очевидным образом	3	2
154	о чем	2	2
155	по словам	2	2
156	однако в	3	2
157	хотя бы	3	2
158	столь же	3	2
159	к другому	2	2
160	представления о	2	2
161	дискурса в	2	2
162	как уже	3	2
163	вследствие этого	3	2
164	однако на	2	2
165	художественного письма	7	2
166	из наиболее	2	2
167	в свою	3	2
168	но одновременно	2	2
169	автора в	2	2
170	в строгом	3	2
171	в начале	2	2
172	и адресата	2	2
173	по своему	3	2
174	имеем дело	2	2
175	что с	2	2
176	поль рикёр	2	2
177	еще не	14	2
178	и он	2	2
179	ему в	2	2
180	своей природе	2	2
181	в самом	3	2
182	имеет место	3	2
183	и иные	2	2
184	текста и	2	2
185	как показывает	2	2
186	в нарративном	4	2
187	оно не	2	2
188	не могло	2	2
189	но зато	2	2
190	что и	3	2
191	нарративный дискурс	3	2
192	себя в	2	2
193	событийный статус	2	2
194	в процессе	5	2
195	в культуре	2	2
196	а ван	2	2
197	в составе	5	2
198	а с	5	2
199	именно в	3	2
200	они не	2	2
201	и слушающих	2	2
202	и что	2	2
203	более чем	2	2
204	собственно и	2	2
205	своей собственной	2	2
206	роль в	7	2
207	ведет к	3	2
208	тому как	3	2
209	самого рассказывания	3	2
210	подобно тому	2	2
211	в своих	3	2
212	его характер	2	2
213	дискурса как	4	2
214	в равной	2	2
215	зрения на	3	2
216	героя и	2	2
217	в каждой	3	2
218	потому что	4	2
219	принадлежности к	2	2
220	к которому	2	2
