N	2gram	Tiupa_Disk_2	Dialekti
1	и не	15	30
2	и в	16	18
3	может быть	16	17
4	точки зрения	4	17
5	в нем	7	16
6	ни в	7	15
7	а не	14	14
8	потому что	4	14
9	что в	5	13
10	то что	5	13
11	не только	10	13
12	с точки	2	12
13	в этом	16	12
14	не может	9	12
15	что он	2	11
16	как бы	4	11
17	все это	2	11
18	в себе	19	11
19	прежде всего	7	10
20	то же	6	10
21	никогда не	2	9
22	отнюдь не	6	9
23	это не	3	9
24	в том	8	9
25	так и	9	9
26	том что	10	9
27	и то	4	9
28	но это	3	8
29	и как	3	7
30	но и	11	7
31	также и	3	7
32	той или	3	7
33	с другой	5	6
34	можно сказать	3	6
35	не было	3	6
36	не в	3	6
37	в то	5	6
38	но в	11	6
39	в этих	3	5
40	в своем	5	5
41	в противоположность	5	5
42	а потом	2	5
43	не с	2	5
44	все же	6	5
45	отношение к	2	5
46	а в	2	5
47	и с	2	5
48	говорить о	2	5
49	у пушкина	2	4
50	но не	7	4
51	же время	5	4
52	одно и	2	4
53	не о	2	4
54	в котором	3	4
55	другой стороны	2	4
56	может и	2	4
57	о том	4	4
58	содержит в	2	3
59	что ни	2	3
60	может иметь	2	3
61	в них	3	3
62	должна быть	2	3
63	стороны и	2	3
64	не является	4	3
65	или иной	3	3
66	что и	2	3
67	он не	3	3
68	в его	3	3
69	жизни и	3	3
70	но она	3	3
71	что же	2	3
72	должно быть	2	3
73	в данном	7	3
74	в основе	4	3
75	в ней	2	3
76	могут быть	3	3
77	только в	3	3
78	и все	3	3
79	ни к	5	2
80	не менее	7	2
81	же как	2	2
82	именно в	2	2
83	в частности	12	2
84	не знает	3	2
85	в качестве	16	2
86	и состоит	2	2
87	как в	8	2
88	из этих	3	2
89	и другого	2	2
90	к этому	4	2
91	в мире	11	2
92	как и	16	2
93	с той	2	2
94	такой же	2	2
95	является не	2	2
96	здесь в	3	2
97	не нужно	2	2
98	для него	5	2
99	еще не	6	2
100	одной стороны	4	2
101	и может	3	2
102	о чем	2	2
103	в первую	2	2
104	качестве примера	2	2
105	но уже	2	2
106	из них	3	2
107	в своей	6	2
108	с ней	2	2
109	со стороны	10	2
110	а с	5	2
111	этом отношении	4	2
112	с одной	4	2
113	все эти	3	2
114	мы имеем	2	2
115	уже не	3	2
116	объекта и	2	2
117	и для	2	2
118	об одном	3	2
119	стремится к	2	2
120	в другом	3	2
121	я в	5	2
122	или по	2	2
123	и это	2	2
124	что как	2	2
