N	2gram	Tiupa_Teor_1	Formalny
1	и не	13	30
2	вовсе не	3	28
3	и в	18	27
4	может быть	17	25
5	не может	4	24
6	так и	10	21
7	и его	8	19
8	таким образом	3	18
9	в этом	8	18
10	а не	9	17
11	точки зрения	9	16
12	в нем	4	15
13	то же	7	15
14	между ними	4	15
15	как и	4	14
16	с точки	3	14
17	не в	7	12
18	если бы	3	12
19	в самом	4	11
20	в жизни	2	11
21	место в	5	10
22	но и	9	10
23	не могут	2	10
24	лишь в	6	9
25	не только	16	9
26	так же	2	9
27	что в	9	8
28	ни в	2	8
29	при этом	12	8
30	в пределах	5	8
31	как бы	5	8
32	отнюдь не	3	8
33	то что	3	8
34	как раз	2	8
35	только в	6	8
36	не менее	4	7
37	в том	16	7
38	же время	5	7
39	все это	2	7
40	потому что	3	7
41	в искусстве	6	7
42	в то	6	7
43	его в	2	7
44	между тем	5	7
45	художественного произведения	4	7
46	в его	6	7
47	если мы	2	7
48	с другой	7	6
49	все эти	2	6
50	но в	9	6
51	в литературе	2	6
52	еще не	4	6
53	в своей	6	6
54	и для	2	6
55	в данном	8	6
56	и ее	3	6
57	вместе с	2	6
58	никогда не	4	5
59	не является	4	5
60	другой стороны	5	5
61	материала в	2	5
62	в художественном	3	5
63	но не	9	5
64	и потому	2	5
65	сводится к	5	5
66	без исключения	4	5
67	прежде всего	2	4
68	к тому	2	4
69	и как	2	4
70	в большинстве	2	4
71	ценностный центр	2	4
72	и является	2	4
73	в целом	3	4
74	литературного произведения	7	4
75	данном случае	5	4
76	со стороны	2	4
77	как это	8	4
78	между собой	3	4
79	в ее	5	4
80	в романе	3	4
81	том что	9	4
82	как в	5	4
83	роль в	2	4
84	в слове	3	4
85	могут быть	4	4
86	искусства в	2	3
87	в этих	3	3
88	тому что	2	3
89	в какой	2	3
90	столь же	2	3
91	это не	2	3
92	в конце	2	3
93	можно сказать	3	3
94	того что	4	3
95	имеет место	2	3
96	одним из	2	3
97	в виду	5	3
98	и тем	3	3
99	по отношению	4	3
100	и что	3	3
101	не следует	4	3
102	их в	3	3
103	сказать что	3	3
104	в основе	3	3
105	к его	2	3
106	жизни в	2	3
107	в них	2	3
108	на фоне	2	3
109	у нас	2	3
110	того же	3	3
111	отношению к	4	3
112	ее в	2	3
113	в произведении	3	3
114	а и	4	3
115	в той	2	3
116	уже не	4	3
117	не на	2	3
118	в себе	9	3
119	в поэзии	2	3
120	а на	3	2
121	в отношении	3	2
122	была бы	3	2
123	или иной	4	2
124	как система	2	2
125	в этой	3	2
126	в следующей	2	2
127	в формах	2	2
128	роман и	2	2
129	совпадает с	3	2
130	известной степени	3	2
131	дело не	2	2
132	что она	2	2
133	отличается от	2	2
134	в своем	4	2
135	отношения к	2	2
136	в самой	2	2
137	и даже	2	2
138	из этих	3	2
139	к которому	3	2
140	с его	5	2
141	только не	2	2
142	этом смысле	2	2
143	однако в	7	2
144	превращается в	2	2
145	данный момент	2	2
146	с ее	3	2
147	говорить о	3	2
148	и притом	2	2
149	то в	2	2
150	что каждый	2	2
151	говорит в	2	2
152	внутреннего мира	2	2
153	одной из	2	2
154	за пределы	2	2
155	этого слова	3	2
156	на почве	4	2
157	даже в	3	2
158	не могло	2	2
159	что и	2	2
160	тем не	3	2
161	внутренней речи	13	2
162	так в	4	2
163	в отличие	6	2
164	соединении с	2	2
165	до известной	2	2
166	слова как	3	2
167	и это	2	2
168	дело в	2	2
169	героя и	5	2
170	отличие от	6	2
171	в области	4	2
