N	2gram	Berdyaev_M_1	StatiiOP
1	и в	28	44
2	в том	6	36
3	что в	10	30
4	том что	3	29
5	в этом	20	21
6	то что	5	18
7	не только	29	18
8	было бы	10	17
9	а в	4	17
10	о том	2	17
11	и не	11	16
12	а не	25	16
13	т е	2	15
14	может быть	30	15
15	как в	2	13
16	не в	16	12
17	у нас	5	11
18	в этой	6	11
19	того чтобы	2	11
20	точки зрения	4	11
21	для того	2	10
22	что он	10	10
23	но и	25	10
24	но в	7	10
25	только в	6	10
26	если бы	2	9
27	в то	2	9
28	как и	5	9
29	того что	7	9
30	также и	2	9
31	в его	9	9
32	все же	2	8
33	не может	28	8
34	и его	9	8
35	это не	5	8
36	прежде всего	10	7
37	в самом	11	7
38	для нас	3	7
39	сих пор	2	7
40	до сих	2	7
41	сказать что	2	7
42	потому что	16	6
43	для него	11	6
44	что и	4	6
45	в своей	15	6
46	в той	2	6
47	хотя бы	3	6
48	никогда не	14	5
49	в котором	8	5
50	в нем	13	5
51	жизни и	2	5
52	все это	6	5
53	вряд ли	3	5
54	и по	4	5
55	в которых	4	5
56	тем что	4	5
57	могут быть	2	5
58	все эти	2	5
59	так как	3	5
60	вопрос о	2	4
61	бы и	3	4
62	в ее	3	4
63	это и	4	4
64	и что	2	4
65	никто не	2	4
66	но если	3	4
67	как бы	2	4
68	в россии	2	4
69	не было	18	4
70	не имеет	3	4
71	как будто	2	4
72	в которой	6	4
73	в основе	2	3
74	не существует	2	3
75	и я	5	3
76	и с	3	3
77	с этой	4	3
78	в конце	7	3
79	должна быть	6	3
80	он был	14	3
81	в начале	2	3
82	чем в	2	3
83	но не	8	3
84	и для	2	3
85	в ней	15	3
86	не значит	2	3
87	не все	2	3
88	должен быть	2	3
89	отношению к	2	3
90	нужно искать	2	3
91	ни с	4	3
92	в истории	2	3
93	по отношению	2	3
94	лишь в	6	3
95	на этот	2	3
96	и нужно	2	3
97	значит что	4	3
98	в каком	2	3
99	будто бы	3	3
100	это очень	3	3
101	с этим	3	3
102	может не	2	2
103	уже в	4	2
104	бы не	2	2
105	а как	2	2
106	в этих	4	2
107	даже и	2	2
108	в своем	10	2
109	вообще не	2	2
110	и во	2	2
111	его собственной	2	2
112	нет никаких	2	2
113	литературы и	2	2
114	к концу	4	2
115	то время	2	2
116	чем у	4	2
117	она не	4	2
118	не хочет	2	2
119	за пределы	4	2
120	и потому	10	2
121	я бы	2	2
122	в свой	2	2
123	отношение к	4	2
124	конечно не	3	2
125	отношения к	4	2
126	и их	3	2
127	хотел бы	4	2
128	и у	2	2
129	есть только	2	2
130	не была	3	2
131	он должен	3	2
132	и те	2	2
133	ничего не	3	2
134	не знает	4	2
135	от этого	2	2
136	у него	17	2
137	одно из	3	2
138	он не	24	2
139	но он	9	2
140	в себе	7	2
141	по своей	2	2
142	все в	6	2
143	и все	10	2
144	его в	3	2
145	и это	12	2
146	том смысле	2	2
147	в иных	3	2
148	к нему	7	2
149	должен был	4	2
150	время как	2	2
151	то есть	3	2
