N	2gram	Losev_Vlad_3	Myshleni
1	в том	18	42
2	том что	18	35
3	таким образом	11	25
4	точки зрения	13	24
5	в этом	16	24
6	в качестве	3	21
7	и в	40	20
8	что в	17	19
9	то же	4	16
10	то что	28	15
11	не только	25	15
12	как мы	8	13
13	с другой	5	12
14	при этом	3	12
15	в их	2	12
16	потому что	11	12
17	может быть	8	12
18	в целом	2	11
19	так же	8	11
20	в его	14	11
21	мы должны	4	11
22	с точки	6	11
23	того что	7	10
24	в истории	5	10
25	так как	7	10
26	в отношении	5	10
27	если мы	4	10
28	и то	9	10
29	в себе	9	10
30	только в	13	10
31	и как	7	9
32	одной стороны	3	9
33	но и	18	9
34	другой стороны	2	9
35	с одной	3	9
36	как это	4	9
37	как и	7	9
38	того же	2	9
39	что и	7	9
40	и не	25	8
41	и тем	3	8
42	и что	8	8
43	в результате	4	8
44	этом смысле	3	8
45	было бы	4	8
46	вместе с	7	8
47	и более	2	7
48	как бы	3	7
49	этом отношении	2	7
50	что мы	2	7
51	же самое	3	7
52	в своей	9	7
53	тем самым	2	7
54	а не	8	7
55	того чтобы	3	7
56	тем что	5	7
57	уже в	3	6
58	к тому	7	6
59	тому же	5	6
60	же как	3	6
61	такого рода	4	6
62	мы видели	3	6
63	в самом	4	6
64	не может	14	6
65	и на	6	6
66	сказать что	12	6
67	по своей	2	6
68	его в	2	6
69	с тем	7	6
70	что он	5	6
71	в силу	2	6
72	одно и	2	6
73	можно было	5	6
74	перед нами	3	5
75	никогда не	11	5
76	это не	3	5
77	на то	4	5
78	не является	2	5
79	если бы	3	5
80	и его	10	5
81	с этим	2	5
82	и к	2	5
83	все же	4	5
84	о том	11	5
85	мы уже	5	5
86	так и	6	5
87	для того	2	5
88	все эти	5	5
89	в нашем	2	4
90	тому что	4	4
91	в своем	8	4
92	первый план	2	4
93	для нас	5	4
94	является не	3	4
95	из них	2	4
96	и только	3	4
97	роль в	2	4
98	друг друга	2	4
99	с этой	2	4
100	и с	9	4
101	к этому	2	4
102	на первый	2	4
103	в смысле	6	4
104	в сущности	2	4
105	только что	2	4
106	не в	3	4
107	и для	3	4
108	во всяком	3	4
109	не могут	2	3
110	не менее	9	3
111	в этих	2	3
112	в какой	2	3
113	и от	6	3
114	точно так	4	3
115	что все	7	3
116	а только	7	3
117	так что	14	3
118	в этой	8	3
119	но что	2	3
120	не имеют	2	3
121	себе и	2	3
122	от того	4	3
123	одной из	2	3
124	в виду	3	3
125	всяком случае	3	3
126	со стороны	2	3
127	в связи	3	3
128	именно в	3	3
129	должно быть	5	3
130	но в	4	3
131	отнюдь не	5	3
132	в настоящем	2	3
133	бы в	2	3
134	по существу	4	3
135	во всем	6	3
136	чем в	4	3
137	но не	4	3
138	наряду с	2	3
139	только к	2	3
140	с таким	2	3
141	совершенно не	2	3
142	ни в	10	3
143	является в	2	3
144	в виде	13	3
145	связи с	2	3
146	ничего общего	5	3
147	что эта	2	3
148	в чем	3	3
149	в которой	2	3
150	такой же	4	2
151	содержит в	5	2
152	мы будем	2	2
153	должна быть	2	2
154	прежде всего	10	2
155	в настоящее	3	2
156	что на	2	2
157	мы и	2	2
158	что если	4	2
159	для него	8	2
160	в нашей	2	2
161	что это	9	2
162	и у	3	2
163	но для	3	2
164	в ней	5	2
165	в нем	3	2
166	к нему	3	2
167	то как	3	2
168	вопросе о	3	2
169	данном случае	2	2
170	отличается от	3	2
171	в отличие	3	2
172	по мнению	4	2
173	на одной	2	2
174	не просто	10	2
175	не имеет	4	2
176	а в	7	2
177	также и	17	2
178	на более	2	2
179	в данном	5	2
180	из этих	3	2
181	и здесь	6	2
182	но как	2	2
183	в начале	2	2
184	самого себя	2	2
185	что здесь	3	2
186	настоящее время	3	2
187	понятие о	2	2
188	мы имеем	3	2
189	нисколько не	3	2
190	у него	24	2
191	которая в	2	2
192	когда оно	2	2
193	стороны и	2	2
194	в вопросе	2	2
195	еще не	4	2
196	остановиться на	2	2
197	никак не	4	2
198	далеко не	3	2
199	а также	8	2
200	даже в	4	2
201	этих трех	3	2
202	не есть	10	2
203	как говорит	2	2
204	дальше и	2	2
205	и речи	2	2
206	только на	5	2
207	а с	4	2
208	если не	6	2
209	в таком	3	2
210	что этот	3	2
211	это значит	6	2
212	в каком	4	2
213	и это	6	2
214	здесь не	3	2
215	едва ли	11	2
216	отличие от	3	2
217	которые не	2	2
218	же не	2	2
219	значит что	6	2
