N	2gram	Ircho_Kome_2	UchenyiS
1	и в	26	14
2	не только	7	10
3	и не	14	8
4	прежде всего	4	8
5	то что	6	7
6	в этом	10	7
7	не может	3	7
8	может быть	11	6
9	хотя бы	2	5
10	все это	3	5
11	то же	3	5
12	но и	10	4
13	в этой	3	4
14	в их	3	4
15	с другой	2	4
16	но в	3	3
17	как и	4	3
18	все же	4	3
19	не следует	2	3
20	в своей	3	3
21	в частности	4	3
22	бы то	2	3
23	то ни	2	3
24	же время	3	3
25	это не	2	3
26	в то	6	3
27	было бы	8	3
28	ни было	2	3
29	том что	9	2
30	но не	3	2
31	в том	11	2
32	мы не	2	2
33	с его	5	2
34	не в	2	2
35	и для	4	2
36	бы и	2	2
37	должна была	2	2
38	этом смысле	2	2
39	о чем	3	2
40	если бы	9	2
41	только в	4	2
42	и с	5	2
43	тем что	3	2
44	сих пор	2	2
45	что он	5	2
46	и у	2	2
47	до сих	2	2
48	в конце	2	2
49	если не	2	2
50	в самом	4	2
51	одним из	2	2
52	надо было	3	2
53	для всех	3	2
54	что она	2	2
55	что и	7	2
56	в его	4	2
57	более чем	4	2
58	между тем	4	2
59	таким образом	6	2
60	же не	2	2
61	это было	4	2
