N	2gram	Propp_Isto_3	Komedia
1	и в	22	22
2	и не	12	21
3	т е	16	16
4	в дом	12	14
5	том что	8	13
6	в том	9	12
7	таким образом	10	12
8	со стороны	3	11
9	так как	7	11
10	ни в	2	10
11	в доме	12	10
12	потому что	3	10
13	до сих	5	9
14	вместе с	9	9
15	сих пор	5	9
16	если бы	6	8
17	в своем	2	8
18	что он	9	8
19	к ней	4	8
20	в его	3	8
21	что и	9	8
22	что отец	2	8
23	в этом	17	8
24	о том	3	8
25	его в	3	8
26	при этом	2	7
27	в свою	4	7
28	то же	6	7
29	а в	6	7
30	во время	6	6
31	к этому	7	6
32	тому же	2	6
33	еще не	10	6
34	к тому	3	6
35	может быть	11	6
36	и что	2	6
37	так что	5	6
38	и его	4	6
39	в то	2	6
40	не менее	5	5
41	связи с	6	5
42	что в	15	5
43	прежде всего	3	5
44	то это	2	5
45	как это	4	5
46	хотя и	2	5
47	не только	14	5
48	отношение к	4	5
49	из них	7	5
50	по отношению	2	5
51	из дома	2	5
52	он не	5	5
53	тем что	4	5
54	к нему	5	5
55	в которых	2	5
56	но в	10	5
57	с тем	2	4
58	но все	2	4
59	должен был	3	4
60	у него	3	4
61	с другой	7	4
62	вовсе не	2	4
63	и здесь	7	4
64	все же	5	4
65	не в	4	4
66	не дает	2	4
67	в ней	2	4
68	и т	16	4
69	то что	7	4
70	но и	12	4
71	что она	5	4
72	из дому	3	4
73	а не	6	4
74	и для	2	4
75	друг друга	6	4
76	так же	3	4
77	точки зрения	2	4
78	на себя	2	4
79	в связи	3	4
80	так и	2	4
81	и с	4	4
82	на месте	2	3
83	в частности	5	3
84	никогда не	3	3
85	в них	6	3
86	с этим	8	3
87	себе в	2	3
88	если не	2	3
89	одного из	2	3
90	в нем	9	3
91	далеко не	3	3
92	и к	3	3
93	тем не	5	3
94	как и	3	3
95	в этой	5	3
96	все что	3	3
97	одной стороны	2	3
98	было бы	3	3
99	должно было	2	3
100	один из	5	3
101	отношению к	2	3
102	в целом	3	3
103	даже не	2	3
104	дело с	2	3
105	не может	4	3
106	дома и	3	3
107	не могла	2	3
108	с одной	2	3
109	в течение	6	3
110	все равно	3	3
111	из того	2	3
112	возможно что	6	3
113	что не	2	3
114	и даже	2	3
115	не имеет	2	3
116	в других	4	3
117	их в	3	3
118	мы можем	6	3
119	во всяком	2	3
120	представляет собой	3	3
121	на это	2	3
122	ничего не	6	3
123	всяком случае	2	3
124	все время	2	2
125	его дочери	2	2
126	пребывания в	7	2
127	состоит в	3	2
128	в качестве	2	2
129	как в	2	2
130	это не	6	2
131	равно как	3	2
132	и все	3	2
133	в одном	2	2
134	представление о	3	2
135	если он	2	2
136	нет никаких	2	2
137	стороны и	3	2
138	мы знаем	2	2
139	этом случае	5	2
140	а затем	3	2
141	в силу	2	2
142	за ним	3	2
143	что они	8	2
144	она не	4	2
145	что девушка	4	2
146	то время	2	2
147	в пределах	4	2
148	не мог	2	2
149	совершенно не	2	2
150	на его	3	2
151	и о	2	2
152	одним из	4	2
153	не совсем	3	2
154	а также	2	2
155	и он	2	2
156	в котором	2	2
157	представляют собой	4	2
158	не с	2	2
159	после этого	2	2
160	у тебя	2	2
161	могло быть	3	2
162	как мы	8	2
163	другой стороны	7	2
164	все еще	6	2
165	целый ряд	3	2
166	его не	3	2
167	не было	2	2
168	ней в	2	2
169	время как	2	2
170	после чего	10	2
171	роль в	2	2
172	из этой	2	2
173	и на	4	2
174	здесь и	2	2
175	между тем	2	2
176	он и	3	2
177	и ее	3	2
178	в другом	2	2
179	видно что	2	2
180	его на	2	2
181	и это	2	2
182	нет ничего	2	2
183	здесь не	3	2
184	что ты	4	2
185	к отцу	2	2
