N	2gram	Propp_Isto_2	Analitik
1	в качестве	3	31
2	может быть	17	29
3	в том	6	27
4	не может	5	22
5	и не	11	21
6	и в	15	18
7	а не	5	17
8	но и	14	17
9	представляет собой	5	16
10	не только	18	15
11	не в	7	14
12	как и	2	13
13	в его	6	13
14	в этом	11	13
15	том что	7	12
16	при этом	4	12
17	состоит в	2	11
18	в себе	4	11
19	но не	2	10
20	то же	10	9
21	а в	12	9
22	но в	6	8
23	к тому	5	7
24	тем самым	2	7
25	это не	2	6
26	прежде всего	5	6
27	в сущности	2	6
28	то что	12	6
29	в себя	3	6
30	по отношению	3	6
31	только в	6	6
32	мы имеем	15	6
33	в этой	4	5
34	что в	12	5
35	как бы	6	5
36	отношению к	3	5
37	в их	3	5
38	и его	3	5
39	и на	4	5
40	что иное	2	5
41	о том	3	5
42	иное как	2	5
43	на вопрос	2	4
44	того что	3	4
45	и более	2	4
46	могут быть	2	4
47	себя и	2	4
48	с другой	2	4
49	не что	2	4
50	ни в	2	4
51	тому же	2	4
52	все же	9	4
53	вместе с	7	4
54	так и	5	4
55	именно в	2	4
56	с другими	2	4
57	в другом	9	4
58	и есть	5	3
59	хотя бы	2	3
60	в нем	7	3
61	что он	24	3
62	и т	19	3
63	в силу	2	3
64	еще не	9	3
65	одной стороны	3	3
66	он не	8	3
67	о нем	4	3
68	в котором	5	3
69	дело не	4	3
70	что и	6	3
71	а именно	3	3
72	таким образом	7	3
73	а с	2	3
74	с одной	4	3
75	того чтобы	2	3
76	к нему	5	3
77	тому как	3	3
78	подобно тому	3	3
79	могла бы	2	3
80	как будто	3	3
81	что мы	3	3
82	будто бы	2	3
83	как он	3	3
84	а также	2	3
85	и то	2	2
86	никогда не	15	2
87	все эти	4	2
88	его и	4	2
89	не столько	2	2
90	из этих	3	2
91	не просто	2	2
92	вопрос о	4	2
93	не должен	4	2
94	такой же	2	2
95	было бы	5	2
96	на его	2	2
97	не все	2	2
98	один из	8	2
99	представляют собой	3	2
100	из них	2	2
101	другой стороны	2	2
102	здесь не	2	2
103	той же	2	2
104	на самом	2	2
105	самом деле	2	2
106	не сам	2	2
107	и по	2	2
108	роль в	3	2
109	см ниже	2	2
110	при помощи	2	2
111	нет ничего	2	2
112	так как	14	2
113	потому что	9	2
114	в которой	2	2
115	и с	4	2
