N	2gram	Voloshinov_1	Literetu
1	и не	14	22
2	и в	38	16
3	в мире	2	16
4	при этом	9	15
5	не только	27	14
6	но и	13	14
7	в этом	10	14
8	а не	6	12
9	то что	8	12
10	может быть	13	12
11	в том	2	12
12	в частности	3	11
13	не в	6	10
14	я и	2	10
15	то же	14	9
16	так и	6	9
17	того что	4	9
18	в то	9	9
19	в жизни	2	8
20	том что	3	8
21	не может	12	8
22	в этой	6	8
23	как бы	28	8
24	в своей	2	7
25	же время	7	7
26	себя в	4	7
27	тем самым	7	7
28	точки зрения	10	7
29	только в	6	7
30	с его	7	6
31	к тому	4	6
32	еще не	3	6
33	в его	6	6
34	и т.п	21	6
35	и его	7	6
36	в себе	9	6
37	о том	4	6
38	в качестве	4	5
39	это не	3	5
40	что он	2	5
41	в ее	3	5
42	тому же	2	5
43	как и	10	5
44	лишь в	4	5
45	в целом	4	5
46	вместе с	5	5
47	как в	2	5
48	а в	5	5
49	этом отношении	2	5
50	в основе	2	5
51	то есть	4	5
52	место в	2	4
53	но не	2	4
54	никогда не	7	4
55	однако в	2	4
56	в начале	3	4
57	и для	3	4
58	хотя и	3	4
59	из них	3	4
60	не говоря	2	4
61	должно быть	2	4
62	в одном	3	4
63	ни к	2	3
64	все время	5	3
65	отнюдь не	10	3
66	прежде всего	21	3
67	и как	9	3
68	совершенно не	3	3
69	и к	4	3
70	на его	5	3
71	в самом	4	3
72	в слове	3	3
73	и тем	6	3
74	жизни и	3	3
75	бы и	2	3
76	в словах	3	3
77	уже не	4	3
78	самом деле	4	3
79	и наконец	5	3
80	с точки	5	3
81	той же	5	3
82	не становится	3	3
83	потому что	5	3
84	по своей	2	3
85	как это	5	3
86	отношения к	3	3
87	в области	5	3
88	но в	5	3
89	между тем	3	3
90	этой ситуации	2	2
91	если бы	4	2
92	быть может	3	2
93	что у	3	2
94	в конце	6	2
95	к этому	2	2
96	не всегда	2	2
97	вследствие этого	2	2
98	вопрос о	2	2
99	или иной	4	2
100	в нем	4	2
101	у нас	4	2
102	и при	2	2
103	связи с	3	2
104	художественного творчества	5	2
105	а на	2	2
106	художественное творчество	3	2
107	в свою	6	2
108	для него	3	2
109	можно сказать	4	2
110	человек с	2	2
111	было бы	7	2
112	и сам	2	2
113	в первой	2	2
114	несмотря на	2	2
115	во всех	6	2
116	как таковое	2	2
117	общественного сознания	2	2
118	той или	3	2
119	один из	4	2
120	не с	3	2
121	что и	3	2
122	все же	7	2
123	отношение к	2	2
124	во второй	3	2
125	с ней	2	2
126	и тогда	2	2
127	как мы	9	2
128	так же	4	2
129	в нас	2	2
130	как например	2	2
131	если не	3	2
132	еще и	2	2
133	человека в	2	2
134	и вот	3	2
135	того чтобы	7	2
136	для того	9	2
137	и даже	3	2
138	своей жизни	5	2
139	в своих	2	2
140	и на	6	2
141	и с	5	2
142	тем что	2	2
143	в живом	3	2
144	эти слова	8	2
145	представляет собой	2	2
146	не знает	3	2
147	же самое	5	2
148	его в	4	2
149	и потому	2	2
150	здесь не	2	2
