N	2gram	Savitsky_E_1	VerxiiNi
1	и в	37	26
2	таким образом	2	22
3	с тем	3	18
4	вместе с	2	15
5	в этом	12	15
6	точки зрения	23	13
7	как бы	6	12
8	в том	11	11
9	может быть	6	10
10	не только	18	10
11	и с	2	10
12	что в	21	9
13	но и	14	9
14	в области	11	9
15	так как	7	9
16	с другой	7	8
17	главным образом	2	8
18	но не	5	8
19	в общем	3	8
20	и не	14	8
21	как на	3	8
22	том что	6	7
23	одной стороны	8	7
24	из них	3	7
25	к нему	2	7
26	то что	6	7
27	с одной	8	7
28	потому что	3	7
29	но в	14	7
30	представление о	2	6
31	к тому	8	6
32	и потому	5	6
33	того же	3	6
34	несмотря на	4	6
35	всяком случае	3	6
36	что и	3	6
37	так и	10	6
38	в отношении	32	6
39	с точки	17	6
40	во всяком	3	6
41	в себе	9	6
42	мы должны	2	6
43	о том	3	6
44	и к	3	5
45	одной из	5	5
46	друг с	3	5
47	в его	2	5
48	никогда не	3	5
49	с другом	3	5
50	так же	9	5
51	а не	2	5
52	того чтобы	6	5
53	для того	6	5
54	не имеет	4	5
55	в силу	2	5
56	и для	3	5
57	в мире	2	5
58	в этих	2	4
59	и от	3	4
60	что все	2	4
61	в смысле	9	4
62	в самом	4	4
63	в котором	2	4
64	целый ряд	2	4
65	не может	9	4
66	и только	3	4
67	а в	2	4
68	то же	15	4
69	в течение	5	4
70	и что	2	4
71	на этот	2	4
72	и по	5	4
73	с другими	2	4
74	в которых	3	4
75	к востоку	4	4
76	в виде	5	4
77	культурных ценностей	6	4
78	он не	2	4
79	в то	16	4
80	только в	9	4
81	то есть	6	4
82	в этой	2	4
83	далеко не	2	4
84	течением времени	2	3
85	же как	5	3
86	что это	2	3
87	если бы	2	3
88	но по	2	3
89	хотя бы	15	3
90	европейской культуры	3	3
91	можно сказать	4	3
92	и как	2	3
93	из всех	3	3
94	представляет собой	3	3
95	в своем	14	3
96	в качестве	14	3
97	и если	2	3
98	к ним	3	3
99	если в	2	3
100	когда он	3	3
101	но с	2	3
102	культуры и	2	3
103	в значительной	2	3
104	того что	7	3
105	и даже	6	3
106	с течением	2	3
107	в таком	3	3
108	с этой	6	3
109	в результате	3	3
110	и таким	2	3
111	что эти	2	3
112	в других	2	3
113	в одном	2	3
114	начиная с	2	2
115	не могут	2	2
116	ни было	4	2
117	именно в	4	2
118	к которым	5	2
119	в них	3	2
120	сравнению с	2	2
121	тогда когда	2	2
122	прежде всего	9	2
123	утверждать что	2	2
124	в свою	3	2
125	на то	6	2
126	или иной	4	2
127	от них	3	2
128	а также	7	2
129	то ни	4	2
130	мы видели	3	2
131	востока и	2	2
132	по своему	7	2
133	культурные ценности	2	2
134	же время	14	2
135	связано с	3	2
136	востока в	3	2
137	ли это	3	2
138	вслед за	6	2
139	той или	4	2
140	но если	5	2
141	бы то	4	2
142	не к	2	2
143	жизни и	2	2
144	во всех	6	2
145	в процессе	4	2
146	заключает в	3	2
147	по своим	3	2
148	для этих	2	2
149	этом отношении	3	2
150	этой точки	5	2
151	и сейчас	2	2
152	ко всему	2	2
153	значительная часть	3	2
154	на восток	2	2
155	и на	6	2
156	сказать что	4	2
157	не в	5	2
158	мы можем	3	2
159	и наконец	2	2
160	по своей	2	2
161	по сравнению	2	2
162	или по	2	2
163	этот факт	3	2
164	и все	2	2
165	в россии	5	2
166	в эту	2	2
167	между тем	8	2
