N	2gram	Potebnia_M_3	VeschiIm
1	не есть	17	49
2	не может	6	33
3	не только	21	31
4	может быть	28	29
5	и не	15	28
6	и в	30	26
7	то что	18	24
8	и есть	3	23
9	и т	5	21
10	т д	3	20
11	а не	15	20
12	есть только	5	17
13	что я	5	16
14	в смысле	4	15
15	и следовательно	3	15
16	что она	3	14
17	только в	21	14
18	и что	10	13
19	того что	18	13
20	по себе	16	13
21	что это	4	12
22	было бы	9	12
23	но и	19	12
24	сказать что	5	12
25	есть не	7	12
26	все же	2	12
27	и то	8	12
28	что же	2	11
29	таким образом	14	11
30	с нею	2	11
31	а и	4	11
32	то же	23	10
33	уже не	6	10
34	в ней	8	10
35	как бы	3	10
36	потому что	46	10
37	что мы	8	10
38	есть нечто	4	10
39	что такое	2	10
40	в том	32	9
41	в самом	8	9
42	и с	2	9
43	прежде всего	3	9
44	что не	8	9
45	себя и	4	8
46	на то	2	8
47	но это	6	8
48	в себе	16	8
49	и это	4	8
50	что оно	11	7
51	говорить о	3	7
52	в то	10	7
53	его в	3	7
54	так как	13	7
55	том что	18	7
56	указывает на	6	7
57	от всего	3	7
58	не будет	3	7
59	с другими	5	7
60	в этом	10	7
61	оно есть	3	6
62	так что	7	6
63	и как	5	6
64	что они	2	6
65	есть ни	4	6
66	но что	2	6
67	что в	17	6
68	для него	9	6
69	жизни и	2	6
70	со стороны	3	6
71	должно быть	5	6
72	точки зрения	2	6
73	когда мы	2	6
74	то не	2	6
75	по крайней	5	6
76	одно и	5	6
77	она не	2	6
78	крайней мере	5	6
79	понимать себя	2	6
80	относится к	4	6
81	с ним	6	6
82	быть только	4	6
83	не менее	5	5
84	с этой	2	5
85	тем не	3	5
86	не в	15	5
87	свою очередь	3	5
88	еще не	5	5
89	из себя	2	5
90	и до	2	5
91	звук и	3	5
92	а в	12	5
93	что для	4	5
94	с тем	7	5
95	если бы	12	5
96	в свою	3	5
97	в ее	2	5
98	это и	2	5
99	но не	7	5
100	для себя	3	5
101	в чем	3	5
102	собственном смысле	2	4
103	в своем	5	4
104	с другой	7	4
105	есть то	2	4
106	независимо от	5	4
107	же время	5	4
108	и мы	2	4
109	между собою	6	4
110	из них	6	4
111	в их	2	4
112	то и	6	4
113	что есть	2	4
114	быть не	2	4
115	от того	8	4
116	и даже	2	4
117	с этим	6	4
118	о том	2	4
119	не существует	3	4
120	и все	3	4
121	то это	6	4
122	как и	10	4
123	и о	2	4
124	и потому	4	4
125	оно не	4	4
126	что и	13	4
127	слово и	3	4
128	собственно говоря	2	4
129	то или	2	4
130	мы не	9	4
131	тем что	7	4
132	сама по	2	3
133	есть еще	3	3
134	в собственном	2	3
135	что именно	4	3
136	можно сказать	3	3
137	к тому	7	3
138	несмотря на	2	3
139	более или	3	3
140	как о	2	3
141	в нем	9	3
142	или есть	2	3
143	сам по	5	3
144	отношение к	2	3
145	все это	4	3
146	можно только	2	3
147	их в	2	3
148	но как	2	3
149	тогда когда	9	3
150	на это	4	3
151	само по	3	3
152	перестает быть	4	3
153	в одном	2	3
154	в понятии	2	3
155	один из	4	3
156	что он	6	3
157	и притом	2	3
158	мы видим	2	3
159	могла бы	2	3
160	ни о	3	3
161	к ней	5	3
162	себе не	4	3
163	в своей	2	3
164	вместе с	12	3
165	так и	11	3
166	или менее	3	3
167	только на	3	3
168	и тогда	3	3
169	а с	2	3
170	из того	2	3
171	самом деле	2	3
172	бы в	2	3
173	того чтобы	3	3
174	ему не	2	3
175	тому как	5	3
176	тем более	4	3
177	с в	2	3
178	не то	3	3
179	подобно тому	2	3
180	и вообще	3	3
181	явлений и	2	3
182	и самое	2	3
183	тому что	3	2
184	или что	3	2
185	или другое	2	2
186	человека и	5	2
187	была бы	4	2
188	на все	2	2
189	а потому	6	2
190	а только	3	2
191	есть уже	11	2
192	ни в	2	2
193	но все	2	2
194	и если	2	2
195	и та	2	2
196	мы уже	2	2
197	у меня	2	2
198	так или	2	2
199	себе что	2	2
200	только один	2	2
201	и тем	5	2
202	мною в	2	2
203	образом и	3	2
204	но только	2	2
205	в разных	2	2
206	в слове	32	2
207	мы ее	2	2
208	первом случае	2	2
209	так же	3	2
210	что только	6	2
211	как ее	2	2
212	самого себя	3	2
213	в первом	3	2
214	то есть	34	2
215	мы можем	3	2
216	на него	3	2
217	от этого	2	2
218	на нас	2	2
219	бы ни	3	2
220	в силу	3	2
221	и может	3	2
222	но оно	6	2
223	никак не	3	2
224	об этом	2	2
225	он не	4	2
226	как в	10	2
227	мысли и	2	2
228	тогда как	2	2
229	если не	4	2
230	все равно	4	2
231	не я	3	2
232	как мы	7	2
233	для того	4	2
234	тем же	4	2
235	и его	4	2
236	той же	2	2
237	тут же	2	2
238	с но	3	2
239	отношении к	2	2
240	об отношении	4	2
241	не все	4	2
242	том как	3	2
243	это было	3	2
