N	2gram	Tiupa_Hudo_2	Marksizm
1	может быть	8	28
2	и в	28	19
3	как бы	5	19
4	и не	18	19
5	не может	4	18
6	точки зрения	2	17
7	то же	6	16
8	и его	5	16
9	как мы	2	15
10	в этом	13	15
11	лишь в	2	14
12	не только	11	13
13	с точки	2	13
14	в нем	3	11
15	если бы	6	11
16	вовсе не	2	11
17	не в	13	10
18	но и	9	10
19	том что	19	10
20	так и	8	10
21	для него	5	9
22	при этом	11	9
23	в основе	2	9
24	как и	11	9
25	самом деле	3	9
26	а не	14	9
27	отнюдь не	2	8
28	же время	4	8
29	не является	2	8
30	по отношению	7	8
31	в то	6	8
32	с его	5	8
33	отношению к	7	8
34	только в	4	8
35	никогда не	5	7
36	в том	15	7
37	его в	2	7
38	но в	2	7
39	прежде всего	3	7
40	одна из	2	7
41	и для	2	7
42	к тому	7	6
43	того чтобы	4	6
44	в самом	5	6
45	же самое	3	6
46	и все	7	6
47	между тем	8	6
48	мы уже	3	6
49	для того	4	6
50	хотя бы	2	6
51	или иной	2	5
52	в контексте	2	5
53	к нему	3	5
54	так же	3	5
55	и на	3	5
56	в его	11	5
57	все же	2	5
58	в данном	2	5
59	в душе	8	4
60	тому что	4	4
61	это не	6	4
62	все те	2	4
63	то что	6	4
64	с ними	3	4
65	сказать что	2	4
66	а как	2	4
67	как раз	4	4
68	что он	8	4
69	было бы	3	4
70	для себя	6	4
71	этой связи	2	4
72	только на	5	4
73	и ее	3	4
74	в себе	9	4
75	и т.д	2	4
76	ничего не	5	4
77	перед нами	11	3
78	одного слова	2	3
79	в этих	3	3
80	характерно что	3	3
81	столь же	3	3
82	с другой	3	3
83	и от	2	3
84	в двух	2	3
85	да и	5	3
86	в этой	5	3
87	одной стороны	3	3
88	в ней	3	3
89	в котором	6	3
90	его и	2	3
91	а в	6	3
92	с одной	3	3
93	в другом	2	3
94	для других	3	3
95	не было	6	3
96	о том	12	3
97	не как	2	3
98	в ее	18	3
99	в качестве	4	3
100	до сих	2	3
101	еще не	3	3
102	одной из	3	3
103	он не	4	3
104	что и	4	3
105	не будет	2	3
106	в своей	6	3
107	мысли и	2	3
108	той же	2	3
109	с другими	3	3
110	и то	2	3
111	и это	3	3
112	сих пор	2	3
113	место в	2	2
114	все время	3	2
115	что в	5	2
116	что это	5	2
117	в нашем	2	2
118	мы знаем	2	2
119	тому же	2	2
120	что они	4	2
121	как о	3	2
122	о чем	8	2
123	и у	2	2
124	жизни и	6	2
125	в своем	5	2
126	именно в	2	2
127	как на	2	2
128	рядом с	5	2
129	и с	6	2
130	того или	2	2
131	однако и	2	2
132	у него	5	2
133	в жизни	8	2
134	или иного	2	2
135	не с	2	2
136	но не	4	2
137	от своего	2	2
138	и о	4	2
139	себя в	8	2
140	приводит к	2	2
141	и тогда	2	2
142	бы не	3	2
143	а с	3	2
144	сводится к	6	2
145	что не	2	2
146	и эта	2	2
147	и он	3	2
148	между ними	2	2
149	или в	3	2
150	тем что	6	2
151	себя с	2	2
152	в виде	2	2
153	все его	3	2
154	и внешней	2	2
155	ответ на	2	2
156	это было	2	2
157	вместе с	2	2
