N	2gram	Bakhtin_sl_2	UchenyiS
1	и в	39	14
2	а не	14	10
3	не только	24	10
4	и не	22	8
5	прежде всего	8	8
6	то что	2	7
7	в этом	16	7
8	не может	20	7
9	может быть	37	6
10	хотя бы	3	5
11	все это	16	5
12	то же	4	5
13	но и	21	4
14	в их	2	4
15	конечно не	5	4
16	с другой	5	4
17	но в	6	3
18	как и	6	3
19	все же	6	3
20	истории литературы	3	3
21	для этого	4	3
22	же время	4	3
23	для него	7	3
24	это не	5	3
25	в то	4	3
26	в области	2	3
27	том что	5	2
28	но не	6	2
29	в том	5	2
30	не все	2	2
31	на каждом	2	2
32	мы не	2	2
33	с его	7	2
34	не в	9	2
35	всех этих	4	2
36	и для	5	2
37	но это	3	2
38	бы и	3	2
39	должна быть	3	2
40	в противовес	2	2
41	не столько	3	2
42	только в	5	2
43	и с	9	2
44	сих пор	2	2
45	материала и	3	2
46	могут быть	7	2
47	его и	2	2
48	даже и	4	2
49	именно как	2	2
50	что он	2	2
51	все они	2	2
52	каждом шагу	2	2
53	в себе	2	2
54	до сих	2	2
55	этом отношении	3	2
56	не могут	5	2
57	по себе	5	2
58	в некоторых	3	2
59	одним из	2	2
60	не приходится	3	2
61	для всех	4	2
62	что и	3	2
63	в его	7	2
64	между тем	3	2
65	таким образом	8	2
66	материал для	2	2
