N	2gram	Tiupa_Anal_2	FransuaR
1	и в	16	49
2	то есть	9	32
3	прежде всего	3	19
4	в его	2	18
5	не только	16	17
6	и его	4	17
7	и на	6	17
8	и не	12	15
9	в этом	18	15
10	только в	4	13
11	но и	12	13
12	как и	14	11
13	как бы	10	11
14	и т.п	8	11
15	вовсе не	2	10
16	в этой	9	10
17	все это	4	9
18	для него	4	9
19	в сущности	4	8
20	один из	2	7
21	не может	4	7
22	таким образом	2	7
23	то же	4	7
24	как мы	3	7
25	на протяжении	2	7
26	именно в	3	6
27	то что	7	6
28	в себя	4	6
29	же время	2	6
30	здесь в	2	6
31	во всех	4	6
32	так и	15	6
33	с их	2	6
34	сказать что	2	6
35	точки зрения	4	6
36	в то	2	6
37	никогда не	3	5
38	в своем	4	5
39	но не	4	5
40	при этом	10	5
41	может быть	6	5
42	в своей	2	5
43	с точки	2	5
44	роль в	2	5
45	и смерти	4	5
46	в эту	3	5
47	с другой	6	4
48	и во	2	4
49	и к	5	4
50	в себе	7	4
51	том что	12	4
52	в этих	2	4
53	и до	2	4
54	отношения к	2	4
55	а в	3	4
56	лишь в	9	4
57	тем что	3	4
58	с ним	2	4
59	но в	6	4
60	место в	3	3
61	с одной	5	3
62	о чем	2	3
63	превращается в	2	3
64	в одном	2	3
65	не был	3	3
66	в том	12	3
67	а затем	2	3
68	в значительной	2	3
69	одной стороны	4	3
70	было бы	3	3
71	из них	3	3
72	несмотря на	3	3
73	в самом	6	3
74	даже в	2	3
75	и особенно	4	3
76	с ее	2	3
77	другой стороны	2	3
78	этом отношении	3	3
79	и все	3	3
80	можно было	3	3
81	о том	7	3
82	одного из	3	2
83	содержит в	3	2
84	автора и	3	2
85	в противоположность	2	2
86	одну из	2	2
87	что в	2	2
88	на фоне	3	2
89	могут быть	10	2
90	за пределы	4	2
91	в нашем	3	2
92	в качестве	11	2
93	что касается	3	2
94	вследствие этого	2	2
95	в одну	2	2
96	на то	2	2
97	можно сказать	4	2
98	он был	2	2
99	здравого смысла	2	2
100	по существу	2	2
101	есть в	3	2
102	перед лицом	2	2
103	все что	2	2
104	так например	2	2
105	ничего не	9	2
106	в пределах	9	2
107	еще не	2	2
108	по поводу	3	2
109	такого рода	2	2
110	значительной степени	2	2
111	у него	4	2
112	хотя и	4	2
113	еще в	2	2
114	на этой	2	2
115	в мире	6	2
116	по преимуществу	4	2
117	и за	3	2
118	вместе с	2	2
119	в их	3	2
120	ключ к	3	2
121	и даже	9	2
122	так же	2	2
123	особенно в	7	2
124	на основе	2	2
125	тому как	3	2
126	игры и	4	2
127	одной из	3	2
128	подобно тому	3	2
129	на его	3	2
130	со смертью	3	2
131	и т.д	3	2
132	в конце	4	2
133	целого и	2	2
134	в произведении	2	2
135	в устах	2	2
