N	2gram	Tiupa_Disk_2	NovoeSre
1	а не	14	17
2	не может	9	16
3	и в	16	16
4	нового времени	5	12
5	и не	15	11
6	что в	5	9
7	жизни и	3	8
8	он не	3	8
9	в том	8	8
10	как и	16	7
11	в этом	16	7
12	может быть	16	7
13	с его	6	6
14	никогда не	2	6
15	не знает	3	6
16	не в	3	6
17	но это	3	6
18	ни в	7	6
19	в нем	7	5
20	все это	2	5
21	с ее	2	5
22	в ней	2	5
23	не только	10	5
24	не менее	7	4
25	то что	5	4
26	наше время	2	4
27	в них	3	4
28	это не	3	4
29	и все	3	4
30	не было	3	4
31	и для	2	4
32	должно быть	2	4
33	потому что	4	4
34	прежде всего	7	4
35	о том	4	4
36	к жизни	3	3
37	жизни не	2	3
38	но и	11	3
39	должна быть	2	3
40	в своей	6	3
41	жизни в	3	3
42	с другой	5	3
43	в наше	2	3
44	стремится к	2	3
45	в мире	11	3
46	в основе	4	3
47	подобно тому	2	3
48	как в	8	3
49	еще не	6	3
50	тому как	2	3
51	времени в	4	2
52	жизни как	2	2
53	времени и	2	2
54	себя в	6	2
55	место в	2	2
56	вместе с	2	2
57	но она	3	2
58	так и	9	2
59	и т.п	12	2
60	другой стороны	2	2
61	а в	2	2
62	с одной	4	2
63	все эти	3	2
64	уже не	3	2
65	такой же	2	2
66	роль в	4	2
67	одной стороны	4	2
68	но не	7	2
69	ни к	5	2
70	том что	10	2
71	есть в	2	2
72	же как	2	2
73	можно назвать	4	2
74	и с	2	2
75	переходе от	2	2
76	могут быть	3	2
77	и на	5	2
78	не к	2	2
79	которых не	2	2
80	в себе	19	2
81	с их	2	2
82	в то	5	2
83	как будто	3	2
84	и это	2	2
85	такого рода	9	2
86	мира и	4	2
87	но в	11	2
88	обращение к	2	2
