N	2gram	Trubetskoy_1	Poddanst
1	не только	9	17
2	и в	14	14
3	и не	19	12
4	в области	2	11
5	в этом	17	10
6	то же	11	9
7	в том	17	9
8	в качестве	3	9
9	но в	2	9
10	хотя бы	5	8
11	же время	10	7
12	в то	10	7
13	только в	5	7
14	но и	10	6
15	в ней	2	6
16	было бы	5	6
17	россии в	7	5
18	не в	4	5
19	отношении к	2	5
20	и о	2	5
21	может быть	9	5
22	в котором	2	4
23	то что	13	4
24	что в	4	4
25	если бы	6	4
26	в своем	6	4
27	не может	22	4
28	европейской культуры	2	4
29	россии и	3	4
30	по себе	2	4
31	и к	6	4
32	а в	5	4
33	том что	9	4
34	мы должны	7	4
35	и если	7	4
36	как бы	4	4
37	и потому	3	4
38	в порядке	2	3
39	в нем	5	3
40	и т	3	3
41	с тем	6	3
42	в россии	6	3
43	прежде всего	8	3
44	тем самым	2	3
45	для того	6	3
46	с точки	9	3
47	сводится к	3	3
48	и как	3	3
49	между тем	5	3
50	но не	4	3
51	точки зрения	11	3
52	в себе	9	3
53	потому что	5	3
54	признание что	3	2
55	и тем	2	2
56	в мире	4	2
57	от европы	2	2
58	не к	2	2
59	для них	3	2
60	именно в	3	2
61	и есть	2	2
62	во всех	5	2
63	в частности	2	2
64	время в	2	2
65	отнюдь не	7	2
66	друг другу	2	2
67	со стороны	4	2
68	в последние	5	2
69	все это	6	2
70	отношения к	2	2
71	с этим	2	2
72	главным образом	3	2
73	и вот	2	2
74	в значительной	3	2
75	а не	2	2
76	бы ни	2	2
77	того что	3	2
78	к чему	2	2
79	должно быть	3	2
80	для нас	2	2
81	как на	8	2
82	говорить о	3	2
83	если в	6	2
84	одна из	3	2
85	в силу	2	2
86	в виде	3	2
87	не было	3	2
88	в начале	2	2
89	из них	3	2
90	культуры в	3	2
91	значительной мере	2	2
92	церкви и	9	2
93	да и	3	2
94	не о	2	2
95	в его	4	2
96	и с	7	2
97	помнить что	2	2
