N	3gram	Vygotskiy__3	StatiiOP
1	в том что	17	17
2	о том что	3	11
3	для того чтобы	7	10
4	можно было бы	5	8
5	в этом отношении	3	7
6	с другой стороны	3	6
7	во всяком случае	4	6
8	не может быть	2	5
9	того или иного	2	4
10	на то что	3	4
11	так и в	2	4
12	что и в	5	4
13	так же как	6	3
14	и в этом	2	3
15	только в том	2	3
16	по отношению к	2	3
17	заключается в том	7	3
18	в то время	4	2
19	то обстоятельство что	3	2
20	с одной стороны	5	2
21	как и в	2	2
22	тем не менее	5	2
23	то что в	2	2
24	и то что	2	2
