N	2gram	Bakhtin_Fr_7	DiskursI
1	в себе	11	19
2	при этом	3	17
3	в качестве	9	16
4	и в	41	16
5	может быть	4	16
6	как и	14	16
7	в этом	15	16
8	и не	7	15
9	а не	2	14
10	и т.п	9	12
11	то есть	20	12
12	в мире	3	11
13	но и	9	11
14	но в	8	11
15	том что	4	10
16	не только	5	10
17	своего рода	2	10
18	так и	10	9
19	не может	3	9
20	в том	11	8
21	а также	2	8
22	как в	5	8
23	прежде всего	11	7
24	в нем	7	7
25	ни в	6	7
26	картины мира	4	7
27	в данном	2	7
28	с его	2	6
29	еще не	2	6
30	в своей	3	6
31	то же	13	6
32	тем самым	3	6
33	что в	9	5
34	в своем	9	5
35	нового времени	3	5
36	хвала и	3	5
37	же время	9	5
38	для него	6	5
39	то что	8	5
40	и на	4	5
41	в то	10	5
42	в одном	3	4
43	одного из	2	4
44	к этому	5	4
45	как бы	7	4
46	отношению к	2	4
47	по отношению	2	4
48	этом отношении	2	4
49	человека в	2	4
50	картина мира	2	4
51	роль в	2	4
52	потому что	5	4
53	точки зрения	5	4
54	в этой	13	4
55	и то	2	4
56	о том	6	4
57	мира и	4	4
58	перед нами	2	3
59	и может	2	3
60	в этих	2	3
61	в них	7	3
62	это не	6	3
63	и все	14	3
64	уже не	2	3
65	и как	2	3
66	не в	9	3
67	например в	3	3
68	он не	4	3
69	в его	12	3
70	к жизни	4	3
71	проявляется в	3	3
72	из них	3	3
73	жизни и	3	3
74	и ее	2	3
75	не было	3	3
76	все эти	13	3
77	и наконец	4	3
78	также и	2	3
79	и его	9	3
80	но это	3	3
81	не знает	3	3
82	только в	6	3
83	его в	3	3
84	одном из	4	3
85	мира в	4	3
86	место в	4	2
87	никогда не	2	2
88	не подлежит	3	2
89	в большинстве	2	2
90	это в	3	2
91	момент в	4	2
92	интерес к	2	2
93	в той	3	2
94	что он	3	2
95	такой же	3	2
96	есть в	6	2
97	того же	3	2
98	одно и	2	2
99	рассказ о	2	2
100	отношение к	2	2
101	в формах	3	2
102	этой традиции	2	2
103	свое время	2	2
104	в ней	5	2
105	далеко не	2	2
106	в свое	2	2
107	что и	5	2
108	с ее	3	2
109	с точки	3	2
110	время в	2	2
111	вместе с	5	2
112	не на	3	2
113	именно в	2	2
114	в себя	2	2
115	все это	10	2
116	и для	5	2
117	должно быть	4	2
118	а в	5	2
119	той же	3	2
120	хвалы и	2	2
121	в результате	2	2
122	их в	2	2
123	и с	4	2
124	может иметь	2	2
125	отсюда и	2	2
126	и это	5	2
127	дело в	2	2
128	в области	2	2
129	мы имеем	2	2
