N	2gram	Medvedev_F_1	formyVre
1	и в	24	46
2	в этом	15	22
3	прежде всего	22	14
4	и т	12	14
5	вовсе не	10	13
6	и его	10	12
7	только в	2	11
8	не только	7	11
9	во всех	5	11
10	т п	4	11
11	в том	6	10
12	как бы	6	10
13	точки зрения	16	10
14	но в	5	10
15	не в	8	9
16	вместе с	2	9
17	но и	7	9
18	и не	20	9
19	в связи	4	8
20	связи с	3	8
21	как и	11	8
22	в его	23	8
23	жизни и	7	8
24	то же	10	8
25	с точки	13	8
26	в основном	3	8
27	вещей и	3	7
28	всех этих	3	7
29	в них	3	7
30	в одном	2	7
31	может быть	14	7
32	то что	8	7
33	так и	18	7
34	и на	8	7
35	так сказать	3	7
36	никогда не	4	6
37	и все	6	6
38	при этом	5	6
39	как мы	5	6
40	здесь в	2	6
41	еще не	6	6
42	его в	3	6
43	все же	3	6
44	все это	9	6
45	в особенности	3	6
46	и наконец	3	6
47	в основе	3	6
48	и с	8	6
49	громадное значение	3	5
50	в частности	4	5
51	в своем	11	5
52	с этим	2	5
53	по существу	2	5
54	в пределах	6	5
55	в то	9	5
56	но не	3	5
57	он не	3	5
58	и др	5	5
59	в нем	14	5
60	что в	4	5
61	все эти	6	5
62	должно быть	11	5
63	место в	7	4
64	отнюдь не	6	4
65	жизни в	2	4
66	с этой	4	4
67	же время	8	4
68	с ним	2	4
69	значение и	3	4
70	же в	3	4
71	в ряду	2	4
72	в мире	4	4
73	и их	10	4
74	конечно не	4	4
75	как в	8	4
76	отношения к	6	4
77	а не	10	4
78	в себе	3	4
79	в истории	4	4
80	не было	3	3
81	прежде чем	2	3
82	борьба с	3	3
83	отчасти и	4	3
84	что было	2	3
85	с помощью	3	3
86	к тому	3	3
87	что он	3	3
88	следовательно и	2	3
89	и как	3	3
90	в большинстве	3	3
91	для него	3	3
92	нет и	2	3
93	точка зрения	2	3
94	что и	2	3
95	дана в	2	3
96	отношение к	3	3
97	всего в	3	3
98	целый ряд	3	3
99	т д	8	3
100	не на	2	3
101	таким образом	13	3
102	в их	11	3
103	уже не	2	3
104	того что	5	3
105	и даже	3	3
106	а в	6	3
107	жизнь и	3	3
108	на основе	6	3
109	для других	2	3
110	большинстве случаев	2	3
111	мира в	2	3
112	литературы в	8	2
113	и более	2	2
114	друг от	2	2
115	с другой	5	2
116	и других	3	2
117	это не	2	2
118	они были	2	2
119	ее к	2	2
120	по себе	5	2
121	дело идет	3	2
122	но эта	2	2
123	влияние на	3	2
124	в отношении	3	2
125	все в	2	2
126	одновременно с	2	2
127	за свой	2	2
128	в самой	2	2
129	именно в	8	2
130	у нас	5	2
131	в этой	6	2
132	перестает быть	3	2
133	с тем	2	2
134	между ними	3	2
135	до конца	7	2
136	и пр	17	2
137	она не	6	2
138	было бы	6	2
139	со всеми	3	2
140	и к	4	2
141	от друга	2	2
142	наконец в	3	2
143	и потому	9	2
144	жизни но	2	2
145	один из	3	2
146	сих пор	6	2
147	мы видели	2	2
148	быть и	4	2
149	и до	5	2
150	и самый	2	2
151	не может	16	2
152	здесь не	3	2
153	по аналогии	3	2
154	с одной	4	2
155	не для	3	2
156	и вот	2	2
157	не боится	3	2
158	лишь в	8	2
159	человек не	3	2
160	эпохи и	2	2
161	так же	4	2
162	как на	4	2
163	особенно в	3	2
164	у них	3	2
165	значение для	2	2
166	сами по	2	2
167	но это	3	2
168	от этого	2	2
169	и от	7	2
170	в литературе	5	2
171	не могла	2	2
172	и это	2	2
173	как это	6	2
174	жизнь как	3	2
175	и должно	2	2
176	во всяком	4	2
177	оно было	2	2
178	до сих	6	2
