N	2gram	Berdyaev_N_1	Narrotol
1	не только	5	26
2	а не	17	17
3	но и	3	15
4	в том	8	14
5	и не	11	14
6	том что	2	13
7	и в	16	13
8	в этом	7	13
9	такого рода	2	12
10	может быть	7	10
11	к тому	3	9
12	так и	2	9
13	а в	2	9
14	то что	4	8
15	в себе	2	8
16	не может	16	8
17	не в	6	8
18	никогда не	6	6
19	в жизни	5	6
20	прежде всего	4	6
21	и к	5	6
22	и т.п	2	6
23	жизни в	3	6
24	у него	2	6
25	но в	2	6
26	место в	2	5
27	одной стороны	2	5
28	хотя и	2	5
29	он не	8	5
30	я не	2	5
31	в нем	5	5
32	как в	3	5
33	с одной	2	5
34	с другой	3	5
35	на протяжении	2	5
36	в то	2	5
37	о том	4	5
38	не менее	4	4
39	как и	7	4
40	времени и	2	4
41	что в	9	4
42	не к	2	4
43	жизни и	8	4
44	в своей	3	4
45	в ее	3	4
46	уже не	2	4
47	в мире	3	4
48	истории в	5	4
49	войны и	2	4
50	и все	4	4
51	как это	2	4
52	с его	6	3
53	это не	4	3
54	одна из	2	3
55	но не	2	3
56	все эти	2	3
57	того чтобы	2	3
58	и даже	2	3
59	и для	4	3
60	сказать что	3	3
61	мира и	2	3
62	зависит от	2	2
63	же как	2	2
64	можно назвать	2	2
65	хотя бы	2	2
66	я уже	2	2
67	по своему	4	2
68	должна быть	3	2
69	еще не	3	2
70	в будущем	2	2
71	в центре	2	2
72	но для	2	2
73	что она	2	2
74	себя в	2	2
75	не будет	7	2
76	бытия в	2	2
77	нового времени	12	2
78	быть может	4	2
79	и что	2	2
80	не имеет	4	2
81	так же	2	2
82	роль в	2	2
83	мы не	2	2
84	можно было	2	2
85	тому как	3	2
86	но это	6	2
87	в ней	5	2
88	подобно тому	3	2
89	в категориях	2	2
90	потому что	4	2
91	истории а	2	2
