N	2gram	Tiupa_Disk_1	Myslijsy
1	потому что	4	46
2	то есть	20	34
3	в том	23	32
4	и в	16	30
5	может быть	17	28
6	то же	7	23
7	не только	28	21
8	только в	7	21
9	но и	14	19
10	том что	19	18
11	то что	5	18
12	того что	3	18
13	что в	4	17
14	не есть	2	17
15	по себе	3	16
16	в себе	7	16
17	не в	7	15
18	и не	11	15
19	а не	22	15
20	таким образом	3	14
21	что и	3	13
22	а в	5	12
23	так и	8	11
24	как и	16	10
25	как в	10	10
26	и что	2	10
27	в этом	15	10
28	в то	3	10
29	для него	4	9
30	в нем	9	9
31	между тем	4	9
32	в самом	3	8
33	что не	4	8
34	слова в	2	7
35	и без	2	7
36	с другой	10	7
37	к тому	5	7
38	как мы	2	7
39	но не	11	7
40	с одной	9	7
41	тем что	3	7
42	зависит от	2	6
43	что он	4	6
44	с этим	3	6
45	из них	3	6
46	например в	2	6
47	указывает на	2	6
48	не может	9	6
49	уже не	4	6
50	уже в	2	5
51	в них	4	5
52	по крайней	2	5
53	и как	6	5
54	же время	4	5
55	в своем	6	5
56	еще не	14	5
57	в действительности	3	5
58	крайней мере	2	5
59	и тем	2	5
60	отношению к	9	5
61	не менее	2	5
62	по отношению	9	5
63	слово не	2	5
64	тому как	3	5
65	не следует	2	5
66	сказать что	3	5
67	столь же	3	4
68	оно не	2	4
69	по мере	2	4
70	для понимания	2	4
71	что даже	2	4
72	в его	7	4
73	в котором	5	4
74	себе не	3	4
75	один из	3	4
76	другой стороны	3	4
77	и его	2	4
78	не было	7	4
79	и по	2	4
80	далеко не	10	4
81	и потому	3	4
82	в каждой	3	4
83	не говоря	2	3
84	и есть	2	3
85	могут быть	4	3
86	прежде всего	11	3
87	и все	2	3
88	к этому	2	3
89	именно в	3	3
90	есть в	2	3
91	более или	2	3
92	свою очередь	3	3
93	в свою	3	3
94	можно сказать	5	3
95	одной стороны	9	3
96	при этом	13	3
97	к содержанию	3	3
98	в ряду	2	3
99	как бы	5	3
100	из двух	2	3
101	для себя	4	3
102	в целом	4	3
103	со стороны	7	3
104	или менее	2	3
105	к мысли	2	3
106	в силу	5	3
107	говорящего и	2	3
108	или в	2	3
109	в каждом	2	3
110	и на	5	3
111	в начале	2	3
112	и вообще	2	3
113	в первом	3	3
114	в произведении	3	3
115	заметить что	2	3
116	это было	2	3
117	возможно только	2	3
118	перед нами	3	2
119	об этом	2	2
120	связи с	4	2
121	в какой	2	2
122	так например	2	2
123	не как	4	2
124	в одном	2	2
125	это в	2	2
126	не всегда	2	2
127	с понятием	2	2
128	отношение к	4	2
129	ему в	2	2
130	одной из	4	2
131	что с	2	2
132	в ее	3	2
133	в этой	2	2
134	по своему	3	2
135	но как	2	2
136	могла бы	2	2
137	или на	3	2
138	на его	4	2
139	том чтобы	2	2
140	и о	4	2
141	мысли о	2	2
142	за пределы	2	2
143	в новом	2	2
144	все же	3	2
145	в своей	5	2
146	бы быть	3	2
147	что же	2	2
148	мысли и	2	2
149	в их	5	2
150	в форме	2	2
151	целый ряд	2	2
152	в основании	3	2
153	тогда как	19	2
154	а с	5	2
155	и даже	3	2
156	языка и	2	2
157	в которых	4	2
158	точки зрения	3	2
159	подобно тому	2	2
160	о том	8	2
161	так сказать	2	2
162	понятие о	3	2
