N	2gram	Propp_Morf_1	Tvorches
1	и в	13	20
2	не только	4	13
3	и т	41	13
4	т д	39	11
5	как бы	3	11
6	таким образом	21	10
7	в то	3	10
8	и не	12	9
9	прежде всего	9	8
10	в том	6	8
11	но и	4	8
12	может быть	52	8
13	в этом	14	8
14	это не	6	7
15	наряду с	5	7
16	что в	8	7
17	не может	14	7
18	то же	7	7
19	потому что	3	7
20	что он	4	6
21	как и	3	6
22	в целом	3	6
23	так и	6	6
24	а не	11	6
25	но это	6	5
26	еще не	3	5
27	но не	4	5
28	например в	2	5
29	все же	7	5
30	так же	3	5
31	в этой	2	5
32	о том	2	5
33	об этом	4	4
34	мы не	8	4
35	том что	4	4
36	мы видим	13	4
37	что они	2	4
38	на его	4	4
39	хотя и	3	4
40	что она	2	4
41	как в	3	4
42	а а	2	4
43	все эти	2	4
44	героя в	4	4
45	не в	3	4
46	а в	7	4
47	ничего не	4	4
48	если бы	2	4
49	но в	2	4
50	е а	2	3
51	а с	2	3
52	в образе	4	3
53	к этому	3	3
54	а затем	4	3
55	отношению к	4	3
56	одна из	4	3
57	так например	3	3
58	он не	3	3
59	и др	10	3
60	не является	3	3
61	один из	5	3
62	то что	8	3
63	д в	2	3
64	по отношению	4	3
65	тогда как	2	3
66	так как	16	3
67	уже не	2	3
68	этот вопрос	2	3
69	тем что	4	3
70	в которых	2	3
71	в начале	3	3
72	его в	2	3
73	между тем	5	3
74	действующих лиц	11	2
75	ни к	2	2
76	не менее	5	2
77	и есть	2	2
78	это уже	3	2
79	его и	2	2
80	с другой	8	2
81	вовсе не	4	2
82	во всяком	2	2
83	и ее	3	2
84	что его	2	2
85	у нас	2	2
86	в частности	2	2
87	но если	7	2
88	в руки	3	2
89	всяком случае	2	2
90	на него	3	2
91	приводит к	2	2
92	самом деле	4	2
93	и что	2	2
94	другой стороны	4	2
95	и по	2	2
96	друг друга	3	2
97	из них	3	2
98	в виде	2	2
99	могут быть	16	2
100	в которой	3	2
101	говорить о	3	2
102	только в	2	2
103	при помощи	9	2
104	в россии	2	2
105	начинается с	3	2
