N	2gram	Medvedev_V_1	Tvorches
1	и в	26	20
2	в году	6	16
3	в романе	4	15
4	не только	25	13
5	и т	23	13
6	никогда не	4	11
7	т д	14	11
8	как бы	5	11
9	в его	14	10
10	таким образом	31	10
11	в то	6	10
12	и его	6	9
13	и не	19	9
14	прежде всего	13	8
15	в том	15	8
16	но и	10	8
17	может быть	22	8
18	в этом	26	8
19	это не	7	7
20	же время	5	7
21	что в	10	7
22	не может	17	7
23	то же	10	7
24	идей в	2	7
25	у него	6	6
26	в конце	3	6
27	что он	4	6
28	как и	7	6
29	в целом	4	6
30	в своей	4	6
31	так и	5	6
32	все это	10	6
33	именно в	2	6
34	а не	7	6
35	в основном	5	6
36	в творческом	2	5
37	еще не	2	5
38	но не	2	5
39	например в	3	5
40	все же	5	5
41	и даже	2	5
42	так же	3	5
43	в этой	4	5
44	о том	10	5
45	в творчестве	3	5
46	об этом	9	4
47	что у	2	4
48	и от	3	4
49	том что	8	4
50	что они	3	4
51	отнюдь не	3	4
52	творческом процессе	5	4
53	января года	3	4
54	хотя и	2	4
55	что она	2	4
56	творческого процесса	22	4
57	когда он	3	4
58	все эти	6	4
59	не в	6	4
60	а в	3	4
61	года и	2	4
62	в чем	2	4
63	марта года	2	4
64	и потому	2	4
65	и достоевский	2	4
66	если бы	3	4
67	но в	2	4
68	братьев карамазовых	2	4
69	апреля года	2	3
70	я бы	2	3
71	он сам	2	3
72	же как	2	3
73	человека и	3	3
74	своих героев	2	3
75	в образе	2	3
76	к этому	9	3
77	в пользу	2	3
78	в дневнике	2	3
79	а затем	2	3
80	отношению к	7	3
81	одна из	4	3
82	так например	2	3
83	для него	8	3
84	что не	3	3
85	в самом	4	3
86	он не	2	3
87	в котором	3	3
88	и др	9	3
89	не является	5	3
90	один из	5	3
91	в нем	6	3
92	то что	6	3
93	вместе с	7	3
94	в их	5	3
95	по отношению	7	3
96	и через	2	3
97	человека в	2	3
98	рассказывает о	4	3
99	одним из	5	3
100	этот вопрос	3	3
101	творческий процесс	15	3
102	в своих	2	3
103	в которых	3	3
104	в себе	6	3
105	как у	2	3
106	у пушкина	2	3
107	его в	3	3
108	в плане	5	3
109	между тем	5	3
110	действующих лиц	5	2
111	он же	5	2
112	зависит от	2	2
113	не менее	2	2
114	по словам	8	2
115	и есть	5	2
116	думается что	4	2
117	с другой	11	2
118	по крайней	2	2
119	в одном	4	2
120	вовсе не	3	2
121	и ее	4	2
122	крайней мере	2	2
123	в ее	4	2
124	в искусстве	6	2
125	что его	2	2
126	у нас	2	2
127	как о	2	2
128	как известно	2	2
129	в статье	4	2
130	в частности	11	2
131	у тургенева	3	2
132	том же	6	2
133	нет и	3	2
134	него в	3	2
135	в процессе	16	2
136	приводит к	5	2
137	т п	9	2
138	бы не	2	2
139	ли не	2	2
140	начиная с	2	2
141	не было	7	2
142	достоевского и	2	2
143	сводится к	3	2
144	художников в	2	2
145	и у	2	2
146	и наконец	2	2
147	другой стороны	8	2
148	и он	2	2
149	в творческой	4	2
150	и по	3	2
151	идеи в	2	2
152	роль в	4	2
153	с другими	2	2
154	с ними	4	2
155	или наконец	2	2
156	не столько	2	2
157	из них	9	2
158	могут быть	5	2
159	говорил что	2	2
160	в которой	2	2
161	говорить о	2	2
162	только в	7	2
163	идей и	3	2
164	при помощи	3	2
165	сюжета и	2	2
166	так сказать	2	2
167	их в	6	2
168	только с	2	2
169	познания и	4	2
170	одном из	3	2
