N	2gram	Berdyaev_M_1	Dialekti
1	т е	2	46
2	не есть	9	40
3	и не	11	30
4	это –	16	25
5	или от	2	22
6	и есть	14	19
7	а не	25	18
8	может быть	30	17
9	ничего не	3	17
10	то что	5	16
11	и в	28	15
12	как бы	2	14
13	не имеет	3	14
14	так как	3	14
15	точки зрения	4	14
16	это есть	3	13
17	того что	7	13
18	это не	5	12
19	прежде всего	10	11
20	и вот	3	11
21	в том	6	11
22	не может	28	11
23	и все	10	11
24	в этом	20	11
25	в основе	2	10
26	потому что	16	10
27	том что	3	10
28	было бы	10	9
29	в виду	2	9
30	все это	6	9
31	и что	2	9
32	это и	4	9
33	уже не	4	9
34	значит что	4	9
35	не в	16	8
36	это значит	3	8
37	в себе	7	8
38	не только	29	8
39	и это	12	8
40	что в	10	7
41	должна быть	6	7
42	и мы	2	7
43	что он	10	7
44	как и	5	7
45	и его	9	7
46	только в	6	7
47	сказать что	2	6
48	если бы	2	6
49	в то	2	6
50	что и	4	6
51	нет ничего	7	6
52	в своем	10	5
53	того чтобы	2	5
54	в ней	15	5
55	но если	3	5
56	в нем	13	5
57	– не	5	5
58	в свете	3	5
59	и на	6	5
60	о том	2	5
61	с его	3	5
62	личности в	2	5
63	в жизни	3	5
64	есть не	4	5
65	учение о	3	5
66	для того	2	5
67	и для	2	5
68	в каком	2	5
69	оказывается что	2	4
70	и как	2	4
71	в этой	6	4
72	есть религия	2	4
73	один из	4	4
74	жизни и	2	4
75	ни с	4	4
76	но и	25	4
77	также и	2	4
78	и с	3	4
79	с тем	9	4
80	не как	4	4
81	мы видим	2	4
82	с их	2	4
83	она не	4	4
84	бы в	2	4
85	хотя бы	3	4
86	в его	9	4
87	уже нет	2	3
88	на этом	3	3
89	и нет	2	3
90	в свою	2	3
91	бытия но	2	3
92	себя и	3	3
93	в их	4	3
94	отношения к	4	3
95	все эти	2	3
96	личности но	2	3
97	свободы и	10	3
98	есть только	2	3
99	с этим	3	3
100	даже и	2	3
101	в истории	2	3
102	с ним	2	3
103	но в	7	3
104	от этого	2	3
105	к этому	2	3
106	от нее	5	3
107	у нас	5	3
108	есть и	3	3
109	за пределы	4	3
110	в своей	15	3
111	личность и	2	3
112	и потому	10	3
113	когда он	3	3
114	бы и	3	3
115	как в	2	3
116	– все	3	3
117	могут быть	2	3
118	от него	4	3
119	не могут	5	2
120	в человеке	8	2
121	прежде чем	2	2
122	мы еще	2	2
123	с этой	4	2
124	человека и	14	2
125	вопрос о	2	2
126	что человек	3	2
127	его как	2	2
128	мир не	2	2
129	мог бы	4	2
130	в самом	11	2
131	есть также	2	2
132	себе и	2	2
133	никогда не	14	2
134	в котором	8	2
135	был бы	10	2
136	у достоевского	42	2
137	и их	3	2
138	быть не	2	2
139	не было	18	2
140	лишь в	6	2
141	не мог	3	2
142	и по	4	2
143	должно быть	3	2
144	и когда	2	2
145	– идея	3	2
146	а как	2	2
147	в них	4	2
148	и во	2	2
149	в ее	3	2
150	все же	2	2
151	все что	2	2
152	никто не	2	2
153	конечно не	3	2
154	не значит	2	2
155	о нем	2	2
156	что есть	5	2
157	в этот	2	2
158	нет и	5	2
159	себя в	3	2
160	по сравнению	2	2
161	вместе с	6	2
162	бы не	2	2
163	в глубине	8	2
164	истории и	2	2
165	– значит	2	2
166	тем что	4	2
167	как будто	2	2
168	отношении к	2	2
169	в которой	6	2
