N	2gram	Bakhtin_sl_1	VrazhdaK
1	у тургенева	7	11
2	не только	16	9
3	в этом	12	8
4	и в	41	8
5	но и	16	7
6	и все	4	7
7	в котором	2	6
8	в нем	30	6
9	все же	7	6
10	и даже	6	6
11	в романе	21	6
12	как и	4	6
13	но в	8	6
14	и с	4	6
15	о нем	4	6
16	то же	14	5
17	не было	3	5
18	и не	16	5
19	у него	3	5
20	между тем	2	5
21	в то	14	5
22	же время	12	5
23	для нас	2	4
24	как бы	12	4
25	все это	5	4
26	это не	6	4
27	так же	2	4
28	с ним	7	4
29	может быть	14	4
30	при этом	6	4
31	в истории	3	4
32	о том	3	4
33	в ней	4	4
34	с его	4	3
35	связи с	2	3
36	в своем	3	3
37	эти слова	2	3
38	и во	3	3
39	к этому	2	3
40	и у	2	3
41	в том	3	3
42	и его	14	3
43	том что	2	3
44	в его	13	3
45	далеко не	5	3
46	его в	3	3
47	но он	2	3
48	и о	2	3
49	одним из	4	3
50	он не	3	3
51	а с	2	2
52	в известном	2	2
53	в своей	7	2
54	в роман	19	2
55	время и	2	2
56	из них	3	2
57	никогда не	3	2
58	его и	3	2
59	в них	6	2
60	столь же	2	2
61	как раз	2	2
62	так в	2	2
63	не может	14	2
64	а в	6	2
65	таким образом	9	2
66	рядом с	4	2
67	в той	10	2
68	уже не	2	2
69	к автору	2	2
70	с которым	2	2
71	с точки	8	2
72	и то	2	2
73	же как	2	2
74	точки зрения	16	2
75	в свою	3	2
76	и ее	3	2
77	в себе	3	2
78	отношение к	7	2
79	для него	3	2
80	еще не	4	2
81	одна из	2	2
82	том же	4	2
83	в эту	2	2
84	а также	2	2
85	в него	3	2
