N	2gram	Berdyaev_V_1	Narrotol
1	не только	2	26
2	а не	7	17
3	но и	5	15
4	в том	3	14
5	и не	20	14
6	том что	2	13
7	и в	16	13
8	в этом	4	13
9	только в	2	11
10	к тому	3	9
11	так и	4	9
12	а в	2	9
13	то что	9	8
14	не в	3	8
15	никогда не	3	6
16	в жизни	3	6
17	прежде всего	2	6
18	вслед за	2	6
19	того что	5	6
20	в его	4	6
21	как бы	5	6
22	но в	3	6
23	что он	4	5
24	хотя и	5	5
25	в котором	4	5
26	в нем	4	5
27	в форме	2	5
28	в конце	3	4
29	как и	4	4
30	все что	4	4
31	что в	3	4
32	для него	2	4
33	не к	2	4
34	жизни и	3	4
35	в своей	3	4
36	уже не	2	4
37	в мире	5	4
38	и все	4	4
39	с ним	2	4
40	в себя	2	4
41	мира в	2	4
42	с его	3	3
43	тому что	3	3
44	это не	2	3
45	да и	2	3
46	а к	2	3
47	что я	3	3
48	что они	7	3
49	одна из	2	3
50	но не	2	3
51	и сам	2	3
52	от которого	3	3
53	один из	2	3
54	на том	2	3
55	все эти	3	3
56	того чтобы	2	3
57	и для	3	3
58	между тем	2	3
59	превращается в	3	2
60	хотя бы	3	2
61	для нас	2	2
62	и т	2	2
63	должна быть	3	2
64	еще не	8	2
65	оно не	3	2
66	что и	3	2
67	не будет	2	2
68	давно уже	2	2
69	а с	2	2
70	если не	3	2
71	и что	3	2
72	более чем	2	2
73	не имеет	3	2
74	мы не	2	2
75	можно было	2	2
76	в чем	3	2
77	но это	3	2
78	в ней	4	2
79	говорить о	4	2
80	потому что	4	2
81	быть личностью	2	2
