N	2gram	Bakhtin_KF_1	RusskieA
1	и в	24	36
2	не только	5	22
3	что в	4	19
4	том что	4	19
5	в том	6	17
6	но и	9	16
7	в этом	14	12
8	это не	10	10
9	как и	5	10
10	и на	3	10
11	потому что	2	10
12	а в	4	9
13	с тем	2	8
14	может быть	45	8
15	один из	2	8
16	о том	3	8
17	что и	7	7
18	так и	2	7
19	и других	2	7
20	между тем	4	7
21	и не	26	6
22	для нас	4	6
23	с этого	2	6
24	при этом	4	6
25	уже не	7	6
26	мы не	3	6
27	все это	10	6
28	не имеет	5	6
29	в виде	2	6
30	то что	7	6
31	все же	5	5
32	как бы	9	5
33	с ними	3	5
34	как в	2	5
35	тому что	2	4
36	к этому	2	4
37	еще не	4	4
38	его с	2	4
39	во всех	11	4
40	и их	6	4
41	в их	8	4
42	не может	27	4
43	входит в	3	4
44	а с	2	4
45	мы имеем	5	4
46	того что	3	4
47	что этот	3	4
48	но это	6	4
49	тем что	3	4
50	только в	16	4
51	слова в	2	3
52	не менее	3	3
53	что это	3	3
54	в качестве	2	3
55	в своем	16	3
56	но все	5	3
57	в одном	4	3
58	думать что	2	3
59	в свою	3	3
60	тем не	2	3
61	в это	2	3
62	к ним	4	3
63	то же	5	3
64	с точки	9	3
65	ничего не	3	3
66	точки зрения	12	3
67	этого слова	2	3
68	в области	2	3
69	не было	8	2
70	всех этих	3	2
71	независимо от	3	2
72	могут быть	3	2
73	его и	2	2
74	та же	2	2
75	и потому	2	2
76	в каждом	3	2
77	его к	2	2
78	в нем	28	2
79	в жизни	2	2
80	но ни	2	2
81	и как	2	2
82	но не	12	2
83	быть и	3	2
84	до конца	3	2
85	но есть	2	2
86	отнюдь не	6	2
87	в ней	3	2
88	в его	40	2
89	не значит	6	2
90	ни одно	5	2
91	в целом	10	2
92	его как	5	2
93	для этого	2	2
94	все эти	10	2
95	на самом	3	2
96	а не	17	2
97	и пр	3	2
98	только по	2	2
99	и для	9	2
100	с ним	5	2
101	в своих	3	2
102	себя и	2	2
103	и здесь	7	2
104	но в	5	2
105	ничего общего	2	2
106	там где	5	2
