N	3gram	Propp_Isto_1	Morfolog
1	и т д	22	47
2	в этих случаях	2	13
3	мы видим что	8	9
4	в связи с	3	8
5	не может быть	7	8
6	в иное царство	4	6
7	таким образом мы	2	5
8	тем не менее	6	4
9	с другой стороны	5	4
10	по отношению к	3	4
11	мы увидим ниже	2	4
12	в руки героя	2	3
13	как мы увидим	2	3
14	но все же	3	3
15	в то время	3	2
16	с того что	3	2
17	на первый взгляд	2	2
18	в большинстве случаев	4	2
19	с одной стороны	4	2
20	точно так же	3	2
21	оно может быть	2	2
22	в таких случаях	2	2
23	более или менее	5	2
24	отсюда вывод что	2	2
25	героя из дома	2	2
26	в том что	4	2
27	начинается с того	2	2
28	то время как	3	2
29	руки героя попадает	2	2
