N	2gram	Voloshinov_1	Sovremen
1	не может	16	17
2	точки зрения	14	12
3	может быть	14	12
4	таким образом	12	11
5	мы не	3	9
6	в этом	4	7
7	и в	12	7
8	и не	10	6
9	как и	5	6
10	мы можем	2	6
11	ничего не	2	6
12	прежде всего	8	5
13	все эти	3	5
14	и наконец	3	5
15	с точки	2	5
16	в условиях	2	5
17	как бы	13	4
18	жизни и	4	4
19	вместе с	2	4
20	в зависимости	2	4
21	это не	2	4
22	не только	4	4
23	с помощью	6	4
24	в том	6	4
25	точку зрения	2	4
26	зависимости от	4	4
27	так как	9	4
28	уже в	2	3
29	но мы	2	3
30	все же	4	3
31	отнюдь не	5	3
32	между собой	2	3
33	все это	3	3
34	то же	5	3
35	ясно что	3	3
36	в нем	6	3
37	а не	5	3
38	и к	4	3
39	для нас	7	3
40	не в	4	3
41	еще не	3	3
42	при этом	6	3
43	и все	2	3
44	в себе	3	3
45	но в	5	3
46	и потому	2	3
47	в настоящее	2	2
48	этих двух	2	2
49	не менее	3	2
50	в некоторых	3	2
51	быть и	3	2
52	в нашем	11	2
53	с одной	2	2
54	уже не	4	2
55	самом деле	3	2
56	и что	2	2
57	и пр	3	2
58	и по	3	2
59	тем не	3	2
60	он должен	3	2
61	конечно в	2	2
62	то ни	3	2
63	но все	2	2
64	такой же	2	2
65	могут быть	2	2
66	что в	2	2
67	настоящее время	2	2
68	же самое	2	2
69	если же	2	2
70	в самом	4	2
71	форма в	2	2
72	в его	2	2
