N	2gram	Vinokur_Ku_3	FransuaR
1	и в	23	45
2	и не	10	15
3	не только	17	14
4	в этом	16	14
5	но в	2	14
6	в его	11	13
7	как бы	5	12
8	что в	13	12
9	в своем	4	11
10	то же	6	11
11	в то	3	11
12	прежде всего	9	10
13	в том	22	10
14	но и	3	10
15	как и	5	10
16	и с	3	10
17	вовсе не	5	8
18	как мы	5	8
19	в ней	3	8
20	таким образом	9	8
21	так же	2	8
22	том что	11	7
23	не в	5	7
24	что и	6	7
25	мы видели	3	7
26	все это	2	7
27	также и	5	7
28	потому что	12	7
29	что он	6	6
30	он не	3	6
31	здесь не	2	6
32	так и	6	6
33	мысли и	2	6
34	того чтобы	11	6
35	для того	12	6
36	связи с	6	6
37	так как	9	6
38	и к	3	5
39	это и	3	5
40	но это	5	5
41	на этом	2	5
42	хотя и	5	5
43	как раз	4	5
44	не может	6	5
45	в связи	5	5
46	все эти	7	5
47	на самом	3	5
48	самом деле	14	5
49	и как	2	5
50	его в	2	5
51	все они	2	4
52	том числе	2	4
53	мы не	3	4
54	и здесь	2	4
55	тому же	3	4
56	такой же	2	4
57	но не	3	4
58	по своему	2	4
59	ничего не	6	4
60	кроме того	2	4
61	по поводу	3	4
62	своего рода	2	4
63	в самом	13	4
64	в сущности	4	4
65	в общем	6	4
66	и о	4	4
67	а также	4	4
68	вернемся к	2	4
69	в их	6	4
70	убеждение в	2	4
71	мы находим	3	4
72	здесь как	2	4
73	а не	11	4
74	как на	8	4
75	а в	5	4
76	той же	3	4
77	можно было	11	4
78	сказать что	7	4
79	чем же	2	4
80	точки зрения	23	4
81	только в	6	4
82	о том	6	4
83	зрения на	3	4
84	как это	7	4
85	не менее	12	3
86	как в	4	3
87	это не	3	3
88	из этих	5	3
89	в одном	2	3
90	что на	3	3
91	ни в	3	3
92	по существу	3	3
93	но на	3	3
94	того же	4	3
95	в своей	4	3
96	от того	5	3
97	как они	2	3
98	до сих	8	3
99	вместе с	2	3
100	сих пор	8	3
101	что она	5	3
102	не было	4	3
103	еще и	2	3
104	именно в	3	3
105	всего этого	3	3
106	и вот	3	3
107	с помощью	6	3
108	того что	11	3
109	на этот	2	3
110	не имеет	3	3
111	в которых	3	3
112	в поэзии	5	3
113	как он	2	3
114	там где	3	3
115	о чем	2	3
116	только для	2	2
117	не могут	5	2
118	если мы	7	2
119	с тем	6	2
120	независимо от	5	2
121	на фоне	7	2
122	и есть	5	2
123	пор еще	3	2
124	и без	2	2
125	говорить о	6	2
126	по тому	2	2
127	точку зрения	2	2
128	хотя бы	9	2
129	относится к	2	2
130	нам о	2	2
131	что все	2	2
132	это в	2	2
133	этих форм	2	2
134	в условиях	2	2
135	можно сказать	2	2
136	к тому	3	2
137	в отношении	3	2
138	и выражений	2	2
139	отличие от	2	2
140	когда в	2	2
141	то что	4	2
142	в пределах	2	2
143	в качестве	2	2
144	было бы	16	2
145	что это	3	2
146	и если	2	2
147	конечно не	2	2
148	может быть	14	2
149	один из	4	2
150	слова и	7	2
151	все же	5	2
152	в целом	4	2
153	когда он	2	2
154	на том	2	2
155	на него	3	2
156	не будем	5	2
157	данном случае	4	2
158	в различных	2	2
159	а именно	3	2
160	в свете	2	2
161	так в	2	2
162	в отличие	2	2
163	и только	3	2
164	в особенности	2	2
165	при этом	6	2
166	чтобы не	2	2
167	всякого рода	5	2
168	можно говорить	10	2
169	лишь в	8	2
170	и что	7	2
171	с точки	16	2
172	языка но	3	2
173	нас в	3	2
174	в данном	7	2
175	не столько	4	2
176	между тем	4	2
177	эти последние	2	2
178	он в	2	2
179	но мы	2	2
180	этих слов	3	2
181	в чем	5	2
182	подчеркнуть что	2	2
