N	2gram	Berdyaev_N_1	Psycholo
1	то что	4	32
2	и в	16	31
3	в том	8	30
4	что в	9	23
5	может быть	7	22
6	не может	16	17
7	как и	7	16
8	том что	2	16
9	и не	11	16
10	а не	17	13
11	не только	5	13
12	так же	2	12
13	мы не	2	12
14	в этом	7	12
15	могут быть	2	11
16	не в	6	11
17	потому что	4	10
18	ни в	6	9
19	как в	3	9
20	никогда не	6	8
21	вместе с	2	8
22	все это	5	8
23	и что	2	8
24	том чтобы	2	7
25	есть в	2	7
26	того чтобы	2	7
27	тому как	3	7
28	сказать что	3	7
29	о том	4	7
30	одной стороны	2	6
31	а в	2	6
32	что она	2	6
33	и даже	2	6
34	и есть	10	5
35	формы и	2	5
36	и все	4	5
37	в ее	3	5
38	с одной	2	5
39	она не	3	5
40	другой стороны	2	5
41	и для	4	5
42	с другой	3	5
43	время как	2	5
44	это есть	7	5
45	подобно тому	3	5
46	в то	2	5
47	как будто	2	5
48	к тому	3	4
49	все время	2	4
50	прежде всего	4	4
51	в себе	2	4
52	по существу	2	4
53	же как	2	4
54	одна из	2	4
55	у него	2	4
56	как это	2	4
57	совсем не	12	3
58	с тем	3	3
59	что все	2	3
60	должна быть	3	3
61	вопрос о	3	3
62	и к	5	3
63	это и	2	3
64	но это	6	3
65	не будет	7	3
66	но не	2	3
67	смысле слова	3	3
68	хотя и	2	3
69	он не	8	3
70	не есть	3	3
71	жизни и	8	3
72	в своей	3	3
73	так и	2	3
74	который в	2	3
75	не было	4	3
76	роль в	2	3
77	в обществе	2	3
78	с этим	2	3
79	и это	2	3
80	когда мы	2	3
81	мысли в	2	3
82	но в	2	3
83	в основе	3	2
84	не менее	4	2
85	не существует	3	2
86	такой же	2	2
87	этом смысле	2	2
88	в них	4	2
89	не означает	3	2
90	и от	2	2
91	человека и	3	2
92	в жизни	5	2
93	быть в	2	2
94	том и	2	2
95	уже не	2	2
96	и потому	4	2
97	ли это	2	2
98	что такое	3	2
99	к жизни	3	2
100	в нем	5	2
101	но и	3	2
102	мысли и	2	2
103	в русском	2	2
104	к ним	3	2
105	и с	2	2
