N	3gram	Ircho_Kome_3	Psycholo
1	в том что	9	17
2	для того чтобы	6	13
3	в самом деле	6	11
4	с точки зрения	3	10
5	и т п	3	8
6	то же самое	3	6
7	в этом отношении	2	5
8	до сих пор	9	5
9	и в самом	3	4
10	о том что	4	4
11	тем не менее	3	4
12	в то время	2	3
13	в конце концов	2	3
14	в конечном счете	2	3
15	что и в	2	3
16	по сравнению с	2	2
17	в свою очередь	6	2
18	то же время	4	2
19	бы то ни	2	2
20	состоит в том	2	2
21	во всяком случае	3	2
22	в то же	4	2
23	что он не	2	2
24	то время как	2	2
25	с другой стороны	2	2
