N	2gram	Bakhtin_Pr_2	Psycholo
1	в том	8	37
2	и в	45	32
3	и что	2	22
4	том что	7	21
5	то что	5	21
6	таким образом	11	21
7	потому что	8	21
8	то есть	50	21
9	что в	6	20
10	так же	5	18
11	может быть	18	18
12	что и	5	17
13	не может	24	17
14	точки зрения	19	17
15	что она	4	16
16	самом деле	4	16
17	что он	7	13
18	при этом	2	13
19	то же	5	13
20	в этом	20	13
21	по себе	8	12
22	в самом	13	12
23	не только	16	12
24	так как	5	12
25	на то	2	11
26	было бы	4	11
27	в основе	2	11
28	как и	14	10
29	но и	15	10
30	и не	42	10
31	с точки	9	10
32	никогда не	17	9
33	что все	3	9
34	как в	4	9
35	в своих	4	9
36	тем что	2	9
37	не менее	2	8
38	не в	8	8
39	того что	3	8
40	и как	2	7
41	а не	10	7
42	в сущности	7	7
43	все эти	4	7
44	можно было	2	7
45	и его	8	7
46	что для	2	7
47	сказать что	5	7
48	только в	9	7
49	что они	3	7
50	все время	3	6
51	тот же	2	6
52	он не	9	6
53	как бы	15	6
54	в художественном	3	6
55	те же	2	6
56	что если	3	6
57	о том	3	6
58	если бы	2	6
59	что у	4	5
60	он говорит	2	5
61	в ней	7	5
62	далеко не	4	5
63	до сих	2	5
64	сих пор	2	5
65	все это	5	5
66	как раз	6	5
67	показать что	2	5
68	этом отношении	2	5
69	и даже	3	5
70	есть только	4	5
71	как на	2	5
72	и на	7	5
73	в то	5	5
74	и более	2	4
75	же как	4	4
76	из которого	2	4
77	от того	2	4
78	в жизни	3	4
79	поэтического творчества	2	4
80	как это	2	4
81	в чем	2	4
82	а на	2	4
83	и сам	3	4
84	и той	3	4
85	и по	2	4
86	в нем	20	4
87	все же	4	4
88	из них	9	4
89	жизни и	15	4
90	и до	4	4
91	но только	2	4
92	а в	3	4
93	мы имеем	2	4
94	мы видим	2	4
95	не имеет	3	4
96	и для	2	4
97	и с	7	4
98	могут быть	4	4
99	в целом	5	4
100	которые в	2	4
101	в произведении	5	4
102	ничего не	3	4
103	в сознании	2	4
104	того как	3	4
105	для этого	3	3
106	хотя бы	5	3
107	не как	6	3
108	формы в	2	3
109	в конце	4	3
110	представление о	2	3
111	и к	2	3
112	а только	2	3
113	об этом	3	3
114	так что	2	3
115	но как	2	3
116	до конца	7	3
117	например в	2	3
118	в своей	6	3
119	конце концов	3	3
120	относится к	2	3
121	один из	2	3
122	с ее	3	3
123	так и	3	3
124	во всех	4	3
125	и их	6	3
126	были бы	2	3
127	и ее	7	3
128	бы и	3	3
129	же мы	2	3
130	в их	4	3
131	что же	4	3
132	и других	3	3
133	образом в	2	3
134	этот вопрос	4	3
135	и вот	2	3
136	что не	5	3
137	и он	3	3
138	жизнь и	3	3
139	тому как	2	3
140	как к	2	3
141	в смысле	2	3
142	само по	2	3
143	мы должны	4	3
144	или же	2	3
145	но в	6	3
146	в виду	2	3
147	это было	2	3
148	мы можем	4	3
149	слова в	4	2
150	с его	8	2
151	же что	3	2
152	к действительности	2	2
153	в них	4	2
154	все что	3	2
155	сравнению с	2	2
156	это не	3	2
157	и от	3	2
158	точка зрения	7	2
159	одного и	2	2
160	с другими	7	2
161	в одном	6	2
162	в каждом	4	2
163	была бы	3	2
164	идет не	3	2
165	этой точки	2	2
166	и здесь	2	2
167	ни в	2	2
168	в романе	3	2
169	же время	3	2
170	еще не	9	2
171	но не	6	2
172	сознании и	2	2
173	по сравнению	2	2
174	она не	5	2
175	из которых	2	2
176	вовсе не	7	2
177	на его	5	2
178	к нему	11	2
179	к ним	3	2
180	и следовательно	7	2
181	подход к	2	2
182	в его	22	2
183	все те	2	2
184	в ее	3	2
185	его с	2	2
186	не так	2	2
187	как он	4	2
188	его жизни	2	2
189	начала и	2	2
190	в этих	4	2
191	отношение к	8	2
192	как не	5	2
193	в процессе	2	2
194	творчества в	2	2
195	на него	2	2
196	не на	4	2
197	бы не	3	2
198	в особенности	2	2
199	а с	3	2
200	не было	2	2
201	а потому	2	2
202	этой области	2	2
203	в самой	3	2
204	и у	2	2
205	и всегда	2	2
206	в таком	3	2
207	это очень	2	2
208	но это	2	2
209	их в	7	2
210	подобно тому	2	2
211	имеем в	2	2
212	в себе	5	2
213	в свое	2	2
214	для художественного	2	2
215	не значит	2	2
216	там где	6	2
217	эта форма	2	2
218	не потому	2	2
219	в которой	2	2
220	которая не	2	2
