N	2gram	Bakhtin_sl_2	formyVre
1	и в	39	46
2	в этом	16	22
3	прежде всего	8	14
4	и т	35	14
5	вовсе не	10	13
6	в романе	46	13
7	и его	33	12
8	только в	5	11
9	не только	24	11
10	во всех	12	11
11	т п	33	11
12	в том	5	10
13	как бы	7	10
14	точки зрения	8	10
15	то есть	26	10
16	но в	6	10
17	у него	3	9
18	не в	9	9
19	мы уже	2	9
20	мира и	5	9
21	вместе с	2	9
22	но и	21	9
23	и не	22	9
24	и для	5	9
25	в связи	2	8
26	связи с	3	8
27	как и	6	8
28	в его	7	8
29	жизни и	6	8
30	то же	4	8
31	того чтобы	2	8
32	для того	2	8
33	с точки	3	8
34	в основном	4	8
35	всех этих	4	7
36	в них	6	7
37	в одном	2	7
38	может быть	37	7
39	то что	2	7
40	так и	15	7
41	и на	4	7
42	так сказать	6	7
43	никогда не	7	6
44	и все	5	6
45	при этом	7	6
46	как мы	7	6
47	здесь в	3	6
48	еще не	7	6
49	его в	4	6
50	все же	6	6
51	все это	16	6
52	в особенности	3	6
53	те же	2	6
54	человека в	5	6
55	и наконец	5	6
56	в основе	4	6
57	романе в	3	6
58	так как	4	6
59	и с	9	6
60	громадное значение	2	5
61	в своем	6	5
62	с этим	2	5
63	связанные с	4	5
64	рыцарском романе	2	5
65	в дальнейшем	2	5
66	в пределах	13	5
67	в то	4	5
68	но не	6	5
69	он не	2	5
70	и др	4	5
71	в нем	19	5
72	что в	3	5
73	все эти	6	5
74	в смысле	4	5
75	рыцарский роман	9	5
76	уже в	2	4
77	жизни в	2	4
78	человека и	3	4
79	же время	4	4
80	с ним	7	4
81	том что	5	4
82	и их	5	4
83	конечно не	5	4
84	как в	13	4
85	отношения к	4	4
86	еще более	2	4
87	а не	14	4
88	также и	2	4
89	в себе	2	4
90	в истории	11	4
91	о том	2	4
92	не было	2	3
93	романе и	2	3
94	борьба с	4	3
95	себя и	4	3
96	все они	2	3
97	как уже	2	3
98	с помощью	4	3
99	для романа	2	3
100	что он	2	3
101	и как	3	3
102	в большинстве	6	3
103	в прошлом	2	3
104	для него	7	3
105	кроме того	2	3
106	хотя и	2	3
107	а также	3	3
108	точка зрения	2	3
109	что и	3	3
110	слова и	8	3
111	отношение к	4	3
112	в форме	2	3
113	т д	2	3
114	и другие	2	3
115	таким образом	8	3
116	почти все	2	3
117	на границе	2	3
118	в их	2	3
119	уже не	5	3
120	и даже	7	3
121	мы наблюдаем	2	3
122	а в	4	3
123	роль в	2	3
124	в другом	2	3
125	на протяжении	2	3
126	в этих	7	3
127	большинстве случаев	5	3
128	на этом	3	2
129	и затем	2	2
130	не был	2	2
131	человек в	6	2
132	и более	2	2
133	в роман	3	2
134	смысла и	3	2
135	говорить о	3	2
136	на котором	2	2
137	во франции	2	2
138	с другой	5	2
139	и других	4	2
140	это не	5	2
141	роман в	3	2
142	романа в	5	2
143	эти формы	4	2
144	но здесь	4	2
145	по себе	5	2
146	дело идет	2	2
147	или иной	5	2
148	в историческом	2	2
149	но эта	2	2
150	влияние на	2	2
151	в отношении	4	2
152	без всякого	2	2
153	именно в	2	2
154	рыцарского романа	9	2
155	все что	2	2
156	до конца	17	2
157	она не	6	2
158	со всеми	2	2
159	и к	6	2
160	в сущности	6	2
161	далее в	2	2
162	словом и	8	2
163	наконец в	4	2
164	своими корнями	2	2
165	таков например	2	2
166	и потому	7	2
167	один из	5	2
168	сих пор	2	2
169	мы видели	2	2
170	этом случае	6	2
171	в некоторых	3	2
172	быть и	3	2
173	здесь это	2	2
174	в эпосе	4	2
175	и т.п	2	2
176	не может	20	2
177	здесь не	4	2
178	этом отношении	3	2
179	с одной	5	2
180	чем не	2	2
181	в себя	2	2
182	в той	4	2
183	лишь в	3	2
184	эпохи и	2	2
185	особенно в	2	2
186	рядом с	3	2
187	в данном	2	2
188	но это	3	2
189	людей и	2	2
190	автора и	2	2
191	и от	3	2
192	могут быть	7	2
193	но он	2	2
194	ту же	3	2
195	не знает	2	2
196	в поэзии	2	2
197	далеко не	2	2
198	как он	2	2
199	там где	6	2
200	как это	3	2
201	во всяком	3	2
202	оно было	2	2
203	до сих	2	2
