N	2gram	Propp_Isto_3	UchenyiS
1	и в	22	14
2	а не	6	10
3	не только	14	10
4	и не	12	8
5	прежде всего	3	8
6	то что	7	7
7	в этом	17	7
8	вот почему	2	7
9	не может	4	7
10	может быть	11	6
11	то же	6	5
12	но и	12	4
13	в этой	5	4
14	с другой	7	4
15	но в	10	3
16	как и	3	3
17	и то	2	3
18	все же	5	3
19	в частности	5	3
20	другой стороны	7	3
21	это не	6	3
22	в то	2	3
23	было бы	3	3
24	у нас	4	3
25	но конечно	2	2
26	том что	8	2
27	но не	7	2
28	в том	9	2
29	не все	6	2
30	не в	4	2
31	всех этих	2	2
32	и для	2	2
33	но это	3	2
34	если бы	6	2
35	только в	4	2
36	и с	4	2
37	тем что	4	2
38	сих пор	5	2
39	могут быть	5	2
40	их и	3	2
41	его и	4	2
42	что он	9	2
43	и у	3	2
44	до сих	5	2
45	если не	2	2
46	в сторону	2	2
47	в некоторых	5	2
48	превращается в	3	2
49	одним из	4	2
50	ничего не	6	2
51	что она	5	2
52	что и	9	2
53	в его	3	2
54	между тем	2	2
55	таким образом	10	2
56	же не	2	2
57	как таковой	2	2
