N	2gram	Propp_Morf_1	Dialekti
1	и не	12	30
2	т е	21	25
3	и т	41	21
4	т д	39	19
5	и в	13	18
6	ничего не	4	17
7	может быть	52	17
8	точки зрения	2	17
9	и есть	2	16
10	не имеет	2	15
11	значит что	3	14
12	а не	11	14
13	потому что	3	14
14	что в	8	13
15	то что	8	13
16	не только	4	13
17	если бы	2	12
18	было бы	3	12
19	и что	2	12
20	с точки	2	12
21	в этом	14	12
22	не может	14	12
23	что он	4	11
24	как бы	3	11
25	учение о	3	11
26	так как	16	11
27	прежде всего	9	10
28	несмотря на	4	10
29	есть нечто	3	10
30	то же	7	10
31	что такое	3	10
32	сказать что	2	10
33	это не	6	9
34	в том	6	9
35	так и	6	9
36	том что	4	9
37	ясно что	5	8
38	но это	6	8
39	к нему	3	8
40	в каком	2	8
41	не существует	3	7
42	вовсе не	4	7
43	и как	5	7
44	то в	3	7
45	но и	4	7
46	что она	2	7
47	также и	4	7
48	с другой	8	6
49	можно сказать	2	6
50	хотя бы	4	6
51	она не	2	6
52	не в	3	6
53	в то	3	6
54	но в	2	6
55	в этих	13	5
56	на то	2	5
57	как же	2	5
58	есть и	4	5
59	и пр	37	5
60	но если	7	5
61	не с	2	5
62	все же	7	5
63	а в	7	5
64	можно было	2	5
65	говорить о	3	5
66	или не	3	5
67	мы должны	3	5
68	к тому	4	4
69	что эта	2	4
70	во всяком	2	4
71	об этом	4	4
72	как таковой	2	4
73	это и	2	4
74	мы видим	13	4
75	но не	4	4
76	хотя и	3	4
77	то это	3	4
78	быть и	2	4
79	так же	3	4
80	другой стороны	4	4
81	как мы	6	4
82	мы можем	2	4
83	о том	2	4
84	как это	3	4
85	если она	2	3
86	тому что	4	3
87	та же	2	3
88	не является	3	3
89	что и	7	3
90	что они	2	3
91	более или	2	3
92	случае не	3	3
93	он не	3	3
94	не значит	2	3
95	если в	5	3
96	один из	5	3
97	то как	2	3
98	или менее	2	3
99	что же	2	3
100	даже не	3	3
101	но все	3	3
102	на самом	4	3
103	самом деле	4	3
104	только что	2	3
105	могут быть	16	3
106	только в	2	3
107	утверждать что	3	3
108	или нет	2	3
109	но вот	2	3
110	ни к	2	2
111	на этом	3	2
112	не менее	5	2
113	того что	3	2
114	в виде	2	2
115	в частности	2	2
116	в качестве	5	2
117	чаще всего	7	2
118	как в	3	2
119	к этому	3	2
120	вопрос о	7	2
121	ни было	2	2
122	как и	3	2
123	еще не	3	2
124	мы увидим	8	2
125	для того	2	2
126	но есть	3	2
127	следует за	2	2
128	никто не	3	2
129	вслед за	5	2
130	друг к	2	2
131	же можно	2	2
132	всяком случае	2	2
133	его самого	4	2
134	из них	3	2
135	и их	2	2
136	к другу	2	2
137	дело не	2	2
138	со стороны	3	2
139	как например	2	2
140	с этим	11	2
141	а с	2	2
142	все эти	2	2
143	мы имеем	9	2
144	если мы	5	2
145	уже не	2	2
146	д но	4	2
147	и для	2	2
148	же может	2	2
149	между собою	2	2
150	или на	3	2
151	то мы	4	2
152	мы получаем	2	2
153	в которых	2	2
154	как таковая	2	2
155	но как	2	2
156	в другом	2	2
157	могла бы	4	2
158	или по	2	2
159	заметить что	8	2
160	если это	3	2
161	живой и	2	2
162	время как	3	2
163	это было	3	2
