N	2gram	Berdyaev_O_1	Istorich
1	т е	4	29
2	что он	3	24
3	не только	11	18
4	может быть	11	17
5	никогда не	9	15
6	и в	19	15
7	но и	13	14
8	так как	2	14
9	что в	4	12
10	а в	5	12
11	то что	5	12
12	в этих	3	11
13	и не	13	11
14	в этом	12	11
15	что они	2	10
16	его в	2	10
17	с тем	2	9
18	еще не	3	9
19	все же	2	9
20	в другом	2	9
21	потому что	9	9
22	он не	7	8
23	том что	2	7
24	в нем	10	7
25	не в	11	7
26	ничего не	2	7
27	так что	2	6
28	в его	7	6
29	как бы	3	6
30	что и	2	6
31	в том	5	6
32	но в	2	6
33	и есть	3	5
34	прежде всего	9	5
35	было бы	3	5
36	так и	2	5
37	не может	4	5
38	а не	11	5
39	к нему	3	5
40	в русской	3	5
41	вопрос о	10	4
42	у него	22	4
43	в этой	5	4
44	но он	7	4
45	и с	2	4
46	тем что	2	4
47	и на	2	4
48	в себе	3	4
49	все эти	4	4
50	к этой	2	4
51	должен был	2	3
52	и его	4	3
53	он был	8	3
54	же можно	2	3
55	о том	3	3
56	когда он	3	3
57	все это	6	3
58	того что	3	3
59	он в	2	3
60	в других	2	3
61	уже в	2	2
62	не было	9	2
63	могут быть	3	2
64	это не	3	2
65	все еще	2	2
66	с которой	2	2
67	о его	5	2
68	что у	2	2
69	как и	6	2
70	одно из	2	2
71	того чтобы	4	2
72	вместо того	2	2
73	и из	2	2
74	и для	2	2
75	подойти к	2	2
76	не все	2	2
77	хотя бы	3	2
78	ее в	2	2
79	человека в	11	2
80	его не	2	2
81	и то	2	2
82	сказать что	2	2
83	к ней	2	2
84	и ее	3	2
85	это за	3	2
86	нет ничего	7	2
87	в которой	2	2
