N	2gram	Losev_Vlad_3	Komedia
1	и в	40	22
2	и не	25	21
3	том что	18	13
4	в том	18	12
5	таким образом	11	12
6	со стороны	2	11
7	так как	7	11
8	ни в	10	10
9	потому что	11	10
10	в самом	4	9
11	вместе с	7	9
12	если бы	3	8
13	в своем	8	8
14	что он	5	8
15	в его	14	8
16	что и	7	8
17	в этом	16	8
18	о том	11	8
19	его в	2	8
20	об этом	6	7
21	при этом	3	7
22	то же	4	7
23	только что	2	7
24	едва ли	11	7
25	а в	7	7
26	в конце	12	7
27	к этому	2	6
28	тому же	5	6
29	того же	2	6
30	еще не	4	6
31	для того	2	6
32	к тому	7	6
33	может быть	8	6
34	как раз	10	6
35	и что	8	6
36	того чтобы	3	6
37	так что	14	6
38	и его	10	6
39	в то	7	6
40	не менее	9	5
41	связи с	2	5
42	что в	17	5
43	же время	2	5
44	прежде всего	10	5
45	то это	10	5
46	что его	2	5
47	как это	4	5
48	хотя и	7	5
49	не только	25	5
50	в своей	9	5
51	из них	2	5
52	не хочет	2	5
53	он не	8	5
54	тем что	5	5
55	к нему	3	5
56	но в	4	5
57	с тем	7	4
58	но все	3	4
59	должен был	2	4
60	у него	24	4
61	отнюдь не	5	4
62	с другой	5	4
63	вовсе не	13	4
64	и здесь	6	4
65	он был	2	4
66	все же	4	4
67	не в	3	4
68	до конца	4	4
69	несмотря на	7	4
70	в ней	5	4
71	здесь нет	2	4
72	то что	28	4
73	но и	18	4
74	на него	2	4
75	что она	2	4
76	и речи	2	4
77	в отношении	5	4
78	а не	8	4
79	и для	3	4
80	друг друга	2	4
81	так же	8	4
82	тут же	5	4
83	точки зрения	13	4
84	само собой	3	4
85	на себя	2	4
86	в себе	9	4
87	в связи	3	4
88	бы в	2	4
89	так и	6	4
90	не является	2	4
91	хотя бы	6	4
92	и с	9	4
93	с его	2	3
94	никогда не	11	3
95	в глаза	4	3
96	то ни	3	3
97	в какой	2	3
98	с этой	2	3
99	с этим	2	3
100	себе в	2	3
101	если не	6	3
102	в нем	3	3
103	далеко не	3	3
104	на то	4	3
105	нисколько не	3	3
106	и к	2	3
107	тем не	10	3
108	и еще	2	3
109	как и	7	3
110	в начале	2	3
111	в этой	8	3
112	чем в	4	3
113	который в	2	3
114	одной стороны	3	3
115	было бы	4	3
116	как бы	3	3
117	в целом	2	3
118	даже не	3	3
119	не может	14	3
120	с одной	3	3
121	в течение	4	3
122	с точки	6	3
123	и даже	6	3
124	не имеет	4	3
125	не так	3	3
126	одной из	2	3
127	во всяком	3	3
128	не о	2	3
129	но если	5	3
130	же самое	3	3
131	в которой	2	3
132	ничего не	5	3
133	всяком случае	3	3
134	он понимает	2	2
135	уже в	3	2
136	а о	2	2
137	в качестве	3	2
138	не как	2	2
139	не будет	6	2
140	это не	3	2
141	и все	4	2
142	в одном	5	2
143	человека и	3	2
144	не могут	2	2
145	для понимания	2	2
146	стороны и	2	2
147	если мы	4	2
148	к своему	2	2
149	мы знаем	3	2
150	отличие от	3	2
151	по существу	4	2
152	в силу	2	2
153	она не	2	2
154	бы то	3	2
155	то время	4	2
156	он называет	2	2
157	не мог	6	2
158	и если	7	2
159	совершенно не	2	2
160	в сущности	2	2
161	за пределы	3	2
162	и о	4	2
163	от того	4	2
164	конце концов	5	2
165	а также	8	2
166	в котором	4	2
167	так или	2	2
168	был бы	3	2
169	не с	4	2
170	наряду с	2	2
171	могло быть	2	2
172	в их	2	2
173	как мы	8	2
174	другой стороны	2	2
175	при всем	2	2
176	она была	4	2
177	в изображении	2	2
178	хочет быть	2	2
179	по мнению	4	2
180	отношения к	5	2
181	не было	5	2
182	этом отношении	2	2
183	время как	2	2
184	мы не	2	2
185	в мире	2	2
186	понимает что	2	2
187	роль в	2	2
188	в таком	3	2
189	можно было	5	2
190	или иначе	2	2
191	собой разумеется	2	2
192	в своих	7	2
193	и на	6	2
194	здесь и	2	2
195	в результате	4	2
196	тому что	4	2
197	можно предполагать	2	2
198	что касается	2	2
199	нет ни	2	2
200	в другом	2	2
201	что мы	2	2
202	и это	6	2
203	нет ничего	2	2
204	из этого	2	2
205	что эта	2	2
206	здесь не	3	2
207	к этой	2	2
208	больше чем	2	2
209	в виду	3	2
