N	2gram	Tiupa_Disk_1	RusskieA
1	и в	16	36
2	не только	28	22
3	что в	4	19
4	том что	19	19
5	в том	23	17
6	но и	14	16
7	в этом	15	12
8	это не	3	10
9	как мы	2	10
10	как и	16	10
11	и на	5	10
12	потому что	4	10
13	об этом	2	9
14	а в	5	9
15	состоит в	9	8
16	из них	3	8
17	может быть	17	8
18	один из	3	8
19	и по	2	8
20	о том	8	8
21	что и	3	7
22	так и	8	7
23	между тем	4	7
24	и не	11	6
25	так например	2	6
26	при этом	13	6
27	в них	4	6
28	уже не	4	6
29	таким образом	3	6
30	то что	5	6
31	будто бы	2	6
32	все же	3	5
33	как бы	5	5
34	в которых	4	5
35	как в	10	5
36	к этому	2	4
37	как уже	3	4
38	в тех	2	4
39	к тому	5	4
40	в г	2	4
41	представляет собой	17	4
42	еще не	14	4
43	связи с	4	4
44	еще в	3	4
45	и др	2	4
46	во всех	5	4
47	в их	5	4
48	не может	9	4
49	а с	5	4
50	мы имеем	2	4
51	и что	2	4
52	того что	3	4
53	тем что	3	4
54	только в	7	4
55	слова в	2	3
56	не менее	2	3
57	о чем	2	3
58	в качестве	34	3
59	в своем	6	3
60	но они	2	3
61	в одном	2	3
62	в свою	3	3
63	и к	4	3
64	на этом	2	3
65	как правило	4	3
66	к ним	3	3
67	а также	8	3
68	не с	3	3
69	или на	3	3
70	своего рода	8	3
71	приводит к	2	3
72	то же	7	3
73	точки зрения	3	3
74	то есть	20	3
75	далеко не	10	3
76	не было	7	2
77	в частности	9	2
78	могут быть	4	2
79	в разные	2	2
80	между собой	2	2
81	к другому	2	2
82	с этим	3	2
83	и потому	3	2
84	в каждом	2	2
85	в различных	2	2
86	в нем	9	2
87	и как	6	2
88	в силу	5	2
89	свою очередь	3	2
90	но не	11	2
91	они и	3	2
92	привело к	4	2
93	отнюдь не	8	2
94	когда он	2	2
95	например в	2	2
96	имеет место	3	2
97	народного творчества	2	2
98	в его	7	2
99	в целом	4	2
100	как не	3	2
101	его как	2	2
102	в е	2	2
103	е годы	2	2
104	в особенности	4	2
105	тогда как	19	2
106	в какой	2	2
107	них в	2	2
108	в году	2	2
109	а не	22	2
110	для обозначения	3	2
111	или в	2	2
112	в своих	3	2
113	хотя и	2	2
114	на себя	2	2
115	но в	8	2
116	в равной	2	2
