N	2gram	Tiupa_Narr_2	Freidism
1	таким образом	5	24
2	и не	14	23
3	не может	8	20
4	точки зрения	5	19
5	прежде всего	6	18
6	в этом	13	15
7	в его	6	15
8	в душе	2	13
9	может быть	10	13
10	и его	3	12
11	как и	4	11
12	как бы	6	11
13	то что	8	11
14	все эти	3	11
15	с точки	2	11
16	так и	9	10
17	самом деле	3	10
18	с ним	4	10
19	но в	6	10
20	с его	3	9
21	и в	13	9
22	по отношению	5	9
23	все что	4	8
24	что он	5	8
25	отношению к	5	8
26	еще не	2	8
27	в своей	4	8
28	он не	5	8
29	не только	26	8
30	то же	4	8
31	только в	11	8
32	и все	4	8
33	один из	3	7
34	в самом	2	7
35	те же	2	7
36	сказать что	3	7
37	никогда не	6	6
38	точку зрения	3	6
39	вовсе не	2	6
40	для него	4	6
41	того что	6	6
42	в ней	2	6
43	все те	2	6
44	так сказать	3	6
45	хотя бы	2	6
46	на протяжении	5	6
47	и к	6	5
48	он сам	2	5
49	в свою	2	5
50	можно сказать	6	5
51	не в	8	5
52	в этой	4	5
53	в чем	2	5
54	в то	5	5
55	его жизни	2	5
56	что в	4	5
57	но и	15	5
58	на самом	2	5
59	в себя	4	5
60	а в	9	5
61	не менее	4	4
62	но не	3	4
63	я не	5	4
64	в котором	5	4
65	из этих	2	4
66	в жизни	6	4
67	к тому	9	4
68	об этом	4	4
69	сводится к	9	4
70	же время	3	4
71	при этом	14	4
72	как раз	3	4
73	в нем	5	4
74	все же	6	4
75	данном случае	6	4
76	уже не	4	4
77	того чтобы	3	4
78	и для	3	4
79	той же	2	4
80	мы не	2	4
81	в таком	3	4
82	с ними	3	4
83	характер и	3	4
84	в данном	10	4
85	потому что	2	4
86	во время	2	4
87	говорить о	2	4
88	о которой	3	3
89	если бы	4	3
90	конечном счете	3	3
91	тому что	3	3
92	к себе	7	3
93	в конечном	3	3
94	в себе	8	3
95	но это	2	3
96	по своему	2	3
97	со всеми	2	3
98	по поводу	2	3
99	было бы	2	3
100	себя в	2	3
101	жизни и	4	3
102	на него	5	3
103	со стороны	6	3
104	как в	5	3
105	и что	2	3
106	и т.п	6	3
107	и по	3	3
108	мы имеем	3	3
109	у него	6	3
110	зрения на	2	3
111	одна из	3	3
112	не является	4	3
113	в сознании	2	3
114	зависит от	2	2
115	только не	2	2
116	что это	4	2
117	в нашем	2	2
118	между собой	3	2
119	для себя	3	2
120	в какой	4	2
121	с другой	5	2
122	это не	3	2
123	оно не	2	2
124	в конце	4	2
125	и уже	4	2
126	тем не	5	2
127	для нас	2	2
128	в ее	4	2
129	да и	3	2
130	том что	13	2
131	а не	17	2
132	что с	2	2
133	одной стороны	5	2
134	которой он	3	2
135	во сне	2	2
136	содержание сознания	4	2
137	но для	2	2
138	в процессе	2	2
139	о нем	3	2
140	в него	2	2
141	в своем	6	2
142	себе и	2	2
143	ответ на	5	2
144	во второй	2	2
145	что она	2	2
146	только на	2	2
147	в составе	2	2
148	а с	2	2
149	этом отношении	3	2
150	с одной	5	2
151	внутренней речи	3	2
152	в отличие	5	2
153	и у	4	2
154	другого человека	2	2
155	и даже	3	2
156	так же	2	2
157	как на	2	2
158	отличие от	5	2
159	роль в	2	2
160	вся жизнь	2	2
161	себя с	2	2
162	может оказаться	2	2
163	они не	2	2
164	в своих	2	2
165	что и	2	2
166	к его	3	2
167	в другом	4	2
168	все то	2	2
169	нам в	3	2
170	как это	4	2
171	в области	2	2
172	содержания сознания	2	2
