N	2gram	Losev_Prob_3	Narrotol
1	не только	14	26
2	а не	18	17
3	но и	10	15
4	в том	21	14
5	при этом	4	14
6	в качестве	3	14
7	и не	35	14
8	том что	12	13
9	и в	44	13
10	в этом	17	13
11	такого рода	6	12
12	в частности	2	11
13	только в	19	11
14	может быть	28	10
15	в данном	9	10
16	к тому	3	9
17	так и	10	9
18	у чехова	3	9
19	а в	5	9
20	то есть	34	9
21	то что	23	8
22	в себе	8	8
23	не может	7	8
24	не в	13	8
25	никогда не	6	6
26	в своем	5	6
27	прежде всего	3	6
28	можно сказать	6	6
29	и к	6	6
30	того что	8	6
31	в его	9	6
32	данном случае	7	6
33	героя в	2	6
34	все же	6	6
35	как бы	9	6
36	а также	4	6
37	ничего не	3	6
38	но в	12	6
39	точки зрения	5	5
40	не столько	2	5
41	тем не	10	5
42	что он	9	5
43	хотя и	5	5
44	он не	8	5
45	в котором	2	5
46	и тем	9	5
47	в нем	9	5
48	как в	5	5
49	в отличие	2	5
50	таким образом	9	5
51	с одной	2	5
52	в той	3	5
53	тем самым	5	5
54	с другой	7	5
55	отличие от	3	5
56	в то	9	5
57	о том	6	5
58	перед нами	8	4
59	что это	3	4
60	не менее	10	4
61	если бы	3	4
62	отнюдь не	10	4
63	в конце	5	4
64	об этом	3	4
65	же в	3	4
66	как и	10	4
67	что в	8	4
68	для него	3	4
69	не является	11	4
70	жизни и	6	4
71	в своей	5	4
72	в ее	4	4
73	то же	13	4
74	уже не	7	4
75	и у	2	4
76	в другом	2	4
77	в этой	3	4
78	и все	3	4
79	как это	2	4
80	с ним	7	4
81	он является	3	3
82	в известном	2	3
83	а как	2	3
84	тому что	4	3
85	мы имеем	2	3
86	или даже	5	3
87	это не	9	3
88	пока еще	2	3
89	или иного	3	3
90	или иной	8	3
91	говорилось выше	2	3
92	да и	5	3
93	а к	2	3
94	в слове	2	3
95	что они	5	3
96	но не	3	3
97	и сам	5	3
98	того или	6	3
99	как раз	8	3
100	той или	12	3
101	только к	2	3
102	для себя	2	3
103	в целом	6	3
104	то и	5	3
105	все эти	7	3
106	самом деле	3	3
107	и даже	14	3
108	и по	2	3
109	и для	2	3
110	и его	5	3
111	в таком	5	3
112	о ней	2	3
113	с этой	3	3
114	никак не	9	3
115	сказать что	16	3
116	едва ли	5	3
117	не обязательно	2	2
118	он сам	4	2
119	же как	3	2
120	о чем	2	2
121	а то	3	2
122	однако в	2	2
123	в нашем	5	2
124	что у	3	2
125	хотя бы	3	2
126	точно так	3	2
127	но также	2	2
128	своих героев	2	2
129	с нею	2	2
130	вовсе не	37	2
131	и здесь	5	2
132	на то	3	2
133	для нас	16	2
134	и т	13	2
135	в начале	2	2
136	тем более	3	2
137	и более	2	2
138	по своему	2	2
139	как о	5	2
140	еще не	5	2
141	было бы	8	2
142	по поводу	2	2
143	со своим	2	2
144	в самом	3	2
145	ни для	2	2
146	от его	2	2
147	не являются	2	2
148	себя не	2	2
149	что и	9	2
150	себя в	2	2
151	в процессе	2	2
152	только на	5	2
153	мертвых душ	2	2
154	в настоящем	3	2
155	собственно говоря	5	2
156	а с	2	2
157	если не	3	2
158	именно в	2	2
159	у нас	10	2
160	и состоит	2	2
161	на самом	7	2
162	и что	7	2
163	только что	2	2
164	с точки	2	2
165	не имеет	9	2
166	так же	5	2
167	как на	2	2
168	своей собственной	2	2
169	мы не	7	2
170	можно было	4	2
171	в чем	4	2
172	но это	8	2
173	в результате	2	2
174	в ней	5	2
175	в виде	6	2
176	говорить о	3	2
177	могли бы	4	2
178	зрения на	2	2
179	здесь не	8	2
180	бы в	2	2
181	потому что	25	2
182	могло бы	3	2
183	том как	2	2
