N	2gram	Medvedev_F_1	Vladivir
1	и в	24	30
2	в году	2	24
3	то что	8	20
4	в этом	15	20
5	в том	6	18
6	и не	20	18
7	а н	3	14
8	и с	8	14
9	что он	3	13
10	что в	4	12
11	не только	7	12
12	в его	23	11
13	а в	6	11
14	как мы	5	11
15	и даже	3	10
16	не было	3	10
17	не в	8	9
18	для него	3	9
19	было бы	6	9
20	все же	3	9
21	не может	16	9
22	в то	9	9
23	связи с	3	8
24	в своем	11	8
25	вместе с	2	8
26	но и	7	8
27	в связи	4	8
28	но в	5	8
29	не менее	11	7
30	никогда не	4	7
31	точки зрения	16	7
32	и все	6	7
33	ни в	2	7
34	до конца	7	7
35	может быть	14	7
36	а не	10	7
37	как это	6	7
38	прежде всего	22	6
39	и к	4	6
40	у нас	5	6
41	только в	2	6
42	всяком случае	4	6
43	во всяком	4	6
44	в себе	3	6
45	жизни и	7	6
46	и его	10	6
47	по себе	5	5
48	как и	11	5
49	при этом	5	5
50	в своей	11	5
51	в основном	3	5
52	как бы	6	5
53	так и	18	5
54	все это	9	5
55	с этим	2	5
56	и что	2	5
57	того что	5	5
58	в результате	2	5
59	все эти	6	5
60	с ним	2	5
61	с его	4	4
62	именно в	8	4
63	с этой	4	4
64	вовсе не	10	4
65	его в	3	4
66	в этой	6	4
67	в целом	6	4
68	и если	2	4
69	на его	2	4
70	конечно не	4	4
71	в ней	10	4
72	он не	3	4
73	в нем	14	4
74	не есть	2	4
75	время в	3	4
76	со стороны	5	4
77	то же	10	4
78	и наконец	3	4
79	так же	4	4
80	и на	8	4
81	но это	3	4
82	здесь не	3	4
83	в которой	4	4
84	отношение к	3	4
85	под влиянием	2	3
86	учение о	4	3
87	всех этих	3	3
88	в них	3	3
89	в отношении	3	3
90	хотя бы	5	3
91	же время	8	3
92	в свою	8	3
93	что и	2	3
94	по существу	2	3
95	и как	3	3
96	более или	6	3
97	но не	3	3
98	и особенно	2	3
99	с точки	13	3
100	во всех	5	3
101	или менее	6	3
102	как в	8	3
103	отношения к	6	3
104	таким образом	13	3
105	только и	4	3
106	и вот	2	3
107	уже не	2	3
108	должно быть	11	3
109	наконец в	3	3
110	или иначе	2	3
111	даже и	2	3
112	к ней	2	3
113	и это	2	3
114	в россии	3	3
115	в области	3	3
116	учения о	2	3
117	еще в	2	2
118	нисколько не	2	2
119	с тем	2	2
120	борьба с	3	2
121	жизни в	2	2
122	это не	2	2
123	и от	7	2
124	раз и	2	2
125	на все	3	2
126	с начала	2	2
127	мы видели	2	2
128	же они	2	2
129	человек не	3	2
130	здесь в	2	2
131	в настоящее	10	2
132	к тому	3	2
133	от всякой	2	2
134	в общем	3	2
135	же в	3	2
136	друг друга	4	2
137	свою очередь	6	2
138	единство и	2	2
139	и может	4	2
140	и всякая	2	2
141	настоящее время	10	2
142	она не	6	2
143	не могла	2	2
144	в самом	5	2
145	в частности	4	2
146	том чтобы	2	2
147	исходить из	4	2
148	и потому	9	2
149	начала и	2	2
150	и до	5	2
151	его и	2	2
152	бытия в	3	2
153	в их	11	2
154	не на	2	2
155	как к	3	2
156	но все	2	2
157	его не	2	2
158	в своих	2	2
159	в работе	2	2
160	не о	3	2
161	к этой	4	2
162	ничего не	2	2
163	мы не	3	2
