N	2gram	Vinokur_Ku_2	Istorich
1	и в	23	26
2	т е	22	22
3	так как	15	18
4	мы имеем	5	14
5	никогда не	2	13
6	потому что	25	13
7	что в	10	12
8	таким образом	5	12
9	в том	19	12
10	и на	6	12
11	в этом	18	12
12	мы видели	2	11
13	может быть	15	11
14	с другой	8	10
15	том что	11	10
16	и т	39	10
17	и не	16	10
18	не только	20	10
19	что он	5	9
20	еще не	5	9
21	но и	7	9
22	а именно	2	9
23	в нем	4	8
24	все же	7	8
25	на том	2	8
26	вместе с	5	8
27	другой стороны	7	8
28	т д	14	8
29	все эти	12	8
30	и это	3	8
31	превращается в	2	7
32	уже не	8	7
33	с одной	2	7
34	и его	3	7
35	у него	3	7
36	но в	11	7
37	этом случае	2	6
38	то что	9	6
39	как в	3	6
40	так в	3	6
41	не может	9	6
42	и с	7	6
43	за собой	2	5
44	очень часто	2	5
45	у нас	12	5
46	как и	2	5
47	в ней	3	5
48	в его	5	5
49	так и	4	5
50	то же	6	5
51	и что	8	5
52	как это	5	5
53	тем что	3	5
54	в то	4	5
55	только в	5	5
56	там где	5	5
57	с тем	2	4
58	что между	2	4
59	это не	6	4
60	но здесь	2	4
61	прежде всего	8	4
62	не всегда	2	4
63	здесь мы	2	4
64	но это	3	4
65	как бы	4	4
66	и тем	5	4
67	что и	3	4
68	что оно	3	4
69	как мы	3	4
70	и по	3	4
71	а также	3	4
72	или иное	3	3
73	если бы	12	3
74	в частности	2	3
75	могут быть	4	3
76	в них	4	3
77	и от	2	3
78	должна быть	5	3
79	к этому	4	3
80	вопрос о	9	3
81	таким же	2	3
82	не в	8	3
83	же как	2	3
84	в качестве	8	3
85	она не	2	3
86	но есть	2	3
87	главным образом	3	3
88	от того	4	3
89	почти всегда	2	3
90	один из	5	3
91	в своей	2	3
92	данном случае	2	3
93	что она	3	3
94	со стороны	4	3
95	а в	3	3
96	при этом	2	3
97	и вот	5	3
98	из которых	3	3
99	но так	2	3
100	вот почему	3	3
101	или в	4	3
102	в своих	2	3
103	в данном	4	3
104	и то	5	3
105	сказать что	4	3
106	не было	4	3
107	как будто	2	3
108	того как	2	3
109	от этого	2	3
110	с этой	2	2
111	перед нами	4	2
112	случаи когда	3	2
113	в своем	2	2
114	что у	2	2
115	того же	3	2
116	отличается от	3	2
117	с этим	3	2
118	вовсе не	9	2
119	утверждать что	2	2
120	на то	4	2
121	можно сказать	4	2
122	к тому	4	2
123	сводится к	3	2
124	мы знаем	4	2
125	для нас	4	2
126	но все	4	2
127	что они	2	2
128	как у	2	2
129	но не	6	2
130	так же	4	2
131	после того	2	2
132	что мы	6	2
133	когда в	2	2
134	было бы	15	2
135	но для	3	2
136	в свое	2	2
137	всяком случае	5	2
138	не имеет	4	2
139	на этой	4	2
140	своего рода	4	2
141	ни в	4	2
142	и до	2	2
143	что когда	3	2
144	в форме	3	2
145	что же	5	2
146	вопрос этот	2	2
147	целый ряд	5	2
148	то и	3	2
149	точно так	3	2
150	или же	2	2
151	он не	3	2
152	и сейчас	2	2
153	тем самым	2	2
154	а не	10	2
155	того что	3	2
156	что не	6	2
157	должны быть	2	2
158	дает нам	2	2
159	то или	3	2
160	можно было	9	2
161	с ними	2	2
162	во всяком	5	2
163	и далее	2	2
164	быть только	2	2
165	знаем что	3	2
166	что касается	2	2
167	он и	2	2
168	в которых	2	2
169	о котором	2	2
170	ту же	6	2
171	мы должны	2	2
172	зависимости от	5	2
173	в этой	6	2
174	но вот	2	2
175	интересно что	2	2
176	что это	7	2
177	здесь не	3	2
178	ничего не	4	2
