N	2gram	Medvedev_U_1	Istorich
1	и в	14	22
2	в этом	7	17
3	не только	10	14
4	но и	4	12
5	и не	8	12
6	может быть	6	11
7	таким образом	2	10
8	но в	3	10
9	что он	2	9
10	что и	2	9
11	в том	2	9
12	том что	2	8
13	другой стороны	3	7
14	с другой	4	7
15	но не	2	7
16	то что	7	7
17	это не	3	6
18	не все	2	6
19	то же	5	6
20	а не	10	6
21	ничего не	2	6
22	если бы	2	6
23	в частности	3	5
24	до сих	2	5
25	все же	3	5
26	что она	2	5
27	сих пор	2	5
28	могут быть	2	5
29	в некоторых	2	5
30	в этой	4	5
31	у нас	3	4
32	не в	2	4
33	только в	2	4
34	одним из	2	4
35	его и	2	4
36	не может	7	4
37	тем что	2	4
38	и с	2	4
39	превращается в	2	3
40	прежде всего	8	3
41	как и	3	3
42	но это	2	3
43	было бы	3	3
44	в его	2	3
45	и у	2	3
46	их и	2	3
47	всех этих	2	2
48	в сторону	2	2
49	но конечно	2	2
50	как таковой	2	2
51	если не	2	2
52	и для	2	2
53	вот почему	7	2
54	и то	3	2
55	между тем	2	2
56	в то	3	2
57	же не	2	2
