N	2gram	Bakhtin_sl_1	Literetu
1	не только	16	24
2	при этом	6	19
3	в качестве	3	17
4	но и	16	17
5	а не	15	16
6	в том	3	16
7	в частности	2	15
8	том что	2	14
9	может быть	14	13
10	и не	16	12
11	в этом	12	12
12	прежде всего	8	11
13	в своем	3	11
14	такого рода	2	10
15	не в	7	8
16	в целом	2	8
17	и в	41	8
18	только в	6	8
19	в его	13	7
20	как бы	12	7
21	уже не	2	7
22	в себе	3	7
23	как и	4	6
24	и сам	3	6
25	связи с	2	6
26	себя в	9	6
27	того что	3	6
28	точки зрения	16	6
29	то есть	26	6
30	с его	4	5
31	с этой	3	5
32	же время	12	5
33	а также	2	5
34	как в	8	5
35	не может	14	5
36	то же	14	5
37	одним из	4	5
38	в данном	3	5
39	в то	14	5
40	перестает быть	2	4
41	столь же	2	4
42	это не	6	4
43	но не	2	4
44	еще не	4	4
45	и тем	2	4
46	все же	7	4
47	из них	3	4
48	по преимуществу	4	4
49	в своей	7	4
50	данном случае	3	4
51	так и	11	4
52	никогда не	3	4
53	лишь в	4	4
54	друг друга	3	4
55	и его	14	4
56	как раз	2	4
57	не как	4	4
58	в основе	5	3
59	не было	3	3
60	с другой	5	3
61	одного из	2	3
62	одна из	2	3
63	в пределах	14	3
64	века в	2	3
65	например в	2	3
66	в самом	5	3
67	у него	3	3
68	том же	4	3
69	же и	2	3
70	один из	4	3
71	и др	14	3
72	в их	4	3
73	при всем	3	3
74	а в	6	3
75	таким образом	9	3
76	и даже	6	3
77	той же	2	3
78	потому что	2	3
79	во всяком	7	3
80	но в	8	3
81	также и	3	3
82	далеко не	5	3
83	его в	3	3
84	на этом	2	2
85	а как	2	2
86	для них	2	2
87	все они	7	2
88	дело не	2	2
89	из этих	3	2
90	от автора	3	2
91	для понимания	2	2
92	к тому	3	2
93	от всякой	3	2
94	в другом	2	2
95	или иной	9	2
96	к своей	2	2
97	того же	6	2
98	для него	3	2
99	одной стороны	4	2
100	было бы	3	2
101	от языка	3	2
102	на один	2	2
103	за пределы	4	2
104	xviii века	2	2
105	всяком случае	5	2
106	xx века	2	2
107	на почве	4	2
108	даже в	2	2
109	не является	2	2
110	не могло	3	2
111	в нем	30	2
112	не есть	2	2
113	при всех	2	2
114	на том	2	2
115	в сущности	13	2
116	как сказано	3	2
117	только на	2	2
118	не на	5	2
119	с одной	4	2
120	все эти	9	2
121	хотя бы	3	2
122	с точки	8	2
123	роль в	2	2
124	в слове	7	2
125	можно было	2	2
126	и то	2	2
127	между тем	2	2
128	могут быть	19	2
129	ту же	4	2
130	автора в	2	2
131	о том	3	2
132	которая не	3	2
133	поэзии и	4	2
134	в сознании	2	2
