N	2gram	Vinokur_St_2	PoTuStor
1	может быть	2	17
2	и в	29	16
3	и пр	8	12
4	прежде всего	5	9
5	таким образом	10	9
6	в этом	21	9
7	совершенно не	2	8
8	и его	6	8
9	и с	4	8
10	точки зрения	5	8
11	не может	2	8
12	с его	2	7
13	сказать что	2	7
14	не только	19	7
15	и это	2	6
16	и к	4	6
17	с точки	2	6
18	самом деле	3	6
19	для него	4	6
20	при этом	2	6
21	все эти	2	5
22	что такое	2	5
23	ни в	3	5
24	как бы	5	5
25	с самого	3	4
26	самого начала	3	4
27	в нем	4	4
28	но и	19	4
29	так и	9	4
30	все это	11	4
31	хотя бы	3	4
32	так как	2	4
33	и не	9	4
34	на самом	3	4
35	и даже	3	4
36	и на	6	4
37	в этой	2	4
38	только в	2	4
39	в один	2	4
40	его в	2	4
41	но в	8	4
42	в его	13	4
43	во время	2	3
44	и теперь	2	3
45	в этих	3	3
46	что в	19	3
47	и др	2	3
48	вместе с	7	3
49	сих пор	5	3
50	в одном	6	3
51	в том	27	3
52	том что	27	3
53	и как	2	3
54	то что	11	3
55	в общем	3	3
56	если б	4	3
57	как это	2	3
58	в области	2	3
59	во всяком	3	3
60	и потому	2	3
61	до сих	6	3
62	всяком случае	3	3
63	не менее	3	2
64	ее в	2	2
65	нет и	2	2
66	что и	2	2
67	ни было	2	2
68	же как	3	2
69	в частности	4	2
70	никогда не	3	2
71	в них	2	2
72	того же	2	2
73	вообще не	3	2
74	оно не	3	2
75	с этой	2	2
76	с этим	3	2
77	то же	2	2
78	с нею	3	2
79	к этому	4	2
80	что он	13	2
81	что на	3	2
82	и по	3	2
83	меньше всего	3	2
84	как и	2	2
85	они не	2	2
86	так же	3	2
87	но это	3	2
88	по своему	2	2
89	не на	2	2
90	он не	9	2
91	в каком	2	2
92	в начале	3	2
93	и вообще	2	2
94	было бы	5	2
95	что это	3	2
96	кажется что	3	2
97	и вся	2	2
98	о том	17	2
99	в самом	7	2
100	в своей	7	2
101	и о	4	2
