N	2gram	Vinokur_Ku_1	Literetu
1	не только	10	24
2	при этом	6	19
3	в качестве	7	17
4	но и	6	17
5	а не	8	16
6	в том	30	16
7	в частности	4	15
8	том что	21	14
9	может быть	13	13
10	тогда как	2	13
11	и не	12	12
12	в этом	14	12
13	состоит в	3	11
14	прежде всего	9	11
15	в своем	3	11
16	то что	9	10
17	или иначе	2	9
18	так или	2	8
19	не в	11	8
20	в целом	4	8
21	и в	24	8
22	только в	11	8
23	как это	3	8
24	не менее	7	7
25	я не	2	7
26	в его	12	7
27	как бы	7	7
28	уже не	8	7
29	в себе	3	7
30	в рамках	4	6
31	как и	2	6
32	связи с	7	6
33	того что	9	6
34	точки зрения	14	6
35	xix века	5	6
36	с его	4	5
37	казалось бы	3	5
38	с этой	2	5
39	что он	6	5
40	же в	4	5
41	же время	2	5
42	как в	4	5
43	не может	7	5
44	то же	8	5
45	уже в	3	5
46	тем самым	4	5
47	одним из	2	5
48	в данном	4	5
49	не столько	2	5
50	в то	2	5
51	для этого	3	4
52	это не	7	4
53	в силу	10	4
54	но не	5	4
55	еще не	5	4
56	и тем	2	4
57	все же	12	4
58	из них	4	4
59	по преимуществу	2	4
60	в своей	2	4
61	со стороны	4	4
62	так и	7	4
63	никогда не	2	4
64	в связи	3	4
65	лишь в	2	4
66	и его	5	4
67	как раз	8	4
68	в этой	3	4
69	не было	3	3
70	что в	17	3
71	и есть	2	3
72	с другой	7	3
73	сводится к	3	3
74	что его	2	3
75	с их	3	3
76	в пределах	4	3
77	например в	5	3
78	в самом	10	3
79	несмотря на	3	3
80	не мог	2	3
81	том же	2	3
82	же и	2	3
83	один из	4	3
84	ли не	3	3
85	в их	3	3
86	по отношению	8	3
87	а в	5	3
88	таким образом	12	3
89	еще и	5	3
90	этой точки	2	3
91	и даже	3	3
92	той же	3	3
93	потому что	23	3
94	во всяком	5	3
95	одно из	2	3
96	нуждается в	3	3
97	к себе	4	3
98	но в	2	3
99	также и	2	3
100	в области	7	3
101	в виду	5	3
102	этого не	2	2
103	должна быть	3	2
104	для них	2	2
105	именно так	2	2
106	превращается в	2	2
107	дело не	2	2
108	из этих	4	2
109	а потому	5	2
110	к тому	5	2
111	а только	8	2
112	тем не	4	2
113	и того	2	2
114	чуть ли	2	2
115	что я	2	2
116	или иной	3	2
117	в москве	2	2
118	того же	4	2
119	своего времени	2	2
120	было бы	15	2
121	относится к	2	2
122	и является	4	2
123	всяком случае	5	2
124	даже в	3	2
125	не является	2	2
126	должен быть	4	2
127	в нем	4	2
128	то это	3	2
129	не есть	4	2
130	отношению к	9	2
131	на том	3	2
132	в сущности	3	2
133	не говоря	2	2
134	то и	2	2
135	не на	4	2
136	этом отношении	5	2
137	все эти	6	2
138	от себя	2	2
139	самом деле	9	2
140	во втором	2	2
141	что не	5	2
142	что такое	6	2
143	бы на	2	2
144	хотя бы	10	2
145	с точки	9	2
146	во многих	2	2
147	роль в	4	2
148	в слове	2	2
149	можно было	6	2
150	и то	3	2
151	не случайно	6	2
152	между тем	5	2
153	тем более	2	2
154	тем что	8	2
155	на себя	3	2
156	этого рода	6	2
157	себе в	3	2
158	о том	9	2
159	здесь как	2	2
