N	2gram	Tiupa_Hudo_1	RusskieA
1	и в	19	29
2	что в	6	22
3	том что	8	22
4	в том	18	22
5	как бы	9	18
6	состоит в	16	15
7	и другие	2	14
8	может быть	14	13
9	как и	2	11
10	одна из	2	11
11	в этом	11	11
12	все это	2	10
13	не только	16	10
14	а на	5	9
15	о том	2	9
16	а в	12	9
17	но и	10	8
18	ее в	2	8
19	его в	2	8
20	как в	2	7
21	или в	2	7
22	еще не	3	6
23	для того	2	6
24	таким образом	3	6
25	при этом	13	6
26	того чтобы	2	6
27	и на	2	6
28	в данном	4	6
29	мы имеем	6	6
30	потому что	3	5
31	это не	2	5
32	то что	4	5
33	и что	3	5
34	но не	11	5
35	к жизни	2	5
36	не может	7	5
37	но в	7	5
38	именно в	2	4
39	о чем	2	4
40	в них	2	4
41	не все	2	4
42	уже не	4	4
43	не в	7	4
44	к нему	3	4
45	а также	5	4
46	так же	2	4
47	то же	10	4
48	а не	9	4
49	их в	3	4
50	далеко не	2	4
51	как это	5	4
52	в этих	3	3
53	в качестве	24	3
54	в году	2	3
55	в ее	5	3
56	того что	4	3
57	и о	3	3
58	что она	2	3
59	с другими	4	3
60	во всех	3	3
61	а именно	2	3
62	в отличие	7	3
63	все эти	2	3
64	и по	2	3
65	или даже	3	3
66	между тем	4	3
67	но он	3	3
68	в этой	2	3
69	отличие от	7	3
70	не менее	3	2
71	начиная с	2	2
72	об этом	2	2
73	могут быть	4	2
74	никогда не	2	2
75	между собой	2	2
76	жизни в	2	2
77	с другой	7	2
78	не столько	3	2
79	из этих	3	2
80	прежде всего	4	2
81	как уже	2	2
82	что и	2	2
83	и как	3	2
84	в глаза	2	2
85	не принадлежат	2	2
86	одной стороны	2	2
87	тем не	3	2
88	из этого	2	2
89	в виду	5	2
90	за пределами	3	2
91	один из	2	2
92	но она	2	2
93	не с	2	2
94	в своей	5	2
95	дело не	2	2
96	в форме	4	2
97	в их	5	2
98	тогда как	13	2
99	а с	2	2
100	с одной	2	2
101	и для	2	2
102	право на	2	2
103	так в	4	2
104	и то	4	2
105	в момент	2	2
106	одно из	2	2
107	и ее	3	2
108	в то	6	2
109	представляет собой	10	2
110	в состав	6	2
111	в которой	2	2
112	есть в	2	2
