N	3gram	Vinokur_St_3	Psycholo
1	и т п	6	15
2	в том что	11	9
3	и т д	2	8
4	на то что	3	8
5	не может быть	5	8
6	о том что	4	7
7	в том чтобы	2	7
8	во всяком случае	4	6
9	заключается в том	2	6
10	в то время	4	5
11	с одной стороны	2	5
12	с другой стороны	4	5
13	не в том	3	5
14	то время как	4	5
15	только тогда когда	2	4
16	в конце концов	3	3
17	до сих пор	2	3
18	по этому поводу	2	2
19	с точки зрения	4	2
20	то что я	2	2
21	тем не менее	2	2
22	в этом отношении	4	2
23	состоит в том	3	2
24	в этом смысле	4	2
25	потому что он	2	2
