N	2gram	Losev_Dial_3	Sotsiolo
1	все это	6	7
2	в том	5	5
3	в этом	8	5
4	не в	3	3
5	как же	5	3
6	для нас	2	3
7	и только	6	3
8	в его	2	3
9	и в	24	3
10	не только	23	3
11	еще не	2	2
12	было бы	5	2
13	только в	5	2
14	по существу	2	2
15	это и	7	2
16	таким образом	13	2
17	том что	8	2
18	то же	6	2
19	то что	14	2
20	тем более	3	2
21	может быть	13	2
22	за пределы	3	2
23	в частности	2	2
24	диалектический материализм	3	2
25	и что	15	2
26	но и	9	2
27	только как	5	2
28	в смысле	2	2
29	как бы	3	2
30	должна быть	6	2
31	ведь это	2	2
32	что в	7	2
