N	2gram	Tiupa_Narr_2	Myshleni
1	в том	14	33
2	том что	13	27
3	точки зрения	5	26
4	то что	8	20
5	в этом	13	19
6	с точки	2	18
7	того что	6	17
8	и в	13	15
9	не только	26	15
10	что в	4	14
11	таким образом	5	14
12	что он	5	12
13	того чтобы	3	12
14	и т.д	4	12
15	в самом	2	11
16	в процессе	2	11
17	в целом	3	10
18	но и	15	10
19	было бы	2	10
20	мы не	2	10
21	в своем	6	9
22	может быть	10	9
23	не является	4	9
24	не может	8	9
25	о том	5	9
26	так и	9	8
27	никогда не	6	8
28	не в	8	8
29	и что	2	8
30	если бы	4	8
31	к тому	9	7
32	одной стороны	5	7
33	с одной	5	7
34	и не	14	7
35	потому что	2	7
36	как бы	6	7
37	он не	5	7
38	и т.п	6	7
39	едва ли	3	7
40	что это	4	6
41	в частности	11	6
42	точку зрения	3	6
43	в этой	4	6
44	на то	2	6
45	по отношению	5	6
46	с другой	5	6
47	сказать что	3	6
48	как он	2	6
49	как это	4	6
50	но в	6	6
51	вовсе не	2	6
52	и к	6	6
53	как и	4	6
54	по своей	3	6
55	с таким	2	6
56	самом деле	3	6
57	к которому	2	6
58	это не	3	5
59	что с	2	5
60	и даже	3	5
61	все что	4	5
62	отношению к	5	5
63	внутренней речи	3	5
64	то же	4	5
65	можно было	2	5
66	прежде всего	6	4
67	из этих	2	4
68	для нас	2	4
69	по поводу	2	4
70	несмотря на	2	4
71	от его	2	4
72	не имеет	2	4
73	так же	2	4
74	а в	9	4
75	в конечном	3	4
76	в начале	2	4
77	могли бы	2	4
78	с его	3	4
79	конечном счете	3	4
80	все же	6	4
81	в качестве	14	4
82	в своей	4	4
83	как в	5	4
84	как раз	3	4
85	а с	2	4
86	хотя бы	2	4
87	и его	3	4
88	только в	11	4
89	он сам	2	3
90	что у	2	3
91	во время	2	3
92	об этом	4	3
93	что они	3	3
94	и сам	3	3
95	для него	4	3
96	при этом	14	3
97	бы с	2	3
98	данном случае	6	3
99	со стороны	6	3
100	этом отношении	3	3
101	все эти	3	3
102	те же	2	3
103	они не	2	3
104	и по	3	3
105	в результате	2	3
106	с ним	4	3
107	мы имеем	3	3
108	и все	4	3
109	состоит в	12	3
110	тем более	2	3
111	но не	3	3
112	для себя	3	3
113	что она	2	3
114	только что	2	3
115	на самом	2	3
116	тем самым	5	3
117	а не	17	3
118	в данном	10	3
119	в отличие	5	3
120	отношения между	2	3
121	отличие от	5	3
122	ничего не	6	3
123	он является	3	2
124	быть может	2	2
125	же как	2	2
126	перед нами	4	2
127	столь же	2	2
128	с этой	3	2
129	его внутренней	2	2
130	как уже	2	2
131	или иной	3	2
132	можно сказать	6	2
133	всякий раз	2	2
134	и более	2	2
135	как у	4	2
136	той или	3	2
137	в котором	5	2
138	и тем	5	2
139	на том	3	2
140	как по	3	2
141	в других	2	2
142	не следует	3	2
143	но для	2	2
144	к себе	7	2
145	в категориях	2	2
146	говорить о	2	2
147	мира и	3	2
148	а также	6	2
149	видит в	2	2
150	все те	2	2
151	в известном	3	2
152	у него	6	2
153	отнюдь не	4	2
154	не могло	2	2
155	к его	3	2
156	именно в	2	2
157	представляет собой	16	2
158	иначе говоря	7	2
159	на одном	2	2
160	к ней	3	2
161	в его	6	2
162	что и	2	2
163	раз в	2	2
164	и для	3	2
165	не объясняет	2	2
166	в течение	2	2
167	в себя	4	2
168	ней в	2	2
169	в силу	4	2
170	той же	2	2
171	тому как	2	2
172	подобно тому	2	2
173	в себе	8	2
174	в другом	4	2
175	на протяжении	5	2
176	стало быть	2	2
