N	2gram	Savitsky_P_1	Narrotol
1	не только	17	31
2	но и	6	27
3	и не	12	23
4	может быть	5	15
5	в частности	2	14
6	в качестве	9	14
7	а не	2	13
8	а в	4	13
9	только в	7	12
10	в этом	10	12
11	и в	14	11
12	то что	4	9
13	то же	9	8
14	в том	9	8
15	со стороны	2	8
16	не может	4	8
17	если бы	4	7
18	том что	4	7
19	но в	9	7
20	а также	4	6
21	не в	5	6
22	как бы	4	6
23	как раз	2	6
24	в себе	3	6
25	в его	2	6
26	тем самым	3	5
27	столь же	3	5
28	потому что	3	5
29	точки зрения	3	5
30	но не	3	4
31	же время	7	4
32	прежде всего	3	4
33	в ней	6	4
34	и тем	2	4
35	в нем	3	4
36	в мире	2	4
37	из них	2	4
38	по себе	4	4
39	того что	2	4
40	хотя и	3	4
41	в то	7	4
42	одна из	2	4
43	не менее	2	3
44	что в	4	3
45	в своем	4	3
46	это не	3	3
47	в жизни	2	3
48	сводится к	3	3
49	и как	3	3
50	в начале	2	3
51	для того	3	3
52	и о	5	3
53	начала и	2	3
54	не было	2	3
55	именно в	2	3
56	к чему	2	3
57	мы не	3	3
58	и с	2	3
59	в русской	4	3
60	между тем	3	3
61	исключительно в	2	2
62	для них	2	2
63	отнюдь не	2	2
64	же в	4	2
65	да и	2	2
66	переход от	2	2
67	в пределах	8	2
68	где в	2	2
69	никак не	2	2
70	если в	2	2
71	точек зрения	2	2
72	хотя бы	8	2
73	в сфере	2	2
74	в е	2	2
75	заключает в	2	2
76	и вот	2	2
77	с другой	5	2
78	с ними	3	2
79	сами по	3	2
80	не о	2	2
81	что мы	3	2
82	в области	11	2
