N	2gram	Savitsky_E_1	Literetu
1	и не	14	22
2	и в	37	16
3	в мире	2	16
4	не только	18	14
5	но и	14	14
6	в этом	12	14
7	а не	2	12
8	то что	6	12
9	может быть	6	12
10	в том	11	12
11	в частности	5	11
12	не в	5	10
13	то же	15	9
14	так и	10	9
15	того что	7	9
16	в то	16	9
17	том что	6	8
18	не может	9	8
19	в этой	2	8
20	как бы	6	8
21	в своей	8	7
22	же время	14	7
23	со стороны	5	7
24	тем самым	5	7
25	точки зрения	23	7
26	только в	9	7
27	с другой	7	6
28	к тому	8	6
29	в его	2	6
30	в себе	9	6
31	о том	3	6
32	в качестве	14	5
33	в ее	8	5
34	как и	7	5
35	вместе с	2	5
36	как в	3	5
37	а именно	2	5
38	а в	2	5
39	этом отношении	3	5
40	именно в	4	5
41	всего лишь	3	5
42	то есть	6	5
43	место в	3	4
44	но не	5	4
45	никогда не	3	4
46	даже в	4	4
47	одной стороны	8	4
48	и если	2	4
49	и для	3	4
50	хотя и	2	4
51	говоря уже	2	4
52	из них	3	4
53	не говоря	2	4
54	данном случае	2	4
55	жизни в	3	4
56	с одной	8	4
57	а также	7	4
58	в данном	3	4
59	как будто	2	4
60	в одном	2	4
61	отнюдь не	9	3
62	прежде всего	9	3
63	и как	2	3
64	то в	4	3
65	мира в	4	3
66	и к	3	3
67	в самом	4	3
68	в сторону	2	3
69	вслед за	6	3
70	и тем	3	3
71	жизни и	2	3
72	бы и	3	3
73	и наконец	2	3
74	с точки	17	3
75	как на	3	3
76	потому что	3	3
77	по своей	2	3
78	там где	3	3
79	как это	4	3
80	в области	11	3
81	но в	14	3
82	между тем	8	3
83	ни было	4	2
84	что в	21	2
85	если бы	2	2
86	все более	9	2
87	в случае	2	2
88	то ни	4	2
89	с этой	6	2
90	вопрос о	4	2
91	по себе	4	2
92	большей части	2	2
93	стороны и	6	2
94	на то	6	2
95	или иной	4	2
96	же в	2	2
97	того же	3	2
98	во втором	2	2
99	в свою	3	2
100	можно сказать	4	2
101	было бы	8	2
102	несмотря на	4	2
103	во всех	6	2
104	нас к	2	2
105	той или	4	2
106	что и	3	2
107	бы то	4	2
108	во второй	3	2
109	когда он	3	2
110	время в	3	2
111	но еще	2	2
112	как мы	5	2
113	во всей	2	2
114	так же	9	2
115	и только	3	2
116	но с	2	2
117	из того	2	2
118	не означает	2	2
119	того чтобы	6	2
120	для того	6	2
121	и выше	7	2
122	другой стороны	2	2
123	и даже	6	2
124	в своих	2	2
125	и на	6	2
126	и с	2	2
127	тем что	3	2
128	далеко не	2	2
129	на себя	3	2
130	представляет собой	3	2
131	и потому	5	2
132	мира и	3	2
133	ее в	3	2
134	одном из	2	2
