N	2gram	Berdyaev_V_1	Psycholo
1	то что	9	44
2	и в	16	33
3	в этом	4	28
4	как бы	5	25
5	и что	3	25
6	потому что	4	24
7	том что	2	22
8	того чтобы	2	22
9	что в	3	21
10	в том	3	21
11	что он	4	20
12	и мы	3	15
13	и не	20	13
14	все это	5	13
15	к тому	3	12
16	и все	4	12
17	так как	9	12
18	что все	4	11
19	в его	4	10
20	в конце	3	8
21	для нас	2	7
22	в нем	4	7
23	не только	2	7
24	тому что	3	6
25	это не	2	6
26	что они	7	6
27	в ней	4	6
28	и т	2	6
29	все эти	3	6
30	что мы	4	6
31	а не	7	6
32	никогда не	3	5
33	мы не	2	5
34	с ним	2	5
35	как и	4	5
36	и это	2	5
37	первый раз	3	4
38	и есть	4	4
39	жизни и	3	4
40	от этих	2	4
41	а в	2	4
42	того что	5	4
43	с тем	2	4
44	на нас	2	4
45	в жизни	3	4
46	одна из	2	4
47	не будет	2	4
48	в своей	3	4
49	ее в	2	4
50	что не	4	4
51	можно было	2	4
52	только в	2	4
53	в мире	5	3
54	ни в	3	3
55	тот же	3	3
56	должно быть	3	3
57	вслед за	2	3
58	то это	3	3
59	и за	2	3
60	но и	5	3
61	конечно не	2	3
62	не было	3	3
63	их в	3	3
64	в первый	3	3
65	говорить о	4	3
66	но не	2	3
67	что и	3	3
68	так и	4	3
69	да и	2	3
70	за то	3	3
71	и для	3	3
72	во всяком	2	3
73	от этого	3	3
74	тем что	2	3
75	бы и	3	2
76	его и	2	2
77	прежде всего	2	2
78	ее и	2	2
79	вместо того	2	2
80	в котором	4	2
81	один из	2	2
82	но мы	2	2
83	не хотел	2	2
84	т д	2	2
85	все тот	2	2
86	не имеет	3	2
87	его не	2	2
88	не в	3	2
89	и потому	7	2
90	но в	3	2
91	с его	3	2
92	в них	3	2
93	под конец	2	2
94	по которым	2	2
95	во всех	3	2
96	нем нет	2	2
97	а с	2	2
98	хотя бы	3	2
99	чтобы сделать	2	2
100	и то	2	2
101	те которые	2	2
