N	2gram	Propp_Isto_2	Mirosoze
1	и в	15	46
2	в нем	7	22
3	у него	4	22
4	может быть	17	21
5	в этом	11	20
6	никогда не	15	18
7	и не	11	18
8	не только	18	18
9	но и	14	15
10	не может	5	15
11	человека в	2	14
12	как и	2	13
13	а не	5	13
14	прежде всего	5	12
15	потому что	9	12
16	не было	2	11
17	в ней	4	11
18	но он	4	11
19	но в	6	10
20	он не	8	10
21	в себе	4	10
22	он был	3	9
23	не в	7	9
24	не знает	2	9
25	и есть	5	8
26	но это	4	8
27	как бы	6	8
28	так как	14	8
29	она не	5	8
30	связана с	6	7
31	в этой	4	7
32	что он	24	7
33	как в	5	7
34	хотя бы	2	7
35	и для	2	7
36	вопрос о	4	6
37	что это	6	6
38	так же	13	6
39	того что	3	6
40	и здесь	9	6
41	в русской	5	6
42	то же	10	5
43	я не	2	5
44	один из	8	5
45	что она	5	5
46	это не	2	5
47	тот кто	2	5
48	привести к	3	5
49	к тому	5	5
50	то что	12	5
51	и его	3	5
52	в его	6	5
53	и это	3	5
54	что в	12	4
55	что у	2	4
56	они не	4	4
57	в русском	2	4
58	в жизни	2	4
59	том что	7	4
60	что и	6	4
61	так и	5	4
62	т е	29	4
63	того чтобы	2	4
64	к чему	2	4
65	его на	2	4
66	же как	5	3
67	себя и	2	3
68	не знал	2	3
69	ни в	2	3
70	в том	6	3
71	что они	10	3
72	не мог	3	3
73	и на	4	3
74	сказать что	2	3
75	и с	4	3
76	что иное	2	3
77	о том	3	3
78	его в	10	3
79	как он	3	3
80	нет ничего	2	3
81	иное как	2	3
82	к которому	5	3
83	они были	2	3
84	не что	2	3
85	есть и	2	3
86	до сих	6	3
87	сих пор	7	3
88	того как	4	3
89	и она	3	3
90	той же	2	3
91	тем что	4	3
92	он в	3	3
93	только в	6	3
94	только с	2	3
95	уже в	2	2
96	в этих	11	2
97	да и	2	2
98	так что	6	2
99	и если	2	2
100	на его	2	2
101	же и	3	2
102	к нему	5	2
103	по отношению	3	2
104	в разных	2	2
105	стоит в	3	2
106	его не	2	2
107	а в	12	2
108	увидим что	3	2
109	к себе	2	2
110	превращается в	2	2
111	есть ли	2	2
112	мы видим	8	2
113	связи с	8	2
114	после того	3	2
115	и что	6	2
116	мы увидим	8	2
117	в сущности	2	2
118	во всех	2	2
119	к ней	2	2
120	отношению к	3	2
121	принадлежит к	2	2
122	вместе с	7	2
123	ее в	2	2
124	но с	2	2
125	говорит что	3	2
126	можно было	5	2
127	тому как	3	2
128	подобно тому	3	2
129	как будто	3	2
130	в которой	2	2
131	ничего не	7	2
